"Index" "EW.Open" "EW.High" "EW.Low" "EW.Close" "EW.Volume" "EW.Adjusted"
2013-09-25 70 70.059998 68.419998 68.449997 2675500 68.449997
2013-09-26 68.669998 69 67.540001 68.580002 3062500 68.580002
2013-09-27 68.330002 69.440002 68.089996 68.790001 1583100 68.790001
2013-09-30 67.860001 69.660004 67.730003 69.629997 1638200 69.629997
2013-10-01 69.989998 71.309998 69.769997 71.309998 3296900 71.309998
2013-10-02 71.120003 71.910004 70.93 71.830002 1642700 71.830002
2013-10-03 71.910004 72.839996 71.110001 72.190002 1493900 72.190002
2013-10-04 72.190002 73.099998 72.169998 72.809998 989600 72.809998
2013-10-07 72.260002 73 71.879997 72.580002 959100 72.580002
2013-10-08 72.43 73 72.379997 72.389999 1241100 72.389999
2013-10-09 72.470001 73.400002 72.389999 72.879997 1185000 72.879997
2013-10-10 73.629997 73.760002 72.730003 73.739998 863500 73.739998
2013-10-11 73.419998 74.110001 73.18 73.980003 623500 73.980003
2013-10-14 73.589996 74.919998 73.489998 74.910004 817000 74.910004
2013-10-15 74.68 75.459999 74.459999 75.029999 1373600 75.029999
2013-10-16 76.849998 76.910004 75.980003 76.669998 1357100 76.669998
2013-10-17 76.589996 77.120003 76.43 77.07 715000 77.07
2013-10-18 77.220001 77.239998 76.32 77.199997 715200 77.199997
2013-10-21 77.32 77.900002 77.209999 77.790001 892100 77.790001
2013-10-22 77.889999 78.669998 77.830002 78.120003 1051300 78.120003
2013-10-23 78.050003 78.889999 77.849998 78.139999 1153400 78.139999
2013-10-24 78.239998 78.639999 76.669998 77.459999 885700 77.459999
2013-10-25 77.43 77.870003 76.830002 77.059998 913000 77.059998
2013-10-28 73.150002 75.059998 71.809998 73.239998 3927600 73.239998
2013-10-29 73.160004 74.019997 68.389999 69.860001 6303700 69.860001
2013-10-30 67.389999 67.400002 65.730003 66.290001 5185100 66.290001
2013-10-31 66.150002 66.269997 64.879997 65.190002 3364100 65.190002
2013-11-01 65.440002 65.650002 64.029999 64.269997 1578000 64.269997
2013-11-04 64.290001 64.370003 62.830002 63.25 2419100 63.25
2013-11-05 63.240002 63.240002 62.169998 62.349998 1675500 62.349998
2013-11-06 62.5 63.16 62.27 62.560001 1463500 62.560001
2013-11-07 62.830002 64.129997 62.610001 63.610001 1421300 63.610001
2013-11-08 63.650002 64.339996 63.32 64.260002 977200 64.260002
2013-11-11 64.349998 64.68 63.959999 64.059998 537700 64.059998
2013-11-12 63.82 64.099998 63.290001 63.639999 957900 63.639999
2013-11-13 63.310001 63.950001 63.299999 63.68 814500 63.68
2013-11-14 63.68 64.519997 62.93 63.57 1301200 63.57
2013-11-15 63.509998 64.989998 63.509998 64.989998 899000 64.989998
2013-11-18 64.93 65.309998 63.860001 63.970001 964700 63.970001
2013-11-19 63.970001 64.209999 63.509998 63.84 729900 63.84
2013-11-20 63.59 63.700001 62.549999 62.959999 1743400 62.959999
2013-11-21 63.220001 65.120003 63.009998 64.720001 1323600 64.720001
2013-11-22 64.720001 65.230003 64.279999 64.860001 992300 64.860001
2013-11-25 64.849998 65.239998 64.120003 64.75 2014500 64.75
2013-11-26 64.75 65.019997 64.379997 64.699997 807100 64.699997
2013-11-27 64.919998 65.379997 64.610001 65.300003 564800 65.300003
2013-11-29 65.470001 65.93 65.400002 65.529999 623100 65.529999
2013-12-02 65.669998 65.940002 65.190002 65.470001 1053000 65.470001
2013-12-03 65.089996 65.360001 64.669998 65.129997 841000 65.129997
2013-12-04 65.089996 65.190002 64.519997 64.870003 836000 64.870003
2013-12-05 64.860001 65.489998 64.610001 65.209999 618400 65.209999
2013-12-06 65.349998 66.510002 65.220001 66.290001 863800 66.290001
2013-12-09 62.57 64.330002 61.91 62.73 5914700 62.73
2013-12-10 61.810001 63.029999 61.619999 62.529999 2254100 62.529999
2013-12-11 62.34 62.470001 61.560001 61.900002 1503700 61.900002
2013-12-12 61.669998 62 61.360001 61.619999 1417300 61.619999
2013-12-13 61.700001 61.990002 60.619999 61.439999 1750400 61.439999
2013-12-16 61.57 62.880001 61.57 62.84 1981800 62.84
2013-12-17 62.790001 63.029999 61.759998 62.73 1534700 62.73
2013-12-18 62.75 63.830002 62.560001 63.75 1051700 63.75
2013-12-19 63.419998 64.139999 62.91 63.970001 1136200 63.970001
2013-12-20 64.169998 65.190002 64.050003 65.190002 1650100 65.190002
2013-12-23 65.199997 65.519997 64.839996 65.510002 874100 65.510002
2013-12-24 65.160004 65.739998 65.099998 65.620003 253900 65.620003
2013-12-26 65.779999 65.779999 64.949997 65.389999 805700 65.389999
2013-12-27 65.43 66.349998 65.129997 66.010002 710200 66.010002
2013-12-30 66 66 65.209999 65.68 565000 65.68
2013-12-31 65.690002 65.870003 65.040001 65.760002 645700 65.760002
2014-01-02 65.68 66.440002 65.190002 65.919998 834000 65.919998
2014-01-03 66.029999 67.599998 66.019997 67.260002 1326900 67.260002
2014-01-06 66.919998 67.25 65.830002 66.360001 1890800 66.360001
2014-01-07 66.370003 67.480003 66.300003 67.25 905300 67.25
2014-01-08 67.260002 67.449997 66.580002 66.739998 1300700 66.739998
2014-01-09 66.889999 68.470001 66.419998 68.410004 899100 68.410004
2014-01-10 68.300003 68.559998 67.809998 68.480003 1137500 68.480003
2014-01-13 68.239998 69.559998 68.239998 68.739998 1014300 68.739998
2014-01-14 69.110001 70.75 69 70.599998 1310200 70.599998
2014-01-15 70.419998 73.480003 69.879997 71.889999 2724500 71.889999
2014-01-16 72.5 73.400002 72.150002 72.669998 2090900 72.669998
2014-01-17 72.889999 72.949997 68.239998 68.540001 3936900 68.540001
2014-01-21 68.959999 70.290001 67.599998 69.720001 2653400 69.720001
2014-01-22 69.980003 70.099998 68.139999 68.230003 2270100 68.230003
2014-01-23 68.019997 68.860001 68.019997 68.290001 898300 68.290001
2014-01-24 68.050003 69.040001 67.779999 68.809998 1686700 68.809998
2014-01-27 68.43 68.709999 65.120003 66.379997 1905700 66.379997
2014-01-28 66.519997 66.93 65.889999 66.279999 967400 66.279999
2014-01-29 65.860001 66.150002 64.989998 65.150002 1362500 65.150002
2014-01-30 65.900002 65.980003 65.040001 65.480003 902500 65.480003
2014-01-31 64.709999 65.290001 64.080002 65.120003 1510600 65.120003
2014-02-03 65.290001 65.470001 63.040001 64.169998 2322700 64.169998
2014-02-04 64.029999 66.199997 63.25 65.739998 3158400 65.739998
2014-02-05 65.410004 67.830002 65.410004 66.529999 2007100 66.529999
2014-02-06 66.699997 67.449997 66.029999 66.599998 1070000 66.599998
2014-02-07 66.849998 67.839996 66.830002 66.940002 1103600 66.940002
2014-02-10 67 67.239998 66.82 67.010002 1202800 67.010002
2014-02-11 66.93 67.089996 66.459999 66.949997 1016200 66.949997
2014-02-12 67 67.029999 66.440002 66.709999 1014200 66.709999
2014-02-13 66.519997 67.519997 66.25 67.190002 1072000 67.190002
2014-02-14 67.379997 69.139999 66.800003 67.529999 2150600 67.529999
2014-02-18 67.660004 67.910004 66.540001 67.589996 1101100 67.589996
2014-02-19 67.449997 67.980003 66.959999 67.019997 719300 67.019997
2014-02-20 66.980003 68.230003 66.709999 68.099998 754600 68.099998
2014-02-21 68.160004 69.040001 68.099998 68.239998 991900 68.239998
2014-02-24 68.209999 69.580002 68.209999 68.900002 915000 68.900002
2014-02-25 68.760002 68.870003 67.730003 67.860001 714300 67.860001
2014-02-26 67.879997 68.550003 67.57 67.849998 591300 67.849998
2014-02-27 67.739998 68.489998 66.860001 68.230003 953100 68.230003
2014-02-28 68.199997 70.830002 68.160004 69.760002 1515400 69.760002
2014-03-03 69.370003 69.589996 68.760002 69.019997 1233200 69.019997
2014-03-04 69.489998 70.449997 69.209999 70.349998 1049100 70.349998
2014-03-05 69.75 72.620003 69.540001 72.510002 1534000 72.510002
2014-03-06 72.410004 74.199997 71.809998 72.300003 1896000 72.300003
2014-03-07 72.699997 72.699997 71.709999 72.07 958600 72.07
2014-03-10 72.910004 73.349998 72.610001 73.059998 1513300 73.059998
2014-03-11 73.019997 73.660004 72.650002 73.190002 575400 73.190002
2014-03-12 72.940002 73.959999 72.540001 73.860001 692100 73.860001
2014-03-13 73.980003 73.980003 71.900002 72 631800 72
2014-03-14 71.870003 72.849998 71.709999 72.139999 1046200 72.139999
2014-03-17 72.589996 72.839996 72.07 72.370003 688800 72.370003
2014-03-18 72.470001 73.400002 72.440002 72.93 536400 72.93
2014-03-19 72.940002 74.610001 72.830002 73.93 1012700 73.93
2014-03-20 73.82 74.050003 72.540001 73.029999 695700 73.029999
2014-03-21 73.620003 73.900002 71.739998 72.129997 1246500 72.129997
2014-03-24 72.330002 72.669998 70.339996 70.940002 1154500 70.940002
2014-03-25 71.029999 72.360001 71.029999 72.309998 974300 72.309998
2014-03-26 72.760002 73.730003 72.5 73.139999 1096700 73.139999
2014-03-27 72.779999 73.410004 70.889999 71.260002 1091600 71.260002
2014-03-28 71.279999 71.980003 70.290001 71.160004 2524400 71.160004
2014-03-31 73.800003 75.620003 72.040001 74.169998 4056700 74.169998
2014-04-01 74.769997 74.989998 73.449997 74.220001 750200 74.220001
2014-04-02 74.410004 74.889999 73.660004 74.790001 835900 74.790001
2014-04-03 74.919998 75.330002 74.260002 75.190002 1173500 75.190002
2014-04-04 75.389999 76.489998 74.089996 74.25 748000 74.25
2014-04-07 74.029999 74.209999 73.32 73.699997 1068400 73.699997
2014-04-08 73.720001 74.739998 73.559998 74.639999 885100 74.639999
2014-04-09 74.879997 75.190002 74.110001 74.989998 1354300 74.989998
2014-04-10 74.5 75.459999 74.099998 74.5 1472400 74.5
2014-04-11 74.169998 74.349998 72.790001 72.970001 1487600 72.970001
2014-04-14 81.93 84.400002 80.730003 81 7225100 81
2014-04-15 81.32 81.889999 78.089996 80.720001 1977900 80.720001
2014-04-16 80.93 81.230003 79.199997 80.43 1189400 80.43
2014-04-17 80.010002 81.690002 79.260002 81.290001 2133400 81.290001
2014-04-21 81.349998 81.660004 77.160004 79.120003 2480600 79.120003
2014-04-22 79.129997 80.370003 78.690002 79.739998 1491700 79.739998
2014-04-23 79.730003 80.43 79.400002 79.919998 1059400 79.919998
2014-04-24 80.400002 80.449997 78.519997 80.269997 953000 80.269997
2014-04-25 79.699997 82 78.860001 80.5 1368000 80.5
2014-04-28 80.739998 81.43 80.010002 81.18 796600 81.18
2014-04-29 81.470001 81.870003 80.879997 81.300003 828100 81.300003
2014-04-30 81.440002 81.830002 80.860001 81.470001 959900 81.470001
2014-05-01 81.269997 82.720001 81.199997 82.419998 1005600 82.419998
2014-05-02 82.239998 82.550003 81.730003 82.309998 604500 82.309998
2014-05-05 81.730003 83.949997 81.690002 83.919998 1000200 83.919998
2014-05-06 82.910004 83.589996 82.690002 83.260002 675200 83.260002
2014-05-07 83.309998 83.809998 82.699997 83.760002 832900 83.760002
2014-05-08 83.849998 84.720001 83.360001 83.879997 774700 83.879997
2014-05-09 83.830002 85.5 83.330002 85.389999 848100 85.389999
2014-05-12 85.599998 86.309998 85.580002 86.190002 529100 86.190002
2014-05-13 86.32 86.519997 85.519997 86.110001 496200 86.110001
2014-05-14 86.110001 86.389999 85.650002 86.019997 470700 86.019997
2014-05-15 86 86.589996 85.589996 85.870003 1325400 85.870003
2014-05-16 85.849998 86.75 85.660004 86.029999 712800 86.029999
2014-05-19 85.720001 86.629997 85.580002 86.480003 729200 86.480003
2014-05-20 87.029999 87.029999 84.080002 85.150002 1757200 85.150002
2014-05-21 85.800003 86.389999 83.940002 84.980003 1116400 84.980003
2014-05-22 85.099998 85.230003 81.019997 81.400002 2209200 81.400002
2014-05-23 81.709999 81.860001 79.529999 80.769997 1894800 80.769997
2014-05-27 80.959999 81.300003 78.860001 79.5 1925900 79.5
2014-05-28 79.849998 80.709999 78.970001 80.360001 1605700 80.360001
2014-05-29 80.769997 81.360001 80.370003 80.540001 597700 80.540001
2014-05-30 80.599998 81.989998 80.239998 81.199997 924000 81.199997
2014-06-02 81.120003 81.370003 79.93 80.660004 894400 80.660004
2014-06-03 80.309998 81.25 80.220001 80.580002 534800 80.580002
2014-06-04 80.269997 81.040001 80.040001 80.480003 552400 80.480003
2014-06-05 80.730003 81.419998 80 80.419998 906400 80.419998
2014-06-06 80.75 80.970001 80.230003 80.400002 551900 80.400002
2014-06-09 80.220001 80.879997 79.809998 80.809998 6e+05 80.809998
2014-06-10 81.93 82.290001 80.099998 80.709999 772600 80.709999
2014-06-11 81.480003 82.970001 81.010002 82.510002 1284400 82.510002
2014-06-12 82.25 82.489998 79.889999 79.889999 1896900 79.889999
2014-06-13 80.07 80.169998 78.150002 78.360001 1540300 78.360001
2014-06-16 79.029999 80.849998 78.120003 78.440002 1205200 78.440002
2014-06-17 81.75 83.699997 81.029999 82.059998 2122300 82.059998
2014-06-18 82 82.949997 81.57 82.900002 748400 82.900002
2014-06-19 82.699997 84.110001 82.489998 84.080002 816000 84.080002
2014-06-20 84.269997 85.330002 83.910004 85.300003 1627300 85.300003
2014-06-23 85.089996 86.190002 85.080002 85.650002 876100 85.650002
2014-06-24 84.959999 85.879997 84.760002 84.800003 598000 84.800003
2014-06-25 85 86.379997 84.470001 84.709999 670100 84.709999
2014-06-26 84.919998 85.940002 84.790001 85.910004 425500 85.910004
2014-06-27 85.760002 88.190002 85.699997 87.860001 1504800 87.860001
2014-06-30 87.650002 87.879997 85.720001 85.839996 958200 85.839996
2014-07-01 86.089996 87.25 86.089996 87.139999 738900 87.139999
2014-07-02 87.050003 87.970001 87.019997 87.760002 570000 87.760002
2014-07-03 87.720001 88.199997 87.5 88.089996 658400 88.089996
2014-07-07 87.470001 87.790001 87.029999 87.43 440600 87.43
2014-07-08 87.080002 87.379997 86.669998 86.940002 504400 86.940002
2014-07-09 87.110001 87.919998 86.959999 87.889999 365000 87.889999
2014-07-10 87.07 88.239998 86.760002 88.150002 418400 88.150002
2014-07-11 87.889999 88.410004 87.019997 87.940002 561600 87.940002
2014-07-14 88.339996 88.339996 86.32 86.790001 924100 86.790001
2014-07-15 86.989998 87.720001 86.57 87.540001 995000 87.540001
2014-07-16 87.57 87.730003 86.239998 86.400002 689500 86.400002
2014-07-17 86.010002 87.099998 84.989998 85.040001 916700 85.040001
2014-07-18 85.449997 86.110001 84.949997 85.330002 1962800 85.330002
2014-07-21 85.139999 85.690002 84.050003 85.32 918800 85.32
2014-07-22 85.709999 86.239998 85.290001 85.699997 792900 85.699997
2014-07-23 86 86.410004 85.379997 85.540001 567700 85.540001
2014-07-24 86.029999 86.120003 85.099998 85.169998 2242200 85.169998
2014-07-25 85.010002 85.440002 84.68 85 1333600 85
2014-07-28 85.389999 85.550003 84.690002 84.900002 1761600 84.900002
2014-07-29 85.18 85.18 84.349998 84.440002 1091300 84.440002
2014-07-30 91 94.5 90.519997 92.879997 5682500 92.879997
2014-07-31 92.129997 92.5 90.209999 90.25 2288500 90.25
2014-08-01 90.199997 92.059998 89.419998 91.970001 1899900 91.970001
2014-08-04 92 93.540001 91.610001 93.400002 1077800 93.400002
2014-08-05 93.529999 94.779999 93.199997 93.809998 1407800 93.809998
2014-08-06 92.989998 95.389999 92.779999 95.010002 1208100 95.010002
2014-08-07 95.260002 95.510002 94.019997 94.370003 1151100 94.370003
2014-08-08 94.32 94.919998 93.940002 94.709999 652900 94.709999
2014-08-11 94.900002 95.449997 94.360001 94.5 513700 94.5
2014-08-12 94.620003 95.410004 94.32 94.989998 736600 94.989998
2014-08-13 95.120003 96.739998 95.010002 95.879997 848900 95.879997
2014-08-14 96.169998 96.169998 95.459999 95.690002 858000 95.690002
2014-08-15 95.889999 97.260002 95.68 96.580002 790600 96.580002
2014-08-18 97.169998 98.269997 96.919998 97.889999 813000 97.889999
2014-08-19 97.800003 98.019997 97.07 97.970001 580900 97.970001
2014-08-20 97.580002 98.339996 96.639999 97.57 892800 97.57
2014-08-21 98.449997 98.940002 98.07 98.699997 948300 98.699997
2014-08-22 99 99.110001 98.160004 98.410004 649400 98.410004
2014-08-25 98.629997 98.919998 98.099998 98.529999 454500 98.529999
2014-08-26 99.110001 99.349998 98 98.800003 758900 98.800003
2014-08-27 98.68 98.790001 97.459999 97.519997 698200 97.519997
2014-08-28 97.68 98.410004 96.830002 98.260002 619600 98.260002
2014-08-29 98.349998 99.349998 97.82 99.260002 729800 99.260002
2014-09-02 99.360001 99.519997 96.839996 97.580002 981200 97.580002
2014-09-03 98.209999 98.629997 97.610001 97.910004 867000 97.910004
