"Index" "USD.RUB"
2013-04-07 31.6012
2013-04-08 31.4297
2013-04-09 31.1433
2013-04-10 30.95
2013-04-11 30.863
2013-04-12 30.9696
2013-04-13 31.0682
2013-04-14 31.0682
2013-04-15 31.2954
2013-04-16 31.4173
2013-04-17 31.4479
2013-04-18 31.714
2013-04-19 31.5713
2013-04-20 31.6545
2013-04-21 31.6545
2013-04-22 31.6219
2013-04-23 31.6455
2013-04-24 31.5506
2013-04-25 31.2879
2013-04-26 31.2286
2013-04-27 31.2763
2013-04-28 31.2752
2013-04-29 31.1251
2013-04-30 31.0205
2013-05-01 31.1745
2013-05-02 31.2936
2013-05-03 31.121
2013-05-04 31.0719
2013-05-05 31.1155
2013-05-06 31.0817
2013-05-07 31.037
2013-05-08 31.0948
2013-05-09 31.1417
2013-05-10 31.2934
2013-05-11 31.4155
2013-05-12 31.4185
2013-05-13 31.3647
2013-05-14 31.3239
2013-05-15 31.4449
2013-05-16 31.4175
2013-05-17 31.4175
2013-05-18 31.4443
2013-05-19 31.454
2013-05-20 31.3347
2013-05-21 31.238
2013-05-22 31.2397
2013-05-23 31.4156
2013-05-24 31.3659
2013-05-25 31.3255
2013-05-26 31.326
2013-05-27 31.3381
2013-05-28 31.42
2013-05-29 31.5486
2013-05-30 31.6536
2013-05-31 31.8199
2013-06-01 31.9187
2013-06-02 31.8975
2013-06-03 31.9364
2013-06-04 31.8736
2013-06-05 32.0347
2013-06-06 32.1677
2013-06-07 32.2095
2013-06-08 32.173
2013-06-09 32.2069
2013-06-10 32.2719
2013-06-11 32.3769
2013-06-12 32.2968
2013-06-13 32.1533
2013-06-14 31.8295
2013-06-15 31.8295
2013-06-16 31.7364
2013-06-17 31.71
2013-06-18 31.9233
2013-06-19 32.1561
2013-06-20 32.6964
2013-06-21 32.8573
2013-06-22 32.7723
2013-06-23 32.8715
2013-06-24 32.8481
2013-06-25 32.7892
2013-06-26 32.8659
2013-06-27 32.8656
2013-06-28 32.8062
2013-06-29 32.8531
2013-06-30 32.8345
2013-07-01 32.8942
2013-07-02 33.0501
2013-07-03 33.198
2013-07-04 33.1797
2013-07-05 33.2397
2013-07-06 33.342
2013-07-07 33.1975
2013-07-08 33.2815
2013-07-09 33.0805
2013-07-10 32.9512
2013-07-11 32.7301
2013-07-12 32.6373
2013-07-13 32.6373
2013-07-14 32.6359
2013-07-15 32.633
2013-07-16 32.5075
2013-07-17 32.4097
2013-07-18 32.3893
2013-07-19 32.4142
2013-07-20 32.3679
2013-07-21 32.3771
2013-07-22 32.3332
2013-07-23 32.3408
2013-07-24 32.3491
2013-07-25 32.5619
2013-07-26 32.6894
2013-07-27 32.7901
2013-07-28 32.8045
2013-07-29 32.8057
2013-07-30 32.9048
2013-07-31 32.9963
2013-08-01 33.0127
2013-08-02 33.0035
2013-08-03 33.0035
2013-08-04 32.8441
2013-08-05 32.8761
2013-08-06 32.9254
2013-08-07 32.993
2013-08-08 32.9238
2013-08-09 32.8536
2013-08-10 32.8536
2013-08-11 32.82
2013-08-12 32.9326
2013-08-13 33.0516
2013-08-14 33.0979
2013-08-15 32.9972
2013-08-16 32.9118
2013-08-17 32.9594
2013-08-18 32.89
2013-08-19 32.9262
2013-08-20 32.968
2013-08-21 33.0097
2013-08-22 33.1388
2013-08-23 33.0362
2013-08-24 33.0485
2013-08-25 33.033
2013-08-26 33.0192
2013-08-27 33.0684
2013-08-28 33.1394
2013-08-29 33.2025
2013-08-30 33.2593
2013-08-31 33.2901
2013-09-01 33.2901
2013-09-02 33.3145
2013-09-03 33.4301
2013-09-04 33.4337
2013-09-05 33.3873
2013-09-06 33.3873
2013-09-07 33.2835
2013-09-08 33.2727
2013-09-09 33.2399
