"Index" "PA.Open" "PA.High" "PA.Low" "PA.Close" "PA.Volume" "PA.Adjusted"
2013-07-17 0.041 0.041 0.036 0.04 3400000 0.04
2013-07-18 0.04 0.04 0.04 0.04 0 0.04
2013-07-19 0.04 0.04 0.04 0.04 0 0.04
2013-07-22 0.04 0.04 0.04 0.04 0 0.04
2013-07-23 0.04 0.04 0.04 0.04 0 0.04
2013-07-24 0.036 0.04 0.036 0.04 1900000 0.04
2013-07-25 0.04 0.04 0.04 0.04 0 0.04
2013-07-26 0.04 0.04 0.04 0.04 0 0.04
2013-07-29 0.04 0.04 0.04 0.04 0 0.04
2013-07-30 0.04 0.04 0.04 0.04 0 0.04
2013-07-31 0.04 0.04 0.04 0.04 0 0.04
2013-08-01 0.036 0.04 0.036 0.04 8e+05 0.04
2013-08-02 0.04 0.04 0.04 0.04 0 0.04
2013-08-05 0.037 0.04 0.035 0.04 2100000 0.04
2013-08-06 0.035 0.039 0.033 0.039 1100000 0.039
2013-08-07 0.033 0.033 0.033 0.033 1e+05 0.033
2013-08-08 0.039 0.039 0.039 0.039 1e+05 0.039
2013-08-09 0.039 0.039 0.039 0.039 0 0.039
2013-08-12 0.033 0.033 0.033 0.033 1e+05 0.033
2013-08-13 0.038 0.038 0.038 0.038 1e+05 0.038
2013-08-14 0.038 0.038 0.038 0.038 0 0.038
2013-08-15 0.038 0.038 0.038 0.038 0 0.038
2013-08-16 0.038 0.038 0.038 0.038 0 0.038
2013-08-19 0.038 0.038 0.038 0.038 0 0.038
2013-08-20 0.038 0.038 0.038 0.038 0 0.038
2013-08-21 0.038 0.038 0.038 0.038 0 0.038
2013-08-22 0.038 0.038 0.038 0.038 0 0.038
2013-08-23 0.038 0.038 0.038 0.038 0 0.038
2013-08-26 0.038 0.038 0.038 0.038 0 0.038
2013-08-27 0.035 0.038 0.034 0.038 1300000 0.038
2013-08-28 0.038 0.038 0.038 0.038 6e+05 0.038
2013-08-29 0.034 0.038 0.034 0.038 7e+05 0.038
2013-08-30 0.038 0.038 0.038 0.038 4e+05 0.038
