"Index" "FEW.Open" "FEW.High" "FEW.Low" "FEW.Close" "FEW.Volume" "FEW.Adjusted"
2013-12-19 2.11 2.11 2.11 2.11 0 2.11
2013-12-20 2.11 2.11 2.11 2.11 0 2.11
2013-12-23 2.11 2.11 2.11 2.11 0 2.11
2013-12-24 2.11 2.11 2.11 2.11 0 2.11
2013-12-25 2.11 2.11 2.11 2.11 0 2.11
2013-12-26 2.11 2.11 2.11 2.11 0 2.11
2013-12-27 2.12 2.12 2.12 2.12 0 2.12
2013-12-30 2.054 2.054 2.054 2.054 0 2.054
2013-12-31 2.054 2.054 2.054 2.054 0 2.054
2014-01-01 2.054 2.054 2.054 2.054 0 2.054
2014-01-02 2.08 2.08 2.08 2.08 0 2.08
2014-01-03 2.056 2.056 2.056 2.056 0 2.056
2014-01-06 2.05 2.05 2.05 2.05 0 2.05
2014-01-07 2.131 2.131 2.131 2.131 0 2.131
2014-01-08 2.12 2.12 2.12 2.12 0 2.12
2014-01-09 2.05 2.05 2.05 2.05 0 2.05
2014-01-10 2.05 2.05 2.05 2.05 0 2.05
2014-01-13 2.1 2.1 2.1 2.1 0 2.1
2014-01-14 2.064 2.064 2.064 2.064 0 2.064
2014-01-15 2.05 2.05 2.05 2.05 0 2.05
2014-01-16 2.051 2.051 2.051 2.051 0 2.051
2014-01-17 2.061 2.061 2.061 2.061 0 2.061
2014-01-20 2.07 2.07 2.07 2.07 0 2.07
2014-01-21 2.071 2.071 2.071 2.071 0 2.071
2014-01-22 2.077 2.077 2.077 2.077 0 2.077
2014-01-23 2.05 2.05 2.05 2.05 0 2.05
2014-01-24 2.061 2.061 2.061 2.061 0 2.061
2014-01-27 2.056 2.056 2.056 2.056 0 2.056
2014-01-28 2.024 2.024 2.024 2.024 0 2.024
2014-01-29 2.016 2.016 2.016 2.016 0 2.016
2014-01-30 2.021 2.021 2.021 2.021 0 2.021
2014-01-31 2.011 2.011 2.011 2.011 0 2.011
2014-02-03 2.009 2.009 2.009 2.009 0 2.009
2014-02-04 2 2 2 2 0 2
2014-02-05 1.99 1.99 1.99 1.99 0 1.99
2014-02-06 1.99 1.99 1.99 1.99 0 1.99
2014-02-07 1.99 1.99 1.99 1.99 0 1.99
2014-02-10 1.994 1.994 1.994 1.994 0 1.994
2014-02-11 2.003 2.003 2.003 2.003 0 2.003
2014-02-12 2.03 2.03 2.03 2.03 0 2.03
2014-02-13 2.029 2.029 2.029 2.029 0 2.029
2014-02-14 2.029 2.029 2.029 2.029 0 2.029
2014-02-17 2.015 2.015 2.015 2.015 0 2.015
2014-02-18 2.041 2.041 2.041 2.041 0 2.041
2014-02-19 2.041 2.041 2.041 2.041 0 2.041
2014-02-20 1.973 1.973 1.973 1.973 0 1.973
2014-02-21 2.199 2.199 2.199 2.199 0 2.199
2014-02-24 2.2 2.2 2.2 2.2 0 2.2
2014-02-25 2.2 2.2 2.2 2.2 0 2.2
2014-02-26 2.046 2.046 2.046 2.046 0 2.046
2014-02-27 2.046 2.046 2.046 2.046 0 2.046
2014-02-28 2.049 2.049 2.049 2.049 0 2.049
2014-03-03 2.12 2.12 2.12 2.12 0 2.12
2014-03-04 2.029 2.029 2.029 2.029 0 2.029
2014-03-05 2.08 2.08 2.08 2.08 0 2.08
2014-03-06 2.099 2.099 2.099 2.099 0 2.099
2014-03-07 2.08 2.08 2.08 2.08 0 2.08
2014-03-10 2.093 2.093 2.093 2.093 0 2.093
2014-03-11 2.15 2.15 2.15 2.15 0 2.15
2014-03-12 2.236 2.236 2.236 2.236 0 2.236
2014-03-13 2.219 2.219 2.219 2.219 0 2.219
2014-03-14 2.08 2.08 2.08 2.08 0 2.08
2014-03-17 2.129 2.261 2.129 2.261 0 2.261
2014-03-18 2.25 2.25 2.25 2.25 0 2.25
2014-03-19 2.28 2.28 2.28 2.28 0 2.28
2014-03-20 2.281 2.281 2.281 2.281 0 2.281
2014-03-21 2.314 2.314 2.314 2.314 0 2.314
2014-03-24 2.362 2.362 2.362 2.362 0 2.362
2014-03-25 2.373 2.373 2.373 2.373 0 2.373
2014-03-26 2.35 2.35 2.35 2.35 0 2.35
2014-03-27 2.35 2.35 2.35 2.35 0 2.35
2014-03-28 2.307 2.307 2.307 2.307 0 2.307
2014-03-31 2.301 2.301 2.301 2.301 0 2.301
2014-04-01 2.308 2.308 2.308 2.308 0 2.308
2014-04-02 2.209 2.209 2.209 2.209 0 2.209
2014-04-03 2.231 2.231 2.231 2.231 0 2.231
2014-04-04 2.224 2.224 2.224 2.224 0 2.224
2014-04-07 2.2 2.2 2.2 2.2 0 2.2
2014-04-08 2.2 2.2 2.2 2.2 0 2.2
2014-04-09 2.104 2.104 2.104 2.104 0 2.104
2014-04-10 2.111 2.111 2.111 2.111 0 2.111
2014-04-11 2.155 2.155 2.155 2.155 0 2.155
2014-04-14 2.155 2.155 2.155 2.155 0 2.155
2014-04-15 2.091 2.091 2.091 2.091 0 2.091
2014-04-16 2.091 2.091 2.091 2.091 0 2.091
2014-04-17 2.2 2.2 2.2 2.2 0 2.2
2014-04-18 2.2 2.2 2.2 2.2 0 2.2
2014-04-21 2.2 2.2 2.2 2.2 0 2.2
2014-04-22 2.2 2.2 2.2 2.2 0 2.2
2014-04-23 2.2 2.2 2.2 2.2 0 2.2
2014-04-24 2.165 2.165 2.165 2.165 0 2.165
2014-04-25 2.15 2.15 2.15 2.15 0 2.15
2014-04-28 2.17 2.17 2.17 2.17 0 2.17
2014-04-29 2.15 2.15 2.15 2.15 0 2.15
2014-04-30 2.222 2.222 2.222 2.222 0 2.222
2014-05-01 2.222 2.222 2.222 2.222 0 2.222
2014-05-02 2.35 2.35 2.35 2.35 0 2.35
2014-05-05 2.3 2.3 2.3 2.3 0 2.3
2014-05-06 2.31 2.31 2.31 2.31 0 2.31
2014-05-07 2.404 2.404 2.404 2.404 0 2.404
2014-05-08 2.378 2.378 2.378 2.378 0 2.378
2014-05-09 2.381 2.381 2.381 2.381 0 2.381
2014-05-12 2.34 2.34 2.34 2.34 0 2.34
2014-05-13 2.326 2.326 2.326 2.326 0 2.326
2014-05-14 2.331 2.331 2.331 2.331 0 2.331
2014-05-15 2.357 2.357 2.357 2.357 0 2.357
2014-05-16 2.323 2.323 2.323 2.323 0 2.323
2014-05-19 2.287 2.287 2.287 2.287 0 2.287
2014-05-20 2.287 2.287 2.287 2.287 0 2.287
2014-05-21 2.3 2.3 2.3 2.3 0 2.3
2014-05-22 2.3 2.3 2.3 2.3 0 2.3
2014-05-23 2.3 2.3 2.3 2.3 0 2.3
2014-05-26 2.386 2.386 2.386 2.386 0 2.386
2014-05-27 2.3 2.3 2.3 2.3 0 2.3
2014-05-28 2.258 2.258 2.258 2.258 0 2.258
2014-05-29 2.258 2.258 2.258 2.258 0 2.258
2014-05-30 2.305 2.305 2.305 2.305 0 2.305
2014-06-02 2.301 2.301 2.301 2.301 0 2.301
2014-06-03 2.292 2.292 2.292 2.292 0 2.292
2014-06-04 2.306 2.306 2.306 2.306 0 2.306
2014-06-05 2.271 2.271 2.271 2.271 0 2.271
2014-06-06 2.359 2.359 2.359 2.359 0 2.359
2014-06-09 2.277 2.277 2.277 2.277 0 2.277
2014-06-10 2.271 2.271 2.271 2.271 0 2.271
2014-06-11 2.29 2.29 2.29 2.29 0 2.29
2014-06-12 2.318 2.318 2.318 2.318 0 2.318
2014-06-13 2.334 2.334 2.334 2.334 0 2.334
2014-06-16 2.384 2.479 2.384 2.479 0 2.479
2014-06-17 2.546 2.546 2.546 2.546 0 2.546
2014-06-18 2.5 2.5 2.5 2.5 0 2.5
2014-06-19 2.454 2.454 2.454 2.454 0 2.454
2014-06-20 2.46 2.46 2.46 2.46 0 2.46
2014-06-23 2.5 2.5 2.5 2.5 0 2.5
2014-06-24 2.46 2.46 2.46 2.46 0 2.46
2014-06-25 2.5 2.5 2.5 2.5 0 2.5
2014-06-26 2.5 2.5 2.5 2.5 0 2.5
2014-06-27 2.46 2.46 2.46 2.46 0 2.46
2014-06-30 2.47 2.47 2.47 2.47 0 2.47
2014-07-01 2.488 2.488 2.488 2.488 0 2.488
2014-07-02 2.494 2.494 2.494 2.494 0 2.494
2014-07-03 2.539 2.539 2.539 2.539 0 2.539
2014-07-04 2.46 2.46 2.46 2.46 0 2.46
2014-07-07 2.459 2.459 2.459 2.459 0 2.459
2014-07-08 2.47 2.47 2.47 2.47 0 2.47
2014-07-09 2.47 2.47 2.47 2.47 0 2.47
2014-07-10 2.459 2.459 2.459 2.459 0 2.459
2014-07-11 2.459 2.459 2.459 2.459 0 2.459
2014-07-14 2.459 2.459 2.459 2.459 0 2.459
2014-07-15 2.323 2.323 2.323 2.323 0 2.323
2014-07-16 2.313 2.313 2.313 2.313 0 2.313
2014-07-17 2.324 2.324 2.324 2.324 0 2.324
2014-07-18 2.543 2.543 2.543 2.543 0 2.543
2014-07-21 2.406 2.406 2.406 2.406 0 2.406
2014-07-22 2.37 2.37 2.37 2.37 0 2.37
2014-07-23 2.37 2.37 2.37 2.37 0 2.37
2014-07-24 2.37 2.37 2.37 2.37 0 2.37
2014-07-25 2.399 2.399 2.399 2.399 0 2.399
2014-07-28 2.374 2.374 2.374 2.374 0 2.374
2014-07-29 2.377 2.377 2.377 2.377 0 2.377
2014-07-30 2.376 2.376 2.376 2.376 0 2.376
2014-07-31 2.37 2.37 2.37 2.37 0 2.37
2014-08-01 2.392 2.392 2.392 2.392 0 2.392
2014-08-04 2.314 2.314 2.314 2.314 0 2.314
2014-08-05 2.37 2.37 2.37 2.37 0 2.37
2014-08-06 2.391 2.391 2.391 2.391 0 2.391
2014-08-07 2.452 2.452 2.452 2.452 0 2.452
2014-08-08 2.45 2.45 2.45 2.45 0 2.45
2014-08-11 2.45 2.45 2.45 2.45 0 2.45
2014-08-12 2.45 2.45 2.45 2.45 0 2.45
2014-08-13 2.469 2.469 2.469 2.469 0 2.469
