"Index" "KRZ.Open" "KRZ.High" "KRZ.Low" "KRZ.Close" "KRZ.Volume" "KRZ.Adjusted"
2014-01-02 50.5 50.515 50.02 50.14 0 49.3949
2014-01-03 50.12 50.42 48.695 49.845 98700 49.1042
2014-01-06 50.2 50.2 49.6 50 79900 49.2569
2014-01-07 49.9 50.35 49.8 49.93 343600 49.188
2014-01-08 50 50.1 49.8 49.99 179700 49.2471
2014-01-09 50 50.66 49.8 50.38 270000 49.6313
2014-01-10 50.5 50.5 50.03 50.3 72100 49.5525
2014-01-13 50.01 50.65 50.01 50.51 78200 49.7594
2014-01-14 50.7 51.27 50.36 51.04 273200 50.2815
2014-01-15 51 51.45 50 51.2 719900 50.4391
2014-01-16 51.06 51.86 51.06 51.66 129200 50.8923
2014-01-17 51.84 52 51.51 51.52 116000 50.7544
2014-01-20 51.5 51.75 51 51.26 175200 50.4982
2014-01-21 51.4 51.98 51.15 51.89 103500 51.1189
2014-01-22 51.85 52.548 51.66 52.06 348800 51.2863
2014-01-23 51.71 52.49 51.22 51.68 442000 50.912
2014-01-24 51.33 51.99 51 51.2 113300 50.4391
2014-01-27 51 51.2 49.79 49.85 210400 49.1092
2014-01-28 50 50.3 49.285 49.65 247800 48.9121
2014-01-29 49.6 50.5 49.425 50.06 111900 49.316
2014-01-30 50.2 50.2 49.28 49.99 209800 49.2471
2014-01-31 49.67 50.08 49.54 49.9 248800 49.1584
2014-02-03 50 50.48 49.77 50.13 179000 49.385
2014-02-04 50.78 50.78 49.58 49.75 193500 49.0107
2014-02-05 49.95 50.71 49.675 50.63 412100 49.8776
2014-02-06 50.9 51.24 50.75 51.2 230200 50.4391
2014-02-07 50.8 51.8 50.8 51.62 222800 50.8529
2014-02-10 51.99 52 51.01 51.63 249500 50.8627
2014-02-11 52 52.37 51.31 52.19 129700 51.4144
2014-02-12 52.57 52.8 51.98 52.15 229400 51.375
2014-02-13 51.5 52.19 51.5 51.55 131200 50.7839
2014-02-14 51.51 51.75 51.34 51.5 127900 50.7346
