"Index" "HB.Open" "HB.High" "HB.Low" "HB.Close" "HB.Volume" "HB.Adjusted"
2013-07-18 0.09 0.09 0.07 0.07 8200 3.6
2013-07-19 0.07 0.07 0.06 0.06 8100 2.9
2013-07-22 0.05 0.06 0.05 0.06 9700 2.95
2013-07-23 0.06 0.06 0.06 0.06 7500 3.15
2013-07-24 0.06 0.06 0.06 0.06 4200 3
2013-07-25 0.06 0.06 0.06 0.06 7200 2.95
2013-07-26 0.06 0.06 0.06 0.06 3400 2.95
2013-07-29 0.06 0.06 0.06 0.06 15200 2.95
2013-07-30 0.06 0.06 0.06 0.06 3700 2.9
2013-07-31 0.06 0.06 0.05 0.05 11700 2.75
2013-08-01 0.05 0.06 0.05 0.05 8700 2.75
2013-08-02 0.06 0.06 0.05 0.06 7200 3.05
2013-08-05 0.06 0.06 0.06 0.06 13400 3.1
2013-08-06 0.06 0.06 0.06 0.06 3800 3.2
2013-08-07 0.06 0.07 0.06 0.07 9500 3.55
2013-08-08 0.07 0.08 0.07 0.08 11200 4.25
2013-08-09 0.08 0.1 0.08 0.09 12000 4.5
2013-08-12 0.09 0.09 0.08 0.08 4700 4.2
2013-08-13 0.08 0.08 0.07 0.07 4000 3.5
2013-08-14 0.07 0.08 0.07 0.07 5500 3.6
2013-08-15 0.07 0.07 0.07 0.07 0 3.6
2013-08-16 0.07 0.07 0.07 0.07 2600 3.55
2013-08-19 0.08 0.08 0.06 0.07 8200 3.3
2013-08-20 0.07 0.07 0.06 0.06 4300 3.25
2013-08-21 0.07 0.07 0.06 0.06 1900 3.2
2013-08-22 0.06 0.06 0.06 0.06 3600 3.2
2013-08-23 0.06 0.06 0.06 0.06 1400 3.2
2013-08-26 0.07 0.07 0.06 0.07 2300 3.3
2013-08-27 0.07 0.07 0.07 0.07 6400 3.45
2013-08-28 0.07 0.07 0.07 0.07 2700 3.45
2013-08-29 0.07 0.07 0.07 0.07 6900 3.5
2013-08-30 0.07 0.07 0.07 0.07 2000 3.5
2013-09-02 0.07 0.07 0.07 0.07 2600 3.6
2013-09-03 0.07 0.07 0.07 0.07 1100 3.6
2013-09-04 0.07 0.07 0.07 0.07 1500 3.65
2013-09-05 0.07 0.07 0.07 0.07 2600 3.7
2013-09-06 0.07 0.07 0.07 0.07 4000 3.65
2013-09-09 0.07 0.08 0.07 0.08 6700 3.8
2013-09-10 0.07 0.08 0.07 0.08 6800 3.8
2013-09-11 0.07 0.07 0.07 0.07 600 3.7
2013-09-12 0.07 0.08 0.07 0.08 7300 3.85
2013-09-13 0.07 0.07 0.07 0.07 17400 3.5
2013-09-16 0.07 0.07 0.07 0.07 8700 3.5
2013-09-17 0.07 0.07 0.07 0.07 1100 3.5
2013-09-18 0.07 0.07 0.07 0.07 5800 3.55
2013-09-19 0.07 0.07 0.07 0.07 8100 3.6
2013-09-20 0.07 0.07 0.07 0.07 800 3.5
2013-09-23 0.07 0.07 0.07 0.07 3000 3.35
2013-09-24 0.07 0.07 0.05 0.05 29300 2.75
2013-09-25 0.06 0.06 0.05 0.05 9500 2.7
2013-09-26 0.06 0.06 0.05 0.05 5300 2.6
2013-09-27 0.05 0.05 0.05 0.05 1200 2.65
2013-09-30 0.05 0.05 0.05 0.05 100 2.65
2013-10-01 0.05 0.05 0.05 0.05 0 2.65
2013-10-02 0.05 0.05 0.05 0.05 1600 2.6
2013-10-03 0.05 0.05 0.05 0.05 9300 2.5
2013-10-04 0.05 0.05 0.05 0.05 1900 2.5
2013-10-07 0.05 0.05 0.05 0.05 900 2.55
2013-10-08 0.05 0.05 0.05 0.05 3700 2.5
2013-10-09 0.05 0.05 0.05 0.05 2600 2.45
2013-10-10 0.05 0.05 0.05 0.05 2800 2.45
2013-10-11 0.05 0.05 0.05 0.05 3700 2.4
2013-10-14 0.05 0.05 0.05 0.05 2500 2.4
2013-10-15 0.05 0.05 0.05 0.05 4100 2.4
2013-10-16 0.05 0.05 0.05 0.05 0 2.4
2013-10-17 0.05 0.05 0.05 0.05 1800 2.45
2013-10-18 0.05 0.05 0.05 0.05 4700 2.35
2013-10-21 0.05 0.05 0.05 0.05 17300 2.5
2013-10-22 0.05 0.05 0.05 0.05 6900 2.45
2013-10-23 0.05 0.05 0.05 0.05 6100 2.4
2013-10-24 0.05 0.05 0.05 0.05 10600 2.35
2013-10-25 0.05 0.05 0.05 0.05 6000 2.4
2013-10-28 0.05 0.05 0.05 0.05 0 2.4
2013-10-29 0.05 0.06 0.05 0.06 22600 2.85
2013-10-30 0.06 0.06 0.06 0.06 0 2.85
2013-10-31 0.06 0.06 0.06 0.06 0 2.85
2013-11-01 0.06 0.06 0.06 0.06 0 2.85
2013-11-04 0.06 0.07 0.06 0.07 900 3.4
2013-11-05 0.07 0.08 0.07 0.08 3400 4.05
2013-11-06 0.09 0.1 0.09 0.1 103500 4.85
2013-11-07 0.11 0.12 0.11 0.12 79700 5.8
2013-11-08 0.13 0.14 0.11 0.11 90100 5.5
2013-11-11 0.11 0.12 0.1 0.1 17400 5.2
2013-11-12 0.1 0.11 0.1 0.1 8800 5.1
2013-11-13 0.1 0.1 0.08 0.09 28600 4.35
2013-11-14 0.08 0.09 0.08 0.09 19800 4.55
2013-11-15 0.09 0.11 0.09 0.11 52100 5.4
2013-11-18 0.12 0.12 0.11 0.11 39900 5.45
2013-11-20 0.11 0.11 0.11 0.11 11200 5.4
2013-11-21 0.11 0.11 0.1 0.11 12300 5.4
2013-11-22 0.11 0.11 0.1 0.11 5900 5.3
2013-11-25 0.11 0.11 0.1 0.1 7700 5.2
2013-11-26 0.1 0.11 0.1 0.1 3500 5.15
2013-11-27 0.1 0.1 0.1 0.1 11900 4.95
2013-11-28 0.1 0.1 0.1 0.1 16600 4.95
2013-11-29 0.1 0.1 0.09 0.09 28900 4.75
2013-12-02 0.1 0.1 0.09 0.09 40000 4.55
2013-12-03 0.09 0.09 0.09 0.09 7800 4.55
2013-12-04 0.09 0.09 0.09 0.09 3200 4.5
2013-12-05 0.09 0.09 0.09 0.09 18600 4.55
2013-12-06 0.09 0.09 0.09 0.09 3100 4.5
2013-12-09 0.09 0.09 0.09 0.09 6400 4.5
2013-12-10 0.09 0.09 0.09 0.09 2300 4.55
2013-12-11 0.09 0.09 0.09 0.09 2900 4.5
2013-12-12 0.09 0.09 0.09 0.09 5300 4.4
2013-12-13 0.09 0.09 0.09 0.09 2800 4.5
2013-12-16 0.09 0.09 0.09 0.09 2400 4.45
2013-12-17 0.09 0.09 0.08 0.08 18700 4.25
2013-12-18 0.08 0.09 0.08 0.08 14300 4.25
2013-12-19 0.08 0.09 0.08 0.08 3000 4.2
2013-12-20 0.09 0.09 0.08 0.09 300 4.3
2013-12-23 0.08 0.09 0.08 0.08 3400 4.25
2013-12-24 0.08 0.08 0.08 0.08 0 4.25
2013-12-25 0.08 0.08 0.08 0.08 0 4.25
2013-12-26 0.08 0.08 0.08 0.08 0 4.25
2013-12-27 0.08 0.08 0.08 0.08 1000 4.25
2013-12-30 0.08 0.09 0.08 0.08 2000 4.25
2013-12-31 0.09 0.09 0.08 0.08 3800 4.25
2014-01-01 0.08 0.08 0.08 0.08 0 4.25
2014-01-02 0.09 0.09 0.08 0.08 18200 4.25
2014-01-03 0.09 0.09 0.08 0.08 8500 4.25
2014-01-06 0.08 0.08 0.08 0.08 0 4.25
2014-01-07 0.09 0.09 0.08 0.08 10200 4.2
2014-01-08 0.08 0.08 0.08 0.08 3200 4.2
2014-01-09 0.08 0.09 0.08 0.08 17500 4.25
2014-01-10 0.08 0.09 0.08 0.09 10600 4.3
2014-01-13 0.09 0.09 0.08 0.08 13100 4.2
2014-01-14 0.08 0.09 0.08 0.08 2000 4.25
2014-01-15 0.09 0.09 0.08 0.08 5700 4.25
2014-01-16 0.09 0.09 0.08 0.09 4500 4.3
2014-01-17 0.08 0.09 0.08 0.08 1700 4.25
2014-01-20 0.08 0.09 0.08 0.08 12800 4.25
2014-01-21 0.09 0.09 0.08 0.09 22900 4.3
2014-01-22 0.08 0.09 0.08 0.08 14400 4.25
2014-01-23 0.08 0.09 0.08 0.09 19600 4.3
2014-01-24 0.08 0.09 0.08 0.08 12000 4.2
2014-01-27 0.09 0.09 0.08 0.08 8000 4.15
2014-01-28 0.08 0.08 0.08 0.08 13200 4
2014-01-29 0.08 0.08 0.08 0.08 7100 4
2014-01-30 0.08 0.08 0.08 0.08 4500 4.1
2014-01-31 0.08 0.08 0.08 0.08 4800 4
2014-02-03 0.08 0.08 0.08 0.08 1800 4
2014-02-04 0.08 0.08 0.08 0.08 2900 4
2014-02-05 0.08 0.08 0.08 0.08 10200 3.95
2014-02-06 0.08 0.08 0.08 0.08 3100 4
2014-02-07 0.08 0.08 0.08 0.08 2900 3.95
2014-02-10 0.08 0.08 0.08 0.08 9000 4.05
2014-02-11 0.08 0.1 0.08 0.09 55800 4.55
2014-02-12 0.09 0.1 0.09 0.1 61700 5.1
2014-02-13 0.1 0.1 0.09 0.09 31100 4.7
2014-02-14 0.1 0.1 0.09 0.09 6000 4.7
2014-02-17 0.1 0.1 0.09 0.1 5900 4.85
2014-02-18 0.1 0.11 0.1 0.1 39200 5.05
2014-02-19 0.1 0.11 0.1 0.11 13100 5.3
2014-02-20 0.11 0.11 0.1 0.11 8400 5.35
2014-02-21 0.11 0.11 0.11 0.11 24000 5.65
2014-02-24 0.12 0.12 0.12 0.12 29800 6.15
2014-02-25 0.13 0.14 0.12 0.13 70800 6.75
2014-02-26 0.14 0.14 0.11 0.12 45100 6
2014-02-27 0.12 0.12 0.11 0.11 44800 5.4
2014-02-28 0.11 0.12 0.11 0.11 47100 5.6
2014-03-03 0.11 0.11 0.11 0.11 0 5.6
2014-03-04 0.11 0.11 0.1 0.11 24700 5.65
2014-03-05 0.11 0.11 0.11 0.11 18800 5.55
2014-03-06 0.11 0.12 0.11 0.12 30000 6.05
2014-03-07 0.12 0.13 0.11 0.12 36900 6.2
2014-03-10 0.12 0.13 0.12 0.12 15500 6.25
2014-03-11 0.13 0.13 0.12 0.12 9700 6.25
2014-03-12 0.12 0.13 0.12 0.12 27200 5.9
2014-03-13 0.12 0.12 0.11 0.12 12300 5.9
2014-03-14 0.12 0.12 0.12 0.12 7100 5.95
2014-03-17 0.12 0.12 0.11 0.12 13000 5.8
2014-03-18 0.11 0.11 0.1 0.1 68100 5.25
2014-03-19 0.09 0.09 0.08 0.09 427400 4.45
2014-03-20 0.09 0.09 0.09 0.09 38800 4.55
2014-03-21 0.09 0.09 0.09 0.09 39000 4.55
2014-03-24 0.09 0.09 0.09 0.09 26700 4.45
2014-03-25 0.09 0.09 0.09 0.09 0 4.45
2014-03-26 0.09 0.09 0.09 0.09 16800 4.45
2014-03-27 0.09 0.09 0.09 0.09 12600 4.4
2014-03-28 0.09 0.09 0.09 0.09 43400 4.5
2014-03-31 0.09 0.09 0.09 0.09 7800 4.5
2014-04-01 0.09 0.09 0.09 0.09 0 4.5
2014-04-02 0.09 0.09 0.09 0.09 15700 4.5
2014-04-03 0.09 0.09 0.09 0.09 18400 4.5
2014-04-04 0.09 0.09 0.09 0.09 9600 4.45
2014-04-07 0.09 0.09 0.09 0.09 25800 4.35
2014-04-08 0.09 0.09 0.09 0.09 9100 4.4
2014-04-09 0.09 0.09 0.09 0.09 5400 4.4
2014-04-10 0.09 0.09 0.09 0.09 10400 4.4
2014-04-11 0.09 0.09 0.09 0.09 9200 4.4
2014-04-14 0.09 0.09 0.08 0.09 34700 4.3
2014-04-15 0.09 0.09 0.09 0.09 8200 4.35
2014-04-16 0.09 0.09 0.08 0.09 6600 4.3
2014-04-17 0.09 0.09 0.09 0.09 2600 4.3
2014-04-18 0.09 0.09 0.09 0.09 0 4.3
2014-04-21 0.09 0.09 0.09 0.09 0 4.3
2014-04-22 0.09 0.09 0.09 0.09 0 4.3
2014-04-23 0.09 0.09 0.09 0.09 38400 4.4
2014-04-24 0.09 0.09 0.09 0.09 51200 4.5
2014-04-25 0.09 0.09 0.09 0.09 18800 4.5
2014-04-28 0.09 0.09 0.09 0.09 13500 4.5
2014-04-29 0.09 0.09 0.08 0.08 62600 4.2
2014-04-30 0.08 0.09 0.08 0.08 37300 4.25
2014-05-01 0.08 0.08 0.08 0.08 0 4.25
