"Index" "USD.EGP"
2014-06-01 7.1507
2014-06-02 7.1477
2014-06-03 7.1472
2014-06-04 7.1504
2014-06-05 7.1499
2014-06-06 7.1506
2014-06-07 7.1515
2014-06-08 7.1514
2014-06-09 7.1488
2014-06-10 7.1501
2014-06-11 7.1501
2014-06-12 7.1504
2014-06-13 7.1505
2014-06-14 7.1508
2014-06-15 7.1508
2014-06-16 7.1495
2014-06-17 7.1508
2014-06-18 7.15
2014-06-19 7.1502
2014-06-20 7.1503
2014-06-21 7.1496
2014-06-22 7.1534
2014-06-23 7.1502
2014-06-24 7.15
2014-06-25 7.1505
2014-06-26 7.1501
2014-06-27 7.1499
2014-06-28 7.1494
2014-06-29 7.1494
2014-06-30 7.1504
2014-07-01 7.1503
2014-07-02 7.1502
2014-07-03 7.1502
2014-07-04 7.1503
2014-07-05 7.1486
2014-07-06 7.1486
2014-07-07 7.1515
2014-07-08 7.1503
2014-07-09 7.1502
2014-07-10 7.1503
2014-07-11 7.1502
2014-07-12 7.1505
2014-07-13 7.1508
2014-07-14 7.1514
2014-07-15 7.1501
2014-07-16 7.1505
2014-07-17 7.1503
2014-07-18 7.15
2014-07-19 7.151
2014-07-20 7.1503
2014-07-21 7.1484
2014-07-22 7.1505
2014-07-23 7.1502
2014-07-24 7.1502
2014-07-25 7.1506
2014-07-26 7.1499
2014-07-27 7.1498
2014-07-28 7.1501
2014-07-29 7.1505
2014-07-30 7.15
2014-07-31 7.1502
2014-08-01 7.1502
2014-08-02 7.1484
2014-08-03 7.1486
2014-08-04 7.151
2014-08-05 7.1504
2014-08-06 7.15
2014-08-07 7.15
2014-08-08 7.1503
2014-08-09 7.1498
2014-08-10 7.1503
2014-08-11 7.1519
2014-08-12 7.1502
2014-08-13 7.1504
2014-08-14 7.1504
2014-08-15 7.1498
2014-08-16 7.1496
2014-08-17 7.1496
2014-08-18 7.1509
2014-08-19 7.1504
2014-08-20 7.1504
2014-08-21 7.15
2014-08-22 7.15
2014-08-23 7.1495
2014-08-24 7.1514
2014-08-25 7.1588
2014-08-26 7.1503
2014-08-27 7.1501
2014-08-28 7.1498
2014-08-29 7.1502
2014-08-30 7.179
2014-08-31 7.1559
2014-09-01 7.1598
2014-09-02 7.1501
2014-09-03 7.1501
2014-09-04 7.1504
2014-09-05 7.1518
2014-09-06 7.1521
2014-09-07 7.1526
2014-09-08 7.1512
2014-09-09 7.1499
2014-09-10 7.15
2014-09-11 7.1508
2014-09-12 7.1501
2014-09-13 7.1299
2014-09-14 7.1381
2014-09-15 7.143
2014-09-16 7.15
2014-09-17 7.1497
2014-09-18 7.1497
2014-09-19 7.1505
2014-09-20 7.1684
2014-09-21 7.1684
2014-09-22 7.153
2014-09-23 7.1503
2014-09-24 7.1508
2014-09-25 7.1509
2014-09-26 7.1501
2014-09-27 7.1695
2014-09-28 7.1829
2014-09-29 7.1641
2014-09-30 7.1501
2014-10-01 7.1499
2014-10-02 7.1504
2014-10-03 7.1505
2014-10-04 7.2079
2014-10-05 7.2101
2014-10-06 7.1571
2014-10-07 7.1499
2014-10-08 7.15
2014-10-09 7.1505
2014-10-10 7.151
2014-10-11 7.1499
2014-10-12 7.172
2014-10-13 7.1441
2014-10-14 7.1504
2014-10-15 7.1501
2014-10-16 7.1492
2014-10-17 7.1492
2014-10-18 7.1503
2014-10-19 7.1507
2014-10-20 7.1508
2014-10-21 7.1502
2014-10-22 7.1505
2014-10-23 7.1502
2014-10-24 7.1501
2014-10-25 7.1422
2014-10-26 7.1321
2014-10-27 7.1432
2014-10-28 7.15
2014-10-29 7.1501
2014-10-30 7.1542
2014-10-31 7.1498
2014-11-01 7.1806
2014-11-02 7.1935
2014-11-03 7.1717
2014-11-04 7.1502
2014-11-05 7.15
2014-11-06 7.1504
2014-11-07 7.151
2014-11-08 7.1157
2014-11-09 7.1125
2014-11-10 7.1336
2014-11-11 7.1506
2014-11-12 7.1486
2014-11-13 7.1502
2014-11-14 7.1505
2014-11-15 7.1056
2014-11-16 7.103
2014-11-17 7.1407
2014-11-18 7.1504
2014-11-19 7.1502
2014-11-20 7.1502
2014-11-21 7.1504
2014-11-22 7.1496
2014-11-23 7.1621
2014-11-24 7.151
2014-11-25 7.1498
2014-11-26 7.1501
2014-11-27 7.1497
2014-11-28 7.15
2014-11-29 7.1629
2014-11-30 7.1606
2014-12-01 7.1523
2014-12-02 7.1505
2014-12-03 7.151
2014-12-04 7.1502
2014-12-05 7.1502
2014-12-06 7.1496
2014-12-07 7.1512
2014-12-08 7.1489
2014-12-09 7.1499
2014-12-10 7.1497
2014-12-11 7.15
2014-12-12 7.15
2014-12-13 7.1468
2014-12-14 7.1437
2014-12-15 7.1505
