"Index" "PE.Open" "PE.High" "PE.Low" "PE.Close" "PE.Volume" "PE.Adjusted"
2014-08-12 22.120001 22.219999 21.6 21.969999 729300 21.969999
2014-08-13 23 23 20.860001 20.959999 2438800 20.959999
2014-08-14 21 21.129999 19.290001 19.889999 2804300 19.889999
2014-08-15 20.049999 20.469999 19.629999 20.43 1640200 20.43
2014-08-18 20.48 21.18 20.219999 20.950001 871800 20.950001
2014-08-19 20.870001 21.23 20.190001 20.32 1315200 20.32
2014-08-20 20.209999 20.440001 19.799999 20.34 826300 20.34
2014-08-21 20.32 20.407 19.57 20.08 1818300 20.08
2014-08-22 19.98 20.34 19.85 20.02 872600 20.02
2014-08-25 20.049999 20.25 19.950001 20.16 578900 20.16
2014-08-26 20.620001 21.6 20.525 20.99 2221000 20.99
2014-08-27 20.92 21.09 20.627001 20.93 613100 20.93
2014-08-28 20.780001 22 20.780001 21.549999 1492900 21.549999
2014-08-29 21.51 21.940001 21.34 21.92 992500 21.92
2014-09-02 21.77 22.41 21.639999 21.93 1685100 21.93
2014-09-03 22.01 22.302 21.495001 21.58 647400 21.58
2014-09-04 21.6 21.870001 20.799999 20.83 841200 20.83
2014-09-05 21 21.24 20.73 20.950001 1037500 20.950001
2014-09-08 20.870001 21 20.49 20.700001 1011600 20.700001
2014-09-09 20.67 21.17 20.620001 20.780001 1613000 20.780001
2014-09-10 20.709999 20.799999 20.540001 20.629999 1260300 20.629999
2014-09-11 20.43 20.870001 20.280001 20.76 1426000 20.76
2014-09-12 20.76 20.76 20.450001 20.51 784100 20.51
2014-09-15 20.549999 20.860001 20.309999 20.690001 1187400 20.690001
2014-09-16 20.709999 21.35 20.52 21.200001 1049900 21.200001
2014-09-17 21.32 22.030001 21.08 21.280001 1645100 21.280001
2014-09-18 21.34 21.535 20.809999 21 1605500 21
2014-09-19 21.040001 21.290001 20.605 20.74 3894000 20.74
2014-09-22 20.6 20.77 20.15 20.26 1191000 20.26
2014-09-23 20.209999 20.565001 20.01 20.41 874500 20.41
2014-09-24 20.370001 20.709999 20.030001 20.66 495000 20.66
2014-09-25 20.620001 20.620001 20.01 20.32 846600 20.32
2014-09-26 20.26 20.73 20.09 20.51 763700 20.51
2014-09-29 20.860001 21.700001 20.809999 21.370001 1825300 21.370001
2014-09-30 21.25 21.57 20.77 21.33 2134200 21.33
2014-10-01 21.379999 21.85 20.790001 21.030001 1546600 21.030001
2014-10-02 20.85 20.85 19.629999 20.35 2565100 20.35
2014-10-03 20.57 20.57 19.209999 19.299999 1136500 19.299999
2014-10-06 19.26 19.77 18.950001 19.48 1089400 19.48
2014-10-07 19.35 20.049999 19.24 19.280001 980100 19.280001
2014-10-08 19.49 19.82 18.540001 19.790001 1194600 19.790001
2014-10-09 19.68 19.68 18.610001 18.870001 887300 18.870001
2014-10-10 18.65 19.59 18.52 18.690001 1140100 18.690001
2014-10-13 18.629999 18.91 16.799999 16.879999 1918100 16.879999
2014-10-14 17.25 17.768999 16.209999 16.4 1674600 16.4
2014-10-15 15.92 17.49 15.16 17.18 2308600 17.18
2014-10-16 17 18.24 16.559999 17.99 1685000 17.99
