"Index" "FH.Open" "FH.High" "FH.Low" "FH.Close" "FH.Volume" "FH.Adjusted"
2014-05-12 3.60001 3.60001 3.60001 3.60001 0 3.30649
2014-05-13 3.60001 3.60001 3.60001 3.60001 300 3.30649
2014-05-14 3.60001 3.60001 3.60001 3.60001 300 3.30649
2014-05-15 3.60001 3.60001 3.60001 3.60001 0 3.30649
2014-05-19 3.7 3.7 3.7 3.7 0 3.39833
2014-05-20 3.7 3.7 3.7 3.7 0 3.39833
2014-05-21 3.56 3.56 3.41 3.41 70400 3.13197
2014-05-22 3.45 3.45 3.45 3.45 25600 3.16871
2014-05-26 3.4 3.4 3.4 3.4 1000 3.12278
2014-05-27 3.4 3.4 3.4 3.4 0 3.12278
2014-05-28 3.4 3.4 3.4 3.4 0 3.12278
2014-05-29 3.35 3.35 3.35 3.35 70400 3.07686
2014-06-02 3.35 3.35 3.31 3.35 46300 3.07686
2014-06-03 3.35 3.35 3.35 3.35 0 3.07686
2014-06-04 3.41 3.41 3.41 3.41 102500 3.13197
2014-06-05 3.34 3.34 3.34 3.34 900 3.06768
2014-06-09 3.5 3.5 3.5 3.5 5100 3.21463
2014-06-10 3.5 3.5 3.5 3.5 20500 3.21463
2014-06-11 3.35 3.35 3.35 3.35 2000 3.07686
2014-06-12 3.48 3.48 3.48 3.48 5100 3.19626
2014-06-16 3.48 3.48 3.48 3.48 0 3.19626
2014-06-17 3.48 3.48 3.48 3.48 0 3.19626
2014-06-18 3.48 3.48 3.48 3.48 0 3.19626
2014-06-19 3.48 3.48 3.48 3.48 0 3.19626
2014-06-23 3.32 3.32 3.32 3.32 6300 3.04931
2014-06-24 3.3 3.3 3.3 3.3 24500 3.03094
2014-06-25 3.3 3.3 3.17 3.22 54300 2.95746
2014-06-26 3.22 3.22 3.22 3.22 0 2.95746
2014-06-30 3.22 3.22 3.22 3.22 0 2.95746
2014-07-01 3.22 3.22 3.22 3.22 0 2.95746
2014-07-02 3.4 3.4 3.4 3.4 20500 3.12278
2014-07-03 3.4 3.4 3.4 3.4 0 3.12278
2014-07-07 3.4 3.4 3.4 3.4 43400 3.12278
2014-07-08 3.22 3.22 3.22 3.22 18400 2.95746
2014-07-09 3.22 3.22 3.22 3.22 8100 2.95746
2014-07-10 3.22 3.22 3.22 3.22 10600 2.95746
2014-07-14 3.22 3.22 3.22 3.22 0 2.95746
2014-07-15 3.22 3.22 3.22 3.22 0 2.95746
2014-07-16 3.2 3.2 3.1 3.1 113600 2.84725
2014-07-17 3.1 3.1 3.1 3.1 0 2.84725
2014-07-21 3.1 3.1 3.1 3.1 0 2.84725
2014-07-22 3.1 3.1 3.1 3.1 0 2.84725
2014-07-23 3.1 3.1 3.1 3.1 0 2.84725
2014-07-24 3.4 3.4 3.4 3.4 1700 3.12278
2014-07-28 3.4 3.4 3.4 3.4 0 3.12278
2014-07-29 3.4 3.4 3.4 3.4 0 3.12278
2014-07-30 3.4 3.4 3.4 3.4 0 3.12278
2014-07-31 3.4 3.4 3.4 3.4 0 3.12278
2014-08-04 3.4 3.4 3.4 3.4 0 3.12278
2014-08-05 3.4 3.4 3.4 3.4 0 3.12278
2014-08-06 3.4 3.4 3.4 3.4 0 3.12278
2014-08-07 3.79 3.79 3.79 3.79 2500 3.48099
2014-08-11 3.60001 3.60001 3.60001 3.60001 10200 3.30649
2014-08-12 3.60001 3.60001 3.60001 3.60001 0 3.30649
2014-08-13 3.60001 3.60001 3.60001 3.60001 0 3.30649
2014-08-14 3.77 3.77 3.77 3.77 5100 3.46262
2014-08-18 3.77 3.77 3.77 3.77 0 3.46262
2014-08-19 3.77 3.77 3.77 3.77 0 3.46262
2014-08-20 3.77 3.77 3.77 3.77 0 3.46262
2014-08-21 3.55 3.55 3.55 3.55 48000 3.26055
2014-08-25 3.60001 3.60001 3.60001 3.60001 20500 3.30649
2014-08-26 3.60001 3.60001 3.60001 3.60001 92200 3.30649
2014-08-27 3.60001 3.60001 3.60001 3.60001 0 3.30649
2014-08-28 3.60001 3.60001 3.60001 3.60001 0 3.30649
2014-09-01 3.65 4 3.65 4 17800 3.67387
2014-09-02 4 4 4 4 0 3.67387
2014-09-03 4 4 4 4 0 3.67387
2014-09-04 4 4 4 4 0 3.67387
2014-09-08 3.8 3.8 3.8 3.8 8200 3.49018
2014-09-09 3.8 3.8 3.8 3.8 0 3.49018
2014-09-10 3.8 3.8 3.8 3.8 0 3.49018
2014-09-11 3.8 3.8 3.8 3.8 0 3.49018
2014-09-15 3.5 3.5 3.5 3.5 2000 3.21463
2014-09-16 3.8 3.8 3.79 3.79 54300 3.48099
2014-09-17 3.79 3.79 3.79 3.79 0 3.48099
2014-09-18 3.5 3.8 3.5 3.8 2500 3.49018
2014-09-22 3.94 3.95 3.92 3.92 12300 3.60039
2014-09-23 3.92 3.92 3.92 3.92 0 3.60039
2014-09-24 3.92 3.92 3.92 3.92 0 3.60039
2014-09-25 3.92 4 3.92 3.93 22500 3.60958
2014-09-29 3.93 3.93 3.93 3.93 0 3.60958
2014-09-30 3.93 3.93 3.93 3.93 0 3.60958
2014-10-01 3.93 3.93 3.93 3.93 0 3.60958
2014-10-02 3.94 4.58 3.94 3.98 128100 3.6555
2014-10-06 3.98 3.98 3.98 3.98 0 3.6555
2014-10-07 4.57 4.57 4.57 4.57 5100 4.1974
