"Index" "RG.Open" "RG.High" "RG.Low" "RG.Close" "RG.Volume" "RG.Adjusted"
2013-12-17 284.05 284.05 284.05 284.05 0 284.05
2013-12-18 285.33 285.33 285.33 285.33 0 285.33
2013-12-19 286.21 286.21 286.21 286.21 0 286.21
2013-12-20 285.65 285.65 285.65 285.65 0 285.65
2013-12-23 287.88 287.88 287.88 287.88 0 287.88
2013-12-24 289.35 289.35 289.35 289.35 0 289.35
2013-12-25 289.35 289.35 289.35 289.35 0 289.35
2013-12-26 288.39 288.39 288.39 288.39 0 288.39
2013-12-27 290.59 290.59 290.59 290.59 0 290.59
2013-12-30 293.02 293.02 293.02 293.02 0 293.02
2013-12-31 292.02 292.02 292.02 292.02 0 292.02
2014-01-01 292.02 292.02 292.02 292.02 0 292.02
2014-01-02 289.92 289.92 289.92 289.92 0 289.92
2014-01-03 288.02 288.02 288.02 288.02 0 288.02
2014-01-06 283.43 283.43 283.43 283.43 0 283.43
2014-01-07 286.26 286.26 286.26 286.26 0 286.26
2014-01-08 285.48 285.48 285.48 285.48 0 285.48
2014-01-09 282.81 282.81 282.81 282.81 0 282.81
2014-01-10 289.13 289.13 289.13 289.13 0 289.13
2014-01-13 286.97 286.97 286.97 286.97 0 286.97
2014-01-14 288.74 288.74 288.74 288.74 0 288.74
2014-01-15 288.94 288.94 288.94 288.94 0 288.94
2014-01-16 288.13 288.13 288.13 288.13 0 288.13
2014-01-17 288.24 288.24 288.24 288.24 0 288.24
2014-01-20 287.38 287.38 287.38 287.38 0 287.38
2014-01-21 287.55 287.55 287.55 287.55 0 287.55
2014-01-22 289.07 289.07 289.07 289.07 0 289.07
2014-01-23 286.53 286.53 286.53 286.53 0 286.53
2014-01-24 282.52 282.52 282.52 282.52 0 282.52
2014-01-27 281.6 281.6 281.6 281.6 0 281.6
2014-01-28 281.17 281.17 281.17 281.17 0 281.17
2014-01-29 280.53 280.53 280.53 280.53 0 280.53
2014-01-30 282.33 282.33 282.33 282.33 0 282.33
2014-01-31 282.52 282.52 282.52 282.52 0 282.52
2014-02-03 282.52 282.52 282.52 282.52 0 282.52
2014-02-04 277.1 277.1 277.1 277.1 0 277.1
2014-02-05 276.49 276.49 276.49 276.49 0 276.49
2014-02-06 278.19 278.19 278.19 278.19 0 278.19
2014-02-07 279.11 279.11 279.11 279.11 0 279.11
2014-02-10 277.19 277.19 277.19 277.19 0 277.19
2014-02-11 281.78 281.78 281.78 281.78 0 281.78
2014-02-12 282.18 282.18 282.18 282.18 0 282.18
2014-02-13 280.23 280.23 280.23 280.23 0 280.23
2014-02-14 284.8 284.8 284.8 284.8 0 284.8
2014-02-17 284.99 284.99 284.99 284.99 0 284.99
2014-02-18 283.89 283.89 283.89 283.89 0 283.89
2014-02-19 280.25 280.25 280.25 280.25 0 280.25
2014-02-20 279.51 279.51 279.51 279.51 0 279.51
2014-02-21 281.08 281.08 281.08 281.08 0 281.08
2014-02-24 280.89 280.89 280.89 280.89 0 280.89
2014-02-25 277.72 277.72 277.72 277.72 0 277.72
2014-02-26 275.11 275.11 275.11 275.11 0 275.11
2014-02-27 273.56 273.56 273.56 273.56 0 273.56
2014-02-28 274.44 274.44 274.44 274.44 0 274.44
2014-03-03 271.68 271.68 271.68 271.68 0 271.68
2014-03-04 276.96 276.96 276.96 276.96 0 276.96
2014-03-05 278.31 278.31 278.31 278.31 0 278.31
2014-03-06 281.63 281.63 281.63 281.63 0 281.63
2014-03-07 279.68 279.68 279.68 279.68 0 279.68
2014-03-10 277.86 277.86 277.86 277.86 0 277.86
2014-03-11 277.11 277.11 277.11 277.11 0 277.11
2014-03-12 273.73 273.73 273.73 273.73 0 273.73
2014-03-13 269.18 269.18 269.18 269.18 0 269.18
2014-03-14 269.1 269.1 269.1 269.1 0 269.1
2014-03-17 269.1 269.1 269.1 269.1 0 269.1
2014-03-18 275.2 275.2 275.2 275.2 0 275.2
2014-03-19 277.76 277.76 277.76 277.76 0 277.76
2014-03-20 281.65 281.65 281.65 281.65 0 281.65
2014-03-21 285.46 285.46 285.46 285.46 0 285.46
2014-03-24 283.02 283.02 283.02 283.02 0 283.02
2014-03-25 283.92 283.92 283.92 283.92 0 283.92
2014-03-26 283.37 283.37 283.37 283.37 0 283.37
2014-03-27 283.91 283.91 283.91 283.91 0 283.91
2014-03-28 286.09 286.09 286.09 286.09 0 286.09
2014-03-31 287.76 287.76 287.76 287.76 0 287.76
2014-04-01 287.55 287.55 287.55 287.55 0 287.55
2014-04-02 287.2 287.2 287.2 287.2 0 287.2
2014-04-03 284.52 284.52 284.52 284.52 0 284.52
2014-04-04 285.13 285.13 285.13 285.13 0 285.13
2014-04-07 284.92 284.92 284.92 284.92 0 284.92
2014-04-08 285.5 285.5 285.5 285.5 0 285.5
2014-04-09 285.09 285.09 285.09 285.09 0 285.09
2014-04-10 284.72 284.72 284.72 284.72 0 284.72
2014-04-11 284.26 284.26 284.26 284.26 0 284.26
2014-04-14 286.09 286.09 286.09 286.09 0 286.09
2014-04-15 284.28 284.28 284.28 284.28 0 284.28
2014-04-16 287.28 287.28 287.28 287.28 0 287.28
2014-04-17 287.28 287.28 287.28 287.28 0 287.28
2014-04-21 286.78 286.78 286.78 286.78 0 286.78
2014-04-22 283.15 283.15 283.15 283.15 0 283.15
2014-04-23 281.84 281.84 281.84 281.84 0 281.84
2014-04-24 283.83 283.83 283.83 283.83 0 283.83
2014-04-25 281.77 281.77 281.77 281.77 0 281.77
2014-04-28 281.94 281.94 281.94 281.94 0 281.94
2014-04-29 285.49 285.49 285.49 285.49 0 285.49
2014-04-30 284.5 284.5 284.5 284.5 0 284.5
2014-05-01 284.5 284.5 284.5 284.5 0 284.5
2014-05-02 286.92 286.92 286.92 286.92 0 286.92
2014-05-05 287.72 287.72 287.72 287.72 0 287.72
2014-05-06 290.04 290.04 290.04 290.04 0 290.04
2014-05-07 293.29 293.29 293.29 293.29 0 293.29
2014-05-08 290.98 290.98 290.98 290.98 0 290.98
2014-05-09 292.81 292.81 292.81 292.81 0 292.81
2014-05-12 295.36 295.36 295.36 295.36 0 295.36
2014-05-13 295.83 295.83 295.83 295.83 0 295.83
2014-05-14 292.94 292.94 292.94 292.94 0 292.94
2014-05-15 289.81 289.81 289.81 289.81 0 289.81
2014-05-16 290.76 290.76 290.76 290.76 0 290.76
2014-05-19 292.74 292.74 292.74 292.74 0 292.74
2014-05-20 291.94 291.94 291.94 291.94 0 291.94
2014-05-21 294.03 294.03 294.03 294.03 0 294.03
2014-05-22 294.47 294.47 294.47 294.47 0 294.47
2014-05-23 294.46 294.46 294.46 294.46 0 294.46
2014-05-26 294.95 294.95 294.95 294.95 0 294.95
2014-05-27 294.67 294.67 294.67 294.67 0 294.67
2014-05-28 294.82 294.82 294.82 294.82 0 294.82
2014-05-29 294.29 294.29 294.29 294.29 0 294.29
2014-05-30 294.87 294.87 294.87 294.87 0 294.87
2014-06-02 295.74 295.74 295.74 295.74 0 295.74
2014-06-03 297.48 297.48 297.48 297.48 0 297.48
2014-06-04 298.27 298.27 298.27 298.27 0 298.27
2014-06-05 300.5 300.5 300.5 300.5 0 300.5
2014-06-06 305 305 305 305 0 305
2014-06-09 306.91 306.91 306.91 306.91 0 306.91
2014-06-10 307.94 307.94 307.94 307.94 0 307.94
2014-06-11 309.05 309.05 309.05 309.05 0 309.05
2014-06-12 310.68 310.68 310.68 310.68 0 310.68
2014-06-13 307.25 307.25 307.25 307.25 0 307.25
2014-06-16 309.44 309.44 309.44 309.44 0 309.44
2014-06-17 311.01 311.01 311.01 311.01 0 311.01
2014-06-18 312.23 312.23 312.23 312.23 0 312.23
2014-06-19 312.27 312.27 312.27 312.27 0 312.27
2014-06-20 312.9 312.9 312.9 312.9 0 312.9
2014-06-23 313.02 313.02 313.02 313.02 0 313.02
2014-06-24 313.67 313.67 313.67 313.67 0 313.67
2014-06-25 313.62 313.62 313.62 313.62 0 313.62
2014-06-26 311.23 311.23 311.23 311.23 0 311.23
2014-06-27 310.81 310.81 310.81 310.81 0 310.81
2014-06-30 313.86 313.86 313.86 313.86 0 313.86
2014-07-01 315.61 315.61 315.61 315.61 0 315.61
2014-07-02 317.35 317.35 317.35 317.35 0 317.35
2014-07-03 318.87 318.87 318.87 318.87 0 318.87
2014-07-04 319.21 319.21 319.21 319.21 0 319.21
2014-07-07 321.21 321.21 321.21 321.21 0 321.21
2014-07-08 321.08 321.08 321.08 321.08 0 321.08
2014-07-09 321.28 321.28 321.28 321.28 0 321.28
2014-07-10 318.46 318.46 318.46 318.46 0 318.46
2014-07-11 317.31 317.31 317.31 317.31 0 317.31
2014-07-14 320.05 320.05 320.05 320.05 0 320.05
2014-07-15 319.37 319.37 319.37 319.37 0 319.37
2014-07-16 318.06 318.06 318.06 318.06 0 318.06
2014-07-17 318.43 318.43 318.43 318.43 0 318.43
2014-07-18 320.55 320.55 320.55 320.55 0 320.55
2014-07-21 322.51 322.51 322.51 322.51 0 322.51
2014-07-22 323.26 323.26 323.26 323.26 0 323.26
2014-07-23 323.95 323.95 323.95 323.95 0 323.95
2014-07-24 324.78 324.78 324.78 324.78 0 324.78
2014-07-25 322.94 322.94 322.94 322.94 0 322.94
2014-07-28 322.45 322.45 322.45 322.45 0 322.45
2014-07-29 322.52 322.52 322.52 322.52 0 322.52
2014-07-30 319.49 319.49 319.49 319.49 0 319.49
2014-07-31 316.79 316.79 316.79 316.79 0 316.79
2014-08-01 318.05 318.05 318.05 318.05 0 318.05
2014-08-04 321.29 321.29 321.29 321.29 0 321.29
2014-08-05 321.11 321.11 321.11 321.11 0 321.11
2014-08-06 321.45 321.45 321.45 321.45 0 321.45
2014-08-07 320.64 320.64 320.64 320.64 0 320.64
2014-08-08 321.03 321.03 321.03 321.03 0 321.03
2014-08-11 323.21 323.21 323.21 323.21 0 323.21
2014-08-12 324.76 324.76 324.76 324.76 0 324.76
2014-08-13 326.35 326.35 326.35 326.35 0 326.35
2014-08-14 326.65 326.65 326.65 326.65 0 326.65
2014-08-15 325.93 325.93 325.93 325.93 0 325.93
2014-08-18 328.01 328.01 328.01 328.01 0 328.01
