"Index" "SEK.Open" "SEK.High" "SEK.Low" "SEK.Close" "SEK.Volume" "SEK.Adjusted"
2013-09-12 4.98 5.1 4.98 5.08 6100 4.62
2013-09-13 5.08 5.08 4.82 5 100 4.54
2013-09-16 4.85 5.04 4.85 5.04 800 4.58
2013-09-17 5.04 5.25 5.04 5.2 2700 4.73
2013-09-18 5.3 5.75 5.3 5.42 8100 4.93
2013-09-19 5.61 5.75 5.6 5.7 4600 5.18
2013-09-23 5.86 5.86 5.86 5.86 0 5.33
2013-09-24 5.88 5.88 5.55 5.84 1100 5.31
2013-09-25 5.8 5.84 5.6 5.84 1200 5.31
2013-09-26 5.84 5.88 5.66 5.88 200 5.34
2013-09-27 5.88 5.9 5.85 5.9 3600 5.36
2013-09-30 5.9 5.9 5.9 5.9 700 5.36
2013-10-01 5.85 5.9 5.75 5.89 1400 5.35
2013-10-02 5.9 5.9 5.75 5.89 100 5.35
2013-10-03 5.9 5.9 5.65 5.65 3700 5.13
2013-10-04 5.75 5.75 5.41 5.41 4300 4.92
2013-10-07 5.41 5.41 5.33 5.41 100 4.92
2013-10-08 5.7 5.7 5.46 5.46 200 4.96
2013-10-09 5.46 5.46 5.46 5.46 200 4.96
2013-10-10 5.6 5.6 5.6 5.6 400 5.09
2013-10-11 5.68 5.69 5.66 5.69 900 5.17
2013-10-14 5.68 5.68 5.68 5.68 0 5.16
2013-10-15 5.79 5.79 5.6 5.79 300 5.26
2013-10-16 5.79 5.79 5.79 5.79 0 5.26
2013-10-17 5.78 5.78 5.78 5.78 0 5.25
2013-10-18 5.79 5.79 5.79 5.79 0 5.26
2013-10-21 5.8 5.8 5.69 5.69 200 5.17
2013-10-22 5.8 5.8 5.7 5.8 300 5.27
2013-10-23 5.79 5.79 5.79 5.79 0 5.26
2013-10-24 5.79 5.79 5.52 5.52 2300 5.02
2013-10-25 5.52 5.69 5.32 5.69 1700 5.17
2013-10-28 5.68 5.69 5.6 5.69 1600 5.17
2013-10-29 5.68 5.68 5.5 5.68 2900 5.16
2013-10-30 5.69 5.73 5.69 5.73 100 5.21
2013-10-31 5.75 5.75 5.65 5.73 100 5.21
2013-11-01 5.73 5.73 5.73 5.73 0 5.21
2013-11-04 5.7 5.79 5.7 5.79 6300 5.26
2013-11-05 5.75 5.75 5.72 5.72 1200 5.2
2013-11-06 5.9 6.34 5.78 6.34 15800 5.76
2013-11-07 6.25 6.28 6.25 6.28 1800 5.71
2013-11-08 6.4 7.03 6.4 7.03 15500 6.39
2013-11-11 7.03 7.03 7.03 7.03 0 6.39
2013-11-12 7.03 7.15 7.02 7.15 2100 6.5
2013-11-13 7.15 7.15 7.14 7.15 3000 6.5
2013-11-14 7.19 7.29 7.05 7.29 3100 6.63
2013-11-15 7.35 8 7.35 8 2400 7.27
2013-11-18 7.97 8 7.97 7.97 1000 7.24
2013-11-19 8 8 7.8 7.8 300 7.09
2013-11-20 7.8 7.8 7.5 7.5 0 6.82
2013-11-21 7.11 7.4 7.11 7.36 3100 6.69
2013-11-22 7.65 7.7 7.6 7.7 1800 7
2013-11-25 7.69 7.69 7.41 7.41 1300 6.73
2013-11-26 7.48 7.9 7.48 7.75 2100 7.04
2013-11-27 8.4 8.94 7.7 7.7 2900 7
2013-11-28 8.29 8.45 7.81 8.25 2200 7.5
2013-11-29 8.3 8.45 7.8 8.45 3000 7.68
2013-12-02 8.45 8.45 8.1 8.1 1000 7.36
2013-12-03 8.3 8.89 8.15 8.42 2000 7.65
2013-12-04 8.49 8.49 8 8.25 500 7.5
2013-12-05 8.25 8.3 7.9 8 800 7.27
2013-12-06 7.95 8 7.66 8 7900 7.27
2013-12-09 8 8 7.95 7.97 300 7.24
2013-12-10 8.08 8.1 7.8 7.8 1200 7.09
2013-12-11 8 8 7.7 7.7 1400 7
2013-12-12 8.1 8.1 7.7 7.8 18900 7.09
2013-12-13 7.95 7.98 7.6 7.85 1200 7.13
2013-12-16 7.97 7.98 7.5 7.9 2300 7.18
2013-12-17 7.8 7.8 7.4 7.4 600 6.73
2013-12-18 7.6 7.6 6.9 7.25 1800 6.59
2013-12-19 7.55 7.55 6.7 7 1600 6.36
2013-12-20 7.6 7.6 6.9 7.25 1800 6.59
2013-12-23 7 7 6.6 6.99 1000 6.35
2013-12-24 6.99 6.99 6.99 6.99 0 6.35
2013-12-25 6.99 6.99 6.99 6.99 0 6.35
2013-12-26 6.99 6.99 6.99 6.99 0 6.35
2013-12-27 7.2 7.2 6.86 6.86 400 6.23
2013-12-30 6.86 7.18 6.75 7.18 300 6.53
2013-12-31 7.18 7.18 7.18 7.18 0 6.53
2014-01-01 7.18 7.18 7.18 7.18 0 6.53
2014-01-02 7.18 7.18 7.18 7.18 0 6.53
2014-01-03 7.2 7.2 7.2 7.2 0 6.54
2014-01-06 7.2 7.2 7.2 7.2 0 6.54
2014-01-07 7.2 7.3 7.2 7.3 3000 6.63
2014-01-08 7.5 7.5 7.01 7.25 1200 6.59
2014-01-09 7.25 7.3 7.25 7.3 1100 6.63
2014-01-10 7.3 7.31 7.3 7.3 1100 6.63
2014-01-13 7.45 7.6 7.45 7.6 0 6.91
2014-01-14 7.6 7.6 7.6 7.6 0 6.91
2014-01-15 7.79 8 7.41 7.65 2400 6.95
2014-01-16 7.65 7.65 7.65 7.65 100 6.95
2014-01-17 7.69 7.69 7.69 7.69 0 6.99
2014-01-20 7.65 7.7 7.41 7.7 1000 7
2014-01-21 8.04 8.04 7.7 8 500 7.27
2014-01-22 7.99 7.99 7.7 7.7 0 7
2014-01-23 7.85 7.85 7.81 7.81 100 7.1
2014-01-24 7.9 7.9 7.81 7.89 0 7.17
2014-01-27 7.88 7.88 7.88 7.88 0 7.16
2014-01-28 7.88 7.88 7.88 7.88 0 7.16
2014-01-29 7.89 7.89 7.89 7.89 300 7.17
2014-01-30 7.89 7.89 7.89 7.89 0 7.17
2014-01-31 7.8 7.8 7.75 7.8 1100 7.09
2014-02-03 7.8 7.8 7.8 7.8 0 7.09
2014-02-04 7.78 7.78 7.78 7.78 0 7.07
2014-02-05 7.78 7.78 7.25 7.65 1000 6.95
2014-02-06 7.65 8.1 7.65 8.1 400 7.36
2014-02-07 8.15 8.2 8.12 8.12 400 7.38
2014-02-10 8.2 8.5 8.2 8.5 200 7.72
2014-02-11 8.5 8.5 8.3 8.5 1300 7.72
2014-02-12 8.5 8.51 8.5 8.5 400 7.72
2014-02-13 8.7 8.7 8.6 8.6 400 7.82
2014-02-14 8.6 8.6 8.4 8.4 200 7.63
2014-02-17 8.6 8.6 8.6 8.6 0 7.82
2014-02-18 8.6 8.6 8.3 8.6 700 7.82
2014-02-19 8.8 8.84 8.8 8.84 0 8.03
2014-02-20 8.84 8.84 8.84 8.84 0 8.03
2014-02-21 8.84 8.84 8.84 8.84 0 8.03
2014-02-24 8.84 8.84 8.84 8.84 200 8.03
2014-02-25 8.87 8.87 8.5 8.5 100 7.72
2014-02-26 8.65 8.65 7.9 8.25 1100 7.5
2014-02-27 8.2 8.2 8.2 8.2 0 7.45
2014-02-28 8.2 8.3 8.1 8.1 400 7.36
2014-03-03 8.1 8.1 7.5 7.5 9300 6.82
