"Index" "EPN.Open" "EPN.High" "EPN.Low" "EPN.Close" "EPN.Volume" "EPN.Adjusted"
2013-06-06 36.059 36.059 36.059 36.059 0 33.903
2013-06-07 35.538 35.538 35.538 35.538 0 33.413
2013-06-10 35.535 35.535 35.535 35.535 0 33.411
2013-06-11 34.764 34.764 34.764 34.764 0 32.686
2013-06-12 34.435 34.435 34.435 34.435 0 32.376
2013-06-13 33.346 33.346 33.346 33.346 0 31.352
2013-06-14 33.737 33.737 33.737 33.737 0 31.72
2013-06-17 33.866 33.866 33.866 33.866 0 31.841
2013-06-18 33.577 33.577 33.577 33.577 0 31.57
2013-06-19 33.134 33.134 33.134 33.134 0 31.153
2013-06-20 32.397 32.397 32.397 32.397 0 30.46
2013-06-21 31.318 31.318 31.318 31.318 0 29.446
2013-06-24 31.543 31.543 31.543 31.543 0 29.657
2013-06-25 31.077 31.077 31.077 31.077 0 29.219
2013-06-26 32.004 32.004 32.004 32.004 0 30.091
2013-06-27 32.77 32.77 32.77 32.77 0 30.811
2013-06-28 33.544 33.544 33.544 33.544 0 31.539
2013-07-01 33.821 33.821 33.821 33.821 0 31.799
2013-07-02 32.648 32.648 32.648 32.648 0 30.696
2013-07-03 32.069 32.069 32.069 32.069 0 30.152
2013-07-04 32.278 32.278 32.278 32.278 0 30.348
2013-07-05 32.755 32.755 32.755 32.755 0 30.797
2013-07-08 32 32 32 32 0 30.087
2013-07-09 32.054 32.054 32.054 32.054 0 30.138
2013-07-10 32.355 32.355 32.355 32.355 0 30.421
2013-07-11 31.639 31.639 31.639 31.639 0 29.747
2013-07-12 31.67 31.67 31.67 31.67 0 29.777
2013-07-15 31.543 31.543 31.543 31.543 0 29.657
2013-07-16 31.902 31.902 31.902 31.902 0 29.995
2013-07-17 31.778 31.778 31.778 31.778 0 29.878
2013-07-18 31.844 31.844 31.844 31.844 0 29.94
2013-07-19 31.754 31.754 31.754 31.754 0 29.856
2013-07-22 31.305 31.305 31.305 31.305 0 29.433
2013-07-23 31.315 31.315 31.315 31.315 0 29.443
2013-07-24 31.558 31.558 31.558 31.558 0 29.671
2013-07-25 31.36 31.36 31.36 31.36 0 29.485
2013-07-26 31.342 31.342 31.342 31.342 0 29.468
2013-07-29 30.709 30.709 30.709 30.709 0 28.873
2013-07-30 30.28 30.28 30.28 30.28 0 28.47
2013-07-31 29.467 29.467 29.467 29.467 0 27.705
2013-08-01 29.969 29.969 29.837 29.837 800 28.053
2013-08-02 30.301 30.301 30.301 30.301 0 28.489
2013-08-05 30.242 30.242 30.242 30.242 0 28.434
2013-08-06 30.451 30.451 30.451 30.451 0 28.63
2013-08-07 29.992 29.992 29.992 29.992 0 28.199
2013-08-08 29.609 29.609 29.609 29.609 0 27.839
2013-08-09 30.586 30.586 30.586 30.586 0 28.757
2013-08-12 31.163 31.163 31.163 31.163 0 29.3
2013-08-13 31.13 31.13 31.13 31.13 0 29.269
2013-08-14 30.961 30.961 30.961 30.961 0 29.11
2013-08-15 31.116 31.116 31.116 31.116 0 29.256
2013-08-16 31.01 31.01 31.01 31.01 0 29.156
2013-08-19 30.828 30.828 30.828 30.828 0 28.985
2013-08-20 29.757 29.757 29.757 29.757 0 27.978
2013-08-21 29.867 29.867 29.867 29.867 0 28.081
2013-08-22 29.279 29.279 29.279 29.279 0 27.529
2013-08-23 29.835 29.835 29.835 29.835 0 28.051
2013-08-26 30.497 30.497 30.497 30.497 0 28.674
2013-08-27 30.005 30.005 30.005 30.005 0 28.211
2013-08-28 29.601 29.601 29.601 29.601 0 27.831
2013-08-29 29.993 29.993 29.993 29.993 0 28.2
2013-08-30 30.535 30.535 30.535 30.535 0 28.709
2013-09-02 30.458 30.458 30.458 30.458 0 28.637
2013-09-03 30.631 30.631 30.631 30.631 0 28.8
2013-09-04 30.643 30.643 30.643 30.643 0 28.811
2013-09-05 30.277 30.277 30.277 30.277 0 28.467
2013-09-06 30.746 30.746 30.746 30.746 0 28.908
2013-09-09 31.556 31.556 31.556 31.556 0 29.669
2013-09-10 31.968 31.968 31.968 31.968 0 30.057
2013-09-11 32.065 32.065 32.065 32.065 0 30.148
2013-09-12 31.925 31.925 31.925 31.925 0 30.016
2013-09-13 31.662 31.662 31.662 31.662 0 29.769
2013-09-16 32.417 32.417 32.417 32.417 0 30.479
2013-09-17 32.457 32.457 32.457 32.457 0 30.517
2013-09-18 32.234 32.234 32.234 32.234 0 30.307
2013-09-19 33.203 33.203 33.203 33.203 0 31.218
2013-09-20 32.659 32.659 32.659 32.659 0 30.706
2013-09-23 31.705 31.705 31.705 31.705 0 29.81
2013-09-24 33.235 33.235 33.235 33.235 0 31.248
2013-09-25 32.322 32.322 32.322 32.322 0 30.39
2013-09-26 31.186 31.186 31.186 31.186 0 29.322
2013-09-27 31.281 31.281 31.281 31.281 0 29.411
2013-09-30 31.159 31.159 31.159 31.159 0 29.296
2013-10-01 30.974 30.974 30.974 30.974 0 29.122
2013-10-02 31.365 31.365 31.365 31.365 0 29.49
2013-10-03 31.117 31.117 31.117 31.117 0 29.257
2013-10-04 31.239 31.239 31.239 31.239 0 29.371
2013-10-07 31.034 31.034 31.034 31.034 0 29.179
2013-10-08 30.895 30.895 30.895 30.895 0 29.048
2013-10-09 31.148 31.148 31.148 31.148 0 29.286
2013-10-10 31.519 31.519 31.519 31.519 0 29.635
2013-10-11 32.105 32.105 32.105 32.105 0 30.186
2013-10-14 31.803 31.803 31.803 31.803 0 29.902
2013-10-15 32.03 32.03 32.03 32.03 0 30.115
2013-10-16 32.069 32.069 32.069 32.069 0 30.152
2013-10-17 31.998 31.998 31.998 31.998 0 30.085
2013-10-18 32.02 32.02 32.02 32.02 0 30.106
2013-10-21 32.314 32.314 32.314 32.314 0 30.382
2013-10-22 32.455 32.455 32.455 32.455 0 30.515
2013-10-23 32.653 32.653 32.653 32.653 0 30.701
2013-10-24 33.081 33.081 33.081 33.081 0 31.103
2013-10-25 32.728 32.728 32.728 32.728 0 30.771
2013-10-28 32.953 32.953 32.953 32.953 0 30.983
2013-10-29 32.589 32.589 32.589 32.589 0 30.641
2013-10-30 32.231 32.231 32.231 32.231 0 30.304
2013-10-31 33.685 33.685 33.685 33.685 0 31.671
2013-11-01 33.212 33.212 33.212 33.212 0 31.226
2013-11-04 33.113 33.113 33.113 33.113 0 31.133
2013-11-05 33.642 33.642 33.642 33.642 0 31.631
2013-11-06 33.661 33.661 33.661 33.661 0 31.649
2013-11-07 33.7 33.7 33.7 33.7 0 31.685
2013-11-08 33.901 33.901 33.901 33.901 0 31.874
2013-11-11 33.334 33.334 33.334 33.334 0 31.341
2013-11-12 32.636 32.636 32.636 32.636 0 30.685
2013-11-13 32.826 32.826 32.826 32.826 0 30.863
2013-11-14 32.225 32.225 32.225 32.225 0 30.298
2013-11-15 33.198 33.198 33.198 33.198 0 31.213
2013-11-18 33.322 33.322 33.322 33.322 0 31.33
2013-11-19 33.362 33.362 33.362 33.362 0 31.367
2013-11-20 33.048 33.048 33.048 33.048 0 31.072
2013-11-21 32.232 32.232 32.232 32.232 0 30.305
2013-11-22 32.233 32.233 32.233 32.233 0 30.306
2013-11-25 32.547 32.547 32.547 32.547 0 30.601
2013-11-26 32.177 32.177 32.177 32.177 0 30.253
2013-11-27 31.794 31.794 31.794 31.794 0 29.893
2013-11-28 31.733 31.733 31.733 31.733 0 29.836
2013-11-29 31.677 31.677 31.677 31.677 0 29.783
2013-12-02 32.106 32.106 32.106 32.106 0 30.187
2013-12-03 31.71 31.71 31.71 31.71 0 29.814
2013-12-04 31.73 31.73 31.73 31.73 0 29.833
