"Index" "NS.Open" "NS.High" "NS.Low" "NS.Close" "NS.Volume" "NS.Adjusted"
2013-08-12 43.669998 44.27 43.639999 43.919998 286100 36.711688
2013-08-13 44 44.080002 42.060001 42.5 702800 35.524745
2013-08-14 42.349998 43.040001 41.32 41.84 479500 34.973066
2013-08-15 41.560001 42.619999 41.279999 42.16 188500 35.240547
2013-08-16 42.419998 42.799999 41.630001 41.830002 257400 34.964709
2013-08-19 42.18 42.25 41.299999 41.57 176500 34.747379
2013-08-20 41.59 41.669998 41.299999 41.630001 166500 34.797533
2013-08-21 41.740002 41.740002 41.23 41.259998 168700 34.488257
2013-08-22 41.259998 41.799999 41.209999 41.41 153500 34.613639
2013-08-23 41.5 41.919998 41.459999 41.650002 341200 34.814251
2013-08-26 41.73 42.43 41.59 42.43 189000 35.466234
2013-08-27 42.330002 43.59 42.009998 43.330002 431500 36.218524
2013-08-28 43.330002 43.490002 42.66 42.75 156000 35.733714
2013-08-29 42.75 43.25 41.919998 41.939999 218300 35.056653
2013-08-30 42.330002 42.709999 41.549999 41.709999 168600 34.864402
2013-09-03 41.880001 41.970001 41.130001 41.470001 192100 34.663793
2013-09-04 41.34 41.709999 40.950001 41 297400 34.27093
2013-09-05 40.889999 41.259998 40.650002 40.84 250000 34.13719
2013-09-06 41.52 41.75 41 41.110001 322100 34.362877
2013-09-09 41.029999 41.27 40.790001 41.049999 335900 34.312723
2013-09-10 41.150002 41.200001 38.650002 38.689999 1672800 32.340055
2013-09-11 38.349998 38.490002 37.73 38.290001 1321200 32.005706
2013-09-12 38.299999 38.849998 38.240002 38.41 439500 32.10601
2013-09-13 38.259998 38.48 37.75 38.009998 493100 31.771658
2013-09-16 38.080002 38.470001 37.07 37.169998 1046500 31.069522
2013-09-17 37.029999 37.59 36.150002 37.450001 854900 31.30357
2013-09-18 37.43 37.959999 37.310001 37.84 496400 31.629561
2013-09-19 38.18 39.209999 38.040001 38.619999 573600 32.281544
2013-09-20 38.75 38.82 37.959999 37.970001 661400 31.738226
2013-09-23 37.98 38.099998 37.330002 37.709999 547300 31.520896
2013-09-24 37.82 38.84 37.639999 38.709999 755700 32.356773
2013-09-25 38.849998 40.029999 38.709999 39.779999 658100 33.25116
2013-09-26 39.799999 40.950001 39.799999 40.41 642500 33.777763
2013-09-27 40.110001 40.459999 39.830002 40.119999 379900 33.535358
2013-09-30 39.779999 40.369999 39.619999 40.110001 591400 33.527001
2013-10-01 40.23 40.689999 40.029999 40.650002 347700 33.978375
2013-10-02 40.59 41.23 40.41 41.209999 257900 34.446463
2013-10-03 41.009998 41.200001 40.369999 40.59 157700 33.928221
2013-10-04 40.389999 41.150002 40.389999 41.049999 292100 34.312723
2013-10-07 40.779999 41.040001 40.549999 40.669998 227400 33.995089
2013-10-08 40.790001 40.93 39.93 40 241200 33.435054
2013-10-09 39.919998 40.130001 39.52 39.82 273600 33.284596
2013-10-10 39.799999 40.509998 39.759998 40.389999 417600 33.761045
2013-10-11 40.490002 40.490002 39.889999 40.02 430600 33.451772
2013-10-14 40 40.48 39.66 40.470001 263100 33.827917
2013-10-15 40.5 40.549999 39.830002 40.07 169800 33.493565
2013-10-16 40.18 40.400002 39.82 40.029999 297300 33.460129
2013-10-17 40.200001 40.200001 39.93 40.07 207000 33.493565
2013-10-18 40 40.119999 39.869999 39.98 306600 33.418336
2013-10-21 39.98 41.360001 39.900002 41.34 382900 34.555128
2013-10-22 41.66 44.450001 41.52 43.209999 1357000 36.118216
2013-10-23 44.490002 44.810001 43.66 43.970001 1139500 36.753484
2013-10-24 44.139999 44.189999 43.73 44.150002 620200 36.903942
2013-10-25 44.349998 45.189999 44.25 44.66 585600 37.330237
2013-10-28 44.799999 44.849998 42.669998 43.669998 1476200 36.502718
2013-10-29 43.900002 44.540001 43.830002 43.990002 875100 36.770202
2013-10-30 44.18 44.18 43.09 43.599998 354800 36.444207
2013-10-31 43.470001 44.200001 43.119999 43.119999 310500 36.042987
2013-11-01 43.119999 44.919998 43.119999 44.900002 829400 37.530849
2013-11-04 44.889999 44.990002 44.380001 44.700001 564100 37.363673
2013-11-05 44.77 44.77 44.02 44.220001 632800 36.962453
2013-11-06 43.07 43.27 42.41 42.720001 626800 36.615329
2013-11-07 42.700001 43.279999 42 42.419998 592100 36.358196
2013-11-08 42.189999 45 41.919998 44.52 956800 38.158109
2013-11-11 44.970001 45.490002 43.799999 44.509998 1514400 38.149536
2013-11-12 44.779999 48.77 44.5 48.349998 3217600 41.440801
2013-11-13 48.5 49.419998 48.040001 49.029999 632800 42.02363
2013-11-14 49.450001 49.75 48.330002 48.689999 689000 41.732216
2013-11-15 49.650002 49.650002 47.540001 47.889999 513800 41.046536
2013-11-18 48.009998 48.650002 47.740002 47.869999 398500 41.029394
2013-11-19 47.869999 49.25 47.049999 48.509998 559900 41.577937
2013-11-20 48.310001 49.869999 48.310001 49.5 522100 42.426468
2013-11-21 49.630001 49.919998 49 49.880001 370000 42.752167
2013-11-22 49.77 51 49.610001 50.880001 695800 43.609268
2013-11-25 50.93 51.880001 50.77 51.860001 368500 44.449226
2013-11-26 51.900002 52.740002 51.169998 51.27 347600 43.943536
2013-11-27 51.150002 52.959999 51.049999 52.869999 450700 45.314896
2013-11-29 53.060001 53.689999 52.360001 53.349998 255700 45.726303
2013-12-02 52.889999 53.200001 50.540001 51.220001 942500 43.900682
2013-12-03 50.91 50.990002 49.68 50.060001 871600 42.906446
2013-12-04 49.619999 50.740002 49.5 50.349998 299300 43.155002
2013-12-05 50.43 50.630001 49.759998 49.790001 231000 42.675028
2013-12-06 49.970001 50.580002 49.59 50.419998 290600 43.214999
2013-12-09 50.5 51.02 50.07 50.450001 339200 43.240714
2013-12-10 50.25 51.080002 50.16 50.27 345100 43.086436
2013-12-11 50.07 50.450001 49.560001 49.82 244500 42.70074
2013-12-12 49.630001 50.549999 49.630001 50.34 247500 43.146433
2013-12-13 50.290001 50.52 49.669998 49.939999 225000 42.803591
2013-12-16 49.5 50.700001 49.5 49.93 936900 42.795022
2013-12-17 49.740002 50.16 49.610001 50.040001 177500 42.889303
2013-12-18 50 50 48.869999 48.959999 1239400 41.963633
2013-12-19 48.599998 49.110001 48.009998 49 695900 41.997918
2013-12-20 49.110001 50.48 49 50.049999 1349900 42.897873
2013-12-23 50.27 50.720001 50.02 50.540001 806800 43.317853
2013-12-24 50.41 51.150002 50.259998 50.849998 248500 43.583552
2013-12-26 50.360001 51.18 50.130001 51 401500 43.712119
