"Index" "TC.Open" "TC.High" "TC.Low" "TC.Close" "TC.Volume" "TC.Adjusted"
2014-02-13 2.61 2.75 2.59 2.75 977700 2.75
2014-02-14 2.75 2.86 2.73 2.78 1212600 2.78
2014-02-18 2.8 2.82 2.73 2.76 765600 2.76
2014-02-19 2.74 2.82 2.61 2.65 1265800 2.65
2014-02-20 2.66 2.69 2.62 2.67 763300 2.67
2014-02-21 2.69 2.99 2.67 2.88 3655200 2.88
2014-02-24 2.9 2.94 2.83 2.86 1748900 2.86
2014-02-25 2.86 2.87 2.78 2.83 1043000 2.83
2014-02-26 2.79 2.82 2.74 2.77 1285400 2.77
2014-02-27 2.78 2.79 2.67 2.73 884300 2.73
2014-02-28 2.75 2.75 2.63 2.66 935400 2.66
2014-03-03 2.63 2.66 2.59 2.6 1327100 2.6
2014-03-04 2.62 2.68 2.6 2.64 682100 2.64
2014-03-05 2.66 2.7 2.64 2.69 866900 2.69
2014-03-06 2.72 2.78 2.68 2.72 1063100 2.72
2014-03-07 2.69 2.69 2.63 2.64 747200 2.64
2014-03-10 2.62 2.64 2.45 2.47 1859600 2.47
2014-03-11 2.5 2.51 2.37 2.37 1133500 2.37
2014-03-12 2.36 2.44 2.32 2.39 808100 2.39
2014-03-13 2.42 2.45 2.39 2.39 855800 2.39
2014-03-14 2.38 2.44 2.34 2.36 1071500 2.36
2014-03-17 2.37 2.37 2.25 2.27 1286700 2.27
2014-03-18 2.28 2.3 2.22 2.28 1260100 2.28
2014-03-19 2.27 2.27 2.18 2.18 1342000 2.18
2014-03-20 2.19 2.19 2.1 2.11 1883500 2.11
2014-03-21 2.15 2.37 2.13 2.31 2749400 2.31
2014-03-24 2.35 2.37 2.13 2.17 1510400 2.17
2014-03-25 2.18 2.25 2.17 2.19 839000 2.19
2014-03-26 2.21 2.23 2.13 2.16 640100 2.16
2014-03-27 2.15 2.17 2.1 2.12 916200 2.12
2014-03-28 2.15 2.23 2.15 2.18 884300 2.18
2014-03-31 2.24 2.25 2.16 2.18 824100 2.18
2014-04-01 2.2 2.21 2.15 2.2 1332100 2.2
2014-04-02 2.25 2.4 2.24 2.32 1602500 2.32
2014-04-03 2.33 2.41 2.3 2.38 1391400 2.38
2014-04-04 2.42 2.48 2.32 2.36 964600 2.36
2014-04-07 2.34 2.37 2.26 2.3 932400 2.3
2014-04-08 2.32 2.39 2.29 2.35 593500 2.35
2014-04-09 2.33 2.47 2.32 2.45 822200 2.45
2014-04-10 2.47 2.7 2.45 2.61 4938500 2.61
2014-04-11 2.58 3.17 2.52 2.85 8004300 2.85
2014-04-14 2.9 3.06 2.85 2.93 3926400 2.93
2014-04-15 2.84 2.9 2.73 2.87 2358500 2.87
2014-04-16 2.88 2.94 2.81 2.87 1333400 2.87
2014-04-17 2.87 2.87 2.77 2.8 1327200 2.8
2014-04-21 2.8 2.86 2.75 2.84 1864400 2.84
2014-04-22 2.92 3.04 2.84 2.98 3148300 2.98
2014-04-23 2.96 3.04 2.91 3.02 2130500 3.02
2014-04-24 3.02 3.06 2.99 3.01 1622100 3.01
2014-04-25 2.99 2.99 2.86 2.89 1548300 2.89
2014-04-28 2.86 2.89 2.71 2.73 2003500 2.73
2014-04-29 2.77 2.83 2.66 2.72 991800 2.72
2014-04-30 2.75 2.76 2.66 2.68 1091000 2.68
2014-05-01 2.66 2.77 2.66 2.75 683200 2.75
2014-05-02 2.76 2.79 2.59 2.6 2533800 2.6
2014-05-05 2.6 2.7 2.54 2.68 1124900 2.68
2014-05-06 2.66 2.66 2.55 2.57 1580800 2.57
2014-05-07 2.6 2.61 2.52 2.55 784800 2.55
2014-05-08 2.54 2.57 2.5 2.53 942600 2.53
2014-05-09 2.51 2.62 2.43 2.61 1327100 2.61
2014-05-12 2.68 2.89 2.68 2.82 2568400 2.82
2014-05-13 3.01 3.05 2.68 2.84 5747300 2.84
2014-05-14 2.83 3.08 2.83 3.03 3881200 3.03
2014-05-15 3.01 3.03 2.87 3.02 1784000 3.02
2014-05-16 2.98 3.02 2.89 2.9 1284200 2.9
2014-05-19 2.91 2.93 2.76 2.79 1081900 2.79
2014-05-20 2.77 2.85 2.76 2.79 2846700 2.79
2014-05-21 2.62 2.75 2.54 2.74 3399300 2.74
2014-05-22 2.72 2.89 2.72 2.75 2036300 2.75
2014-05-23 2.79 2.91 2.75 2.87 1060900 2.87
2014-05-27 2.94 3.01 2.87 2.94 2492000 2.94
2014-05-28 2.97 2.97 2.84 2.87 1247800 2.87
2014-05-29 2.86 2.91 2.77 2.79 1444600 2.79
2014-05-30 2.79 2.85 2.75 2.81 1146900 2.81
2014-06-02 2.85 2.87 2.76 2.82 1225200 2.82
2014-06-03 2.78 2.84 2.75 2.78 1837900 2.78
2014-06-04 2.79 2.91 2.75 2.89 1641200 2.89
2014-06-05 2.88 2.98 2.86 2.88 2435900 2.88
2014-06-06 2.91 2.94 2.8 2.84 1951000 2.84
2014-06-09 2.85 2.85 2.76 2.77 1178800 2.77
2014-06-10 2.76 2.79 2.71 2.76 1432300 2.76
2014-06-11 2.76 2.89 2.73 2.82 1251600 2.82
2014-06-12 2.85 2.87 2.77 2.81 1357300 2.81
2014-06-13 2.82 2.86 2.76 2.83 1251500 2.83
2014-06-16 2.85 2.87 2.74 2.74 1336600 2.74
2014-06-17 2.75 2.76 2.64 2.64 2021200 2.64
2014-06-18 2.63 2.77 2.63 2.74 1656200 2.74
2014-06-19 2.78 2.79 2.73 2.76 1709800 2.76
2014-06-20 2.76 2.78 2.68 2.68 1979900 2.68
2014-06-23 2.73 3.1 2.71 2.94 5258900 2.94
2014-06-24 2.97 2.97 2.79 2.83 2304800 2.83
2014-06-25 2.79 2.93 2.77 2.88 952400 2.88
2014-06-26 2.88 2.92 2.82 2.9 904100 2.9
2014-06-27 2.91 2.95 2.88 2.91 2546800 2.91
2014-06-30 2.91 2.97 2.86 2.96 1243900 2.96
2014-07-01 2.97 2.98 2.86 2.89 1805500 2.89
2014-07-02 2.94 2.94 2.89 2.91 1468200 2.91
2014-07-03 2.94 2.96 2.89 2.94 1576000 2.94
2014-07-07 3.04 3.06 2.91 2.93 2523500 2.93
2014-07-08 2.91 2.96 2.81 2.88 1629200 2.88
2014-07-09 2.91 2.95 2.88 2.91 2635200 2.91
2014-07-10 2.86 2.9 2.83 2.86 3990200 2.86
2014-07-11 2.88 2.91 2.83 2.84 3941100 2.84
2014-07-14 2.81 2.89 2.81 2.89 1162700 2.89
2014-07-15 2.89 2.9 2.78 2.82 1688100 2.82
2014-07-16 2.82 2.86 2.79 2.85 971200 2.85
2014-07-17 2.87 2.87 2.8 2.82 1013900 2.82
2014-07-18 2.81 2.81 2.78 2.8 611400 2.8
2014-07-21 2.82 2.84 2.77 2.8 726600 2.8
2014-07-22 2.82 2.85 2.8 2.83 1091500 2.83
2014-07-23 2.83 2.86 2.81 2.84 800200 2.84
2014-07-24 2.84 2.86 2.81 2.83 897500 2.83
2014-07-25 2.83 2.85 2.8 2.8 712900 2.8
2014-07-28 2.8 2.87 2.79 2.85 1275400 2.85
2014-07-29 2.85 2.86 2.81 2.82 480800 2.82
2014-07-30 2.83 2.85 2.82 2.85 679400 2.85
2014-07-31 2.82 2.83 2.76 2.78 1135900 2.78
2014-08-01 2.77 2.82 2.74 2.82 1188100 2.82
2014-08-04 2.81 2.82 2.73 2.81 958700 2.81
2014-08-05 2.78 2.81 2.75 2.78 1115000 2.78
2014-08-06 2.8 2.97 2.75 2.78 3613200 2.78
2014-08-07 2.81 2.82 2.67 2.74 3467400 2.74
2014-08-08 2.75 2.79 2.72 2.77 1371300 2.77
2014-08-11 2.77 2.83 2.77 2.8 1103500 2.8
2014-08-12 2.81 2.86 2.78 2.86 1193000 2.86
2014-08-13 2.85 2.86 2.81 2.84 1054800 2.84
2014-08-14 2.84 2.84 2.79 2.81 848100 2.81
2014-08-15 2.83 2.85 2.79 2.84 943500 2.84
2014-08-18 2.82 2.86 2.8 2.85 1259400 2.85
2014-08-19 2.85 2.96 2.85 2.93 2699300 2.93
2014-08-20 2.93 3.09 2.9 3.04 4295100 3.04
2014-08-21 3.04 3.06 2.99 3.01 1527100 3.01
2014-08-22 3 3.04 2.93 2.99 1426100 2.99
2014-08-25 2.99 3.01 2.94 2.97 844600 2.97
2014-08-26 2.97 2.97 2.93 2.96 910900 2.96
2014-08-27 2.99 3.01 2.93 3.01 902600 3.01
2014-08-28 3 3.01 2.92 2.93 1054400 2.93
2014-08-29 2.93 2.94 2.84 2.87 942700 2.87
2014-09-02 2.85 2.86 2.78 2.8 1116700 2.8
2014-09-03 2.8 2.85 2.77 2.8 1449100 2.8
2014-09-04 2.83 2.83 2.73 2.77 1459400 2.77
2014-09-05 2.79 2.8 2.7 2.73 1226200 2.73
2014-09-08 2.76 2.79 2.69 2.72 1055200 2.72
2014-09-09 2.69 2.8 2.69 2.76 1177700 2.76
2014-09-10 2.74 2.77 2.69 2.75 807400 2.75
2014-09-11 2.73 2.83 2.73 2.83 1382200 2.83
2014-09-12 2.81 2.84 2.76 2.77 1149300 2.77
2014-09-15 2.75 2.76 2.63 2.65 1413600 2.65
2014-09-16 2.66 2.71 2.58 2.7 1436700 2.7
2014-09-17 2.69 2.72 2.64 2.65 727300 2.65
2014-09-18 2.66 2.67 2.6 2.61 1524700 2.61
2014-09-19 2.6 2.6 2.4 2.41 4532100 2.41
2014-09-22 2.38 2.39 2.22 2.25 2980000 2.25
2014-09-23 2.29 2.33 2.25 2.33 1170500 2.33
2014-09-24 2.34 2.34 2.26 2.3 807700 2.3
2014-09-25 2.36 2.37 2.25 2.26 997100 2.26
2014-09-26 2.26 2.38 2.24 2.37 872200 2.37
2014-09-29 2.37 2.39 2.26 2.26 742500 2.26
2014-09-30 2.25 2.26 2.2 2.2 1164000 2.2
2014-10-01 2.25 2.26 2.14 2.18 1196000 2.18
2014-10-02 2.17 2.17 2.07 2.12 1449800 2.12
2014-10-03 2.15 2.16 2.09 2.09 592600 2.09
2014-10-06 2.14 2.17 2.02 2.13 1129700 2.13
2014-10-07 2.09 2.11 2.05 2.07 660300 2.07
2014-10-08 2.04 2.09 1.95 2.07 1588300 2.07
2014-10-09 2.07 2.09 1.96 2 1052000 2
2014-10-10 1.99 2.05 1.91 2 1119000 2
2014-10-13 1.96 2.06 1.93 1.95 686600 1.95
