"Index" "CUS.Open" "CUS.High" "CUS.Low" "CUS.Close" "CUS.Volume" "CUS.Adjusted"
2013-06-17 2.607 2.607 2.607 2.607 0 2.607
2013-06-18 2.601 2.601 2.601 2.601 0 2.601
2013-06-19 2.586 2.586 2.586 2.586 0 2.586
2013-06-20 2.559 2.559 2.559 2.559 0 2.559
2013-06-21 2.52 2.52 2.52 2.52 0 2.52
2013-06-24 2.546 2.546 2.546 2.546 0 2.546
2013-06-25 2.51 2.51 2.51 2.51 0 2.51
2013-06-26 2.457 2.457 2.457 2.457 0 2.457
2013-06-27 2.457 2.457 2.457 2.457 0 2.457
2013-06-28 2.457 2.457 2.457 2.457 0 2.457
2013-07-01 2.457 2.457 2.457 2.457 0 2.457
2013-07-02 2.61 2.61 2.61 2.61 0 2.61
2013-07-03 2.606 2.606 2.606 2.606 0 2.606
2013-07-04 2.653 2.653 2.653 2.653 0 2.653
2013-07-05 2.706 2.706 2.706 2.706 0 2.706
2013-07-08 2.726 2.726 2.726 2.726 0 2.726
2013-07-09 2.726 2.726 2.726 2.726 0 2.726
2013-07-10 2.726 2.726 2.726 2.726 0 2.726
2013-07-11 2.702 2.702 2.702 2.702 0 2.702
2013-07-12 2.815 2.815 2.815 2.815 0 2.815
2013-07-15 2.912 2.912 2.912 2.912 0 2.912
2013-07-16 2.952 2.952 2.952 2.952 0 2.952
2013-07-17 2.908 2.908 2.908 2.908 0 2.908
2013-07-18 2.908 2.908 2.908 2.908 0 2.908
2013-07-19 2.888 2.888 2.888 2.888 0 2.888
2013-07-22 2.876 2.876 2.876 2.876 0 2.876
2013-07-23 2.867 2.867 2.867 2.867 0 2.867
2013-07-24 2.786 2.786 2.786 2.786 0 2.786
2013-07-25 2.786 2.786 2.786 2.786 0 2.786
2013-07-26 2.939 2.939 2.939 2.939 0 2.939
2013-07-29 2.939 2.939 2.939 2.939 0 2.939
2013-07-30 2.944 2.944 2.944 2.944 0 2.944
2013-07-31 2.944 2.944 2.944 2.944 0 2.944
2013-08-01 3.132 3.132 3.132 3.132 0 3.132
2013-08-02 3.107 3.107 3.107 3.107 0 3.107
2013-08-05 3.037 3.037 3.037 3.037 0 3.037
2013-08-06 3.143 3.143 3.143 3.143 0 3.143
2013-08-07 3.105 3.105 3.105 3.105 0 3.105
2013-08-08 2.929 2.929 2.929 2.929 0 2.929
