"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2013-07-09 42.07 42.68 41.63 42.45 251700 39.7636
2013-07-10 42.54 43.42 42.45 43.17 273400 40.4381
2013-07-11 43.95 43.95 43.45 43.79 263000 41.0188
2013-07-12 43.48 43.92 43.11 43.78 157800 41.0095
2013-07-15 43.62 43.74 43.17 43.5 206300 40.7472
2013-07-16 43.56 43.89 43.43 43.7 198900 40.9345
2013-07-17 44.07 44.47 43.63 44.28 376200 41.4778
2013-07-18 44.29 44.62 44.02 44.27 302500 41.4685
2013-07-19 44.31 44.83 44.16 44.59 492500 41.7682
2013-07-22 44.83 44.85 44.44 44.77 211000 41.9368
2013-07-23 45 45.39 44.6525 44.68 540600 41.8525
2013-07-24 45.04 45.4 44.48 44.57 316300 41.7495
2013-07-25 44.5 44.75 44.02 44.59 271800 41.7682
2013-07-26 44.34 44.535 43.97 44.18 104700 41.3842
2013-07-29 44.16 44.47 44 44.08 158500 41.2905
2013-07-30 44.93 45.27 44.47 44.76 425500 41.9275
2013-07-31 46.6 47.45 46.26 46.99 511400 44.0163
2013-08-01 47.74 48.84 47.74 48.73 414300 45.6462
2013-08-02 48.25 48.55 47.91 48.37 207400 45.309
2013-08-05 47.65 47.89 46.46 47.53 727400 44.5222
2013-08-06 47.66 48 46.71 46.86 314400 43.8946
2013-08-07 47 47.41 46.84 46.92 254900 43.9508
2013-08-08 47.82 48.06 47.61 47.84 674500 45.0044
2013-08-09 47.96 48.15 47.14 47.26 664600 44.4588
2013-08-12 46.75 47.5 46.75 47.49 233000 44.6751
2013-08-13 47.23 47.74 47.1 47.61 192900 44.788
2013-08-14 47.47 47.64 46.88 47.06 271900 44.2706
2013-08-15 46.82 47.22 45.8601 46.86 133300 44.0825
2013-08-16 48.26 48.71 47.58 47.8 846600 44.9668
2013-08-19 47.58 47.84 46.71 46.8 202900 44.026
2013-08-20 46.8 47.33 46.5 46.95 233600 44.1671
2013-08-21 46.76 46.84 46.21 46.37 117300 43.6215
2013-08-22 48.02 48.66 47.96 48.63 362500 45.7476
2013-08-23 48.9 49.95 48.8 49.79 421500 46.8388
2013-08-26 48.3 48.84 47.56 47.61 486100 44.788
2013-08-27 47.04 47.69 46.64 47.02 251900 44.233
2013-08-28 46.88 46.95 46.24 46.39 133700 43.6403
2013-08-29 46.42 46.65 46.1511 46.24 82700 43.4992
2013-08-30 46.26 46.26 45.611 45.88 144600 43.1606
2013-09-02 45.88 45.88 45.88 45.88 0 43.1606
2013-09-03 46.59 46.59 45.48 46.05 217600 43.3205
2013-09-04 45.29 46.05 45.15 45.81 244800 43.0947
2013-09-05 45.61 46.06 45.52 45.76 123100 43.0477
2013-09-06 46.46 46.78 46.29 46.54 111800 43.7814
2013-09-09 47.11 48.17 46.94 47.47 262900 44.6563
2013-09-10 47.42 47.48 46.9 47.28 188500 44.4776
2013-09-11 47.13 47.59 46.95 47.53 157800 44.7128
2013-09-12 47.22 47.23 46.19 46.22 283100 43.4804
2013-09-13 46.88 47.016 46.62 46.91 201400 44.1295
2013-09-16 47.75 47.99 47.49 47.52 264500 44.7034
2013-09-17 47.76 48.04 47.61 47.72 151400 44.8915
2013-09-18 47.85 48.57 47.54 48.38 206800 45.5124
2013-09-19 48.83 49.2 48.82 49.03 381300 46.1238
2013-09-20 49.08 49.23 48.27 48.44 115100 45.5688
2013-09-23 49.06 49.65 49.02 49.12 428500 46.2085
2013-09-24 50.5 51 50.32 50.58 595300 47.582
2013-09-25 50.7 51.27 50.4 51.22 291400 48.184
2013-09-26 50.9 51.34 50.4001 50.8 502300 47.7889
2013-09-27 50.87 50.92 49.03 49.96 2461400 46.9987
2013-09-30 49.96 49.96 49.96 49.96 0 46.9987
2013-10-01 49.96 49.96 49.96 49.96 0 46.9987
2013-10-02 49.96 49.96 49.96 49.96 0 46.9987
2013-10-03 49.96 49.96 49.96 49.96 0 46.9987
2013-10-04 49.96 49.96 49.96 49.96 0 46.9987
2013-10-07 49.96 49.96 49.96 49.96 0 46.9987
2013-10-08 49.96 49.96 49.96 49.96 0 46.9987
2013-10-09 49.96 49.96 49.96 49.96 0 46.9987
2013-10-10 49.96 49.96 49.96 49.96 0 46.9987
2013-10-11 49.96 49.96 49.96 49.96 0 46.9987
2013-10-14 49.96 49.96 49.96 49.96 0 46.9987
2013-10-15 49.96 49.96 49.96 49.96 0 46.9987
2013-10-16 49.96 49.96 49.96 49.96 0 46.9987
2013-10-17 49.96 49.96 49.96 49.96 0 46.9987
2013-10-18 49.96 49.96 49.96 49.96 0 46.9987
2013-10-21 49.96 49.96 49.96 49.96 0 46.9987
2013-10-22 28.789 28.789 28.789 28.789 0 27.0826
2013-10-23 28.766 28.766 28.766 28.766 0 27.061
2013-10-24 28.668 28.668 28.668 28.668 0 26.9688
