"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2013-10-24 44.125 44.125 44.125 44.125 0 44.125
2013-10-25 42.7 42.7 42.7 42.7 0 42.7
2013-10-28 43.47 43.47 43.47 43.47 0 43.47
2013-10-29 43.39 43.39 43.39 43.39 0 43.39
2013-10-30 43.685 43.685 43.685 43.685 0 43.685
2013-10-31 43.255 43.255 43.255 43.255 0 43.255
2013-11-01 43.65 43.65 43.65 43.65 0 43.65
2013-11-04 43.55 43.55 43.55 43.55 0 43.55
2013-11-05 44.075 44.075 44.075 44.075 0 44.075
2013-11-06 44.005 44.005 44.005 44.005 0 44.005
2013-11-07 43.76 43.76 43.76 43.76 0 43.76
2013-11-08 44.68 44.68 44.68 44.68 0 44.68
2013-11-11 45.325 45.325 45.325 45.325 0 45.325
2013-11-12 45.85 45.85 45.85 45.85 0 45.85
2013-11-13 45.57 45.57 45.57 45.57 0 45.57
2013-11-14 46.1 46.1 46.1 46.1 0 46.1
2013-11-15 45.9 45.9 45.9 45.9 0 45.9
2013-11-18 45.965 45.965 45.965 45.965 0 45.965
2013-11-19 45.625 45.625 45.625 45.625 0 45.625
2013-11-20 45.42 45.42 45.42 45.42 0 45.42
2013-11-21 46.605 46.605 46.605 46.605 0 46.605
2013-11-22 45.94 45.94 45.94 45.94 0 45.94
2013-11-25 45.925 45.925 45.925 45.925 0 45.925
2013-11-26 45.285 45.285 45.285 45.285 0 45.285
2013-11-27 44.76 44.76 44.76 44.76 0 44.76
2013-11-28 45.235 45.235 45.235 45.235 0 45.235
2013-11-29 44.915 44.915 44.915 44.915 0 44.915
2013-12-02 45.02 45.02 45.02 45.02 0 45.02
2013-12-03 45.145 45.145 45.145 45.145 0 45.145
2013-12-04 43.495 44.65 43.495 44.65 0 44.65
2013-12-05 42.215 43.145 42.215 43.145 0 43.145
2013-12-06 42.435 42.435 42.435 42.435 0 42.435
2013-12-09 42.985 42.985 42.985 42.985 0 42.985
2013-12-10 42.37 42.37 42.37 42.37 0 42.37
2013-12-11 42.255 42.255 42.255 42.255 0 42.255
