"Index" "WCC.Open" "WCC.High" "WCC.Low" "WCC.Close" "WCC.Volume" "WCC.Adjusted"
2013-12-24 90.309998 90.730003 89.699997 90.150002 70000 90.150002
2013-12-26 90.529999 91.220001 90.019997 90.82 140000 90.82
2013-12-27 90.669998 91.080002 90.279999 90.900002 120000 90.900002
2013-12-30 90.910004 91.239998 90.440002 91.120003 215200 91.120003
2013-12-31 91.330002 91.620003 90.519997 91.07 184700 91.07
2014-01-02 90.400002 90.809998 89.139999 89.839996 422100 89.839996
2014-01-03 89.75 90.629997 89.419998 90.010002 213500 90.010002
2014-01-06 90.419998 90.699997 89.110001 89.32 210100 89.32
2014-01-07 89.529999 90.029999 88.949997 89.32 449700 89.32
2014-01-08 90.800003 91.790001 89.959999 90.68 805800 90.68
2014-01-09 91.269997 91.849998 90.699997 91.029999 355400 91.029999
2014-01-10 91.010002 91.970001 90.470001 91.940002 421700 91.940002
2014-01-13 91.68 92.260002 90.779999 91.129997 321800 91.129997
2014-01-14 91.330002 92.589996 90.830002 92.489998 707800 92.489998
2014-01-15 92.449997 93.800003 92.160004 93.519997 551200 93.519997
2014-01-16 93.150002 94.75 93.029999 93.809998 430300 93.809998
2014-01-17 93.900002 93.959999 92.540001 92.849998 319800 92.849998
2014-01-21 93.470001 93.760002 92.150002 92.339996 275200 92.339996
2014-01-22 92.580002 92.910004 91.650002 91.910004 498100 91.910004
2014-01-23 91.830002 92.029999 91.110001 91.690002 464800 91.690002
2014-01-24 89.889999 90.650002 88.080002 88.550003 585000 88.550003
2014-01-27 88.540001 89.040001 85.290001 85.389999 1042500 85.389999
2014-01-28 85.709999 86.089996 84.849998 85.860001 936000 85.860001
2014-01-29 85.150002 86.849998 84.699997 84.959999 827500 84.959999
2014-01-30 83 83.989998 78.519997 81.709999 2482100 81.709999
2014-01-31 81.360001 83.68 81.050003 82.959999 1166900 82.959999
2014-02-03 81.349998 82.290001 80.019997 80.050003 1405400 80.050003
2014-02-04 80.68 81.519997 79.910004 81.449997 622600 81.449997
2014-02-05 81.330002 81.720001 80.589996 81 906500 81
2014-02-06 80.949997 81.970001 79.68 80.599998 614400 80.599998
2014-02-07 80.779999 81.720001 80.150002 81.220001 673100 81.220001
2014-02-10 81.25 81.300003 80.269997 81.010002 399800 81.010002
2014-02-11 80.809998 82.790001 80.730003 82.400002 721900 82.400002
2014-02-12 82.519997 83.68 82.059998 83.129997 464200 83.129997
2014-02-13 82.790001 84.489998 82.470001 84.43 519000 84.43
2014-02-14 84.529999 85.459999 84.370003 85.220001 469100 85.220001
2014-02-18 85.540001 86.059998 84.650002 85.349998 592100 85.349998
2014-02-19 85.290001 87.139999 85.029999 86.25 646600 86.25
2014-02-20 86.379997 87.419998 85.43 85.709999 1243100 85.709999
2014-02-21 85.900002 86.199997 84.779999 84.879997 394300 84.879997
2014-02-24 84.989998 86.199997 84.860001 85.440002 335400 85.440002
2014-02-25 85.620003 85.620003 84.410004 84.470001 384500 84.470001
2014-02-26 84.68 85.720001 83.889999 85.089996 368600 85.089996
2014-02-27 84.919998 86.209999 84.160004 86.110001 345800 86.110001
2014-02-28 86.190002 87.540001 86 86.209999 399600 86.209999
2014-03-03 85.349998 86.080002 84.949997 85.440002 348000 85.440002
2014-03-04 86 86.599998 85.57 85.730003 510500 85.730003
2014-03-05 85.949997 86.099998 84.349998 85.129997 736400 85.129997
2014-03-06 85.190002 86.32 85.190002 85.730003 582400 85.730003
2014-03-07 86.18 87.260002 86 86.339996 319400 86.339996
2014-03-10 86.339996 86.779999 85.209999 86.199997 325300 86.199997
2014-03-11 87.220001 87.309998 85.300003 85.980003 642400 85.980003
2014-03-12 85.419998 85.419998 84.580002 84.980003 366500 84.980003
2014-03-13 85.019997 85.160004 81.879997 82.459999 596700 82.459999
2014-03-14 82.160004 83.360001 82.160004 82.550003 239700 82.550003
2014-03-17 82.93 83.610001 82.790001 83.32 321500 83.32
2014-03-18 83.589996 84.540001 83.419998 84.449997 542500 84.449997
2014-03-19 84.550003 84.68 83.580002 84.089996 492900 84.089996
2014-03-20 83.739998 83.889999 82.889999 82.889999 301500 82.889999
2014-03-21 82.889999 82.989998 81.730003 81.860001 572600 81.860001
2014-03-24 82.330002 82.480003 79.839996 81.309998 846900 81.309998
2014-03-25 82.040001 83.529999 82.029999 82.620003 578300 82.620003
2014-03-26 82.75 83.349998 80.559998 80.589996 777100 80.589996
2014-03-27 80.589996 82.010002 79.940002 81.949997 612400 81.949997
2014-03-28 82.349998 83.18 81.75 81.879997 376400 81.879997
2014-03-31 82.699997 83.290001 82.309998 83.220001 621600 83.220001
2014-04-01 85.150002 87.139999 84.910004 85.510002 1200400 85.510002
2014-04-02 85.620003 87.349998 85.620003 87.25 562800 87.25
