"Index" "RI.Open" "RI.High" "RI.Low" "RI.Close" "RI.Volume" "RI.Adjusted"
2014-12-23 48.65 48.65 48.65 48.65 0 47.82
2014-12-24 48.65 48.65 48.65 48.65 0 47.82
2014-12-25 48.65 48.65 48.65 48.65 0 47.82
2014-12-26 48.65 48.65 48.65 48.65 0 47.82
2014-12-29 48.65 48.65 48.65 48.65 0 47.82
2014-12-30 48.65 48.65 48.65 48.65 0 47.82
2014-12-31 48.65 48.65 48.65 48.65 0 47.82
2015-01-01 48.65 48.65 48.65 48.65 0 47.82
2015-01-02 48.65 48.65 48.65 48.65 0 47.82
2015-01-05 48.65 48.65 48.65 48.65 0 47.82
2015-01-06 48.65 48.65 48.65 48.65 0 47.82
2015-01-07 48.65 48.65 48.65 48.65 0 47.82
2015-01-08 48.65 48.65 48.65 48.65 0 47.82
2015-01-09 48.65 48.65 48.65 48.65 0 47.82
2015-01-12 48.65 48.65 48.65 48.65 0 47.82
2015-01-13 48.65 48.65 48.65 48.65 0 47.82
2015-01-14 48.65 48.65 48.65 48.65 0 47.82
2015-01-15 48.65 48.65 48.65 48.65 0 47.82
2015-01-16 48.65 48.65 48.65 48.65 0 47.82
2015-01-19 48.65 48.65 48.65 48.65 0 47.82
2015-01-20 48.65 48.65 48.65 48.65 0 47.82
2015-01-21 48.65 48.65 48.65 48.65 0 47.82
2015-01-22 102.9 102.9 102.9 102.9 0 101.14
2015-01-23 102.9 102.9 102.9 102.9 0 101.14
2015-01-26 102.9 102.9 102.9 102.9 0 101.14
2015-01-27 102.9 102.9 102.9 102.9 0 101.14
2015-01-28 102.9 102.9 102.9 102.9 0 101.14
2015-01-29 102.9 102.9 102.9 102.9 0 101.14
2015-01-30 102.9 102.9 102.9 102.9 0 101.14
2015-02-02 102.9 102.9 102.9 102.9 0 101.14
2015-02-03 102.9 102.9 102.9 102.9 0 101.14
2015-02-04 102.9 102.9 102.9 102.9 0 101.14
2015-02-05 102.9 102.9 102.9 102.9 0 101.14
2015-02-06 102.9 102.9 102.9 102.9 0 101.14
2015-02-09 102.9 102.9 102.9 102.9 0 101.14
2015-02-10 102.9 102.9 102.9 102.9 0 101.14
2015-02-11 102.9 102.9 102.9 102.9 0 101.14
2015-02-12 102.9 102.9 102.9 102.9 0 101.14
2015-02-13 102.9 102.9 102.9 102.9 0 101.14
2015-02-16 102.9 102.9 102.9 102.9 0 101.14
2015-02-17 102.9 102.9 102.9 102.9 0 101.14
2015-02-18 102.9 102.9 102.9 102.9 0 101.14
2015-02-19 102.9 102.9 102.9 102.9 0 101.14
2015-02-20 102.9 102.9 102.9 102.9 0 101.14
2015-02-23 102.9 102.9 102.9 102.9 0 101.14
2015-02-24 102.9 102.9 102.9 102.9 0 101.14
2015-02-25 102.9 102.9 102.9 102.9 0 101.14
