"Index" "EN.Open" "EN.High" "EN.Low" "EN.Close" "EN.Volume" "EN.Adjusted"
2015-03-30 35.82 35.82 35.82 35.82 0 34.22
2015-03-31 35.82 35.82 35.82 35.82 0 34.22
2015-04-01 35.82 35.82 35.82 35.82 0 34.22
2015-04-02 35.82 35.82 35.82 35.82 0 34.22
2015-04-03 35.82 35.82 35.82 35.82 0 34.22
2015-04-06 35.82 35.82 35.82 35.82 0 34.22
2015-04-07 35.82 35.82 35.82 35.82 0 34.22
2015-04-08 35.82 35.82 35.82 35.82 0 34.22
2015-04-09 35.82 35.82 35.82 35.82 0 34.22
2015-04-10 35.82 35.82 35.82 35.82 0 34.22
2015-04-13 35.82 35.82 35.82 35.82 0 34.22
2015-04-14 35.82 35.82 35.82 35.82 0 34.22
2015-04-15 35.82 35.82 35.82 35.82 0 34.22
2015-04-16 35.82 35.82 35.82 35.82 0 34.22
2015-04-17 35.82 35.82 35.82 35.82 0 34.22
