"Index" "BB.Open" "BB.High" "BB.Low" "BB.Close" "BB.Volume" "BB.Adjusted"
2014-12-26 9.23 9.23 9.23 9.23 0 9.23
2014-12-29 9.23 9.23 9.23 9.23 0 9.23
2014-12-30 9.23 9.23 9.23 9.23 0 9.23
2014-12-31 9.23 9.23 9.23 9.23 0 9.23
2015-01-01 9.23 9.23 9.23 9.23 0 9.23
2015-01-02 9.23 9.23 9.23 9.23 0 9.23
2015-01-05 10.79 10.79 10.79 10.79 300 10.79
2015-01-06 10.79 10.79 10.79 10.79 0 10.79
2015-01-07 10.79 10.79 10.79 10.79 0 10.79
2015-01-08 10.79 10.79 10.79 10.79 0 10.79
2015-01-09 10.79 10.79 10.79 10.79 0 10.79
2015-01-12 10.79 10.79 10.79 10.79 0 10.79
2015-01-13 10.79 10.79 10.79 10.79 0 10.79
2015-01-14 10.79 10.79 10.79 10.79 0 10.79
2015-01-15 10.87 10.87 10.87 10.87 1400 10.87
2015-01-16 8.855 8.855 8.855 8.855 1400 8.855
2015-01-19 8.855 8.855 8.855 8.855 0 8.855
2015-01-20 8.855 8.855 8.855 8.855 0 8.855
2015-01-21 8.855 8.855 8.855 8.855 0 8.855
2015-01-22 8.855 8.855 8.855 8.855 0 8.855
2015-01-23 8.855 8.855 8.855 8.855 0 8.855
2015-01-26 8.855 8.855 8.855 8.855 0 8.855
2015-01-27 8.855 8.855 8.855 8.855 0 8.855
2015-01-28 8.855 8.855 8.855 8.855 0 8.855
2015-01-29 8.855 8.855 8.855 8.855 0 8.855
2015-01-30 8.855 8.855 8.855 8.855 0 8.855
2015-02-02 8.855 8.855 8.855 8.855 0 8.855
2015-02-03 8.855 8.855 8.855 8.855 0 8.855
2015-02-04 8.855 8.855 8.855 8.855 0 8.855
2015-02-05 8.855 8.855 8.855 8.855 0 8.855
2015-02-06 8.855 8.855 8.855 8.855 0 8.855
2015-02-09 8.855 8.855 8.855 8.855 0 8.855
2015-02-10 8.855 8.855 8.855 8.855 0 8.855
2015-02-11 8.855 8.855 8.855 8.855 0 8.855
2015-02-12 8.855 8.855 8.855 8.855 0 8.855
2015-02-13 8.855 8.855 8.855 8.855 0 8.855
2015-02-16 8.855 8.855 8.855 8.855 0 8.855
2015-02-17 8.855 8.855 8.855 8.855 0 8.855
2015-02-18 8.855 8.855 8.855 8.855 0 8.855
2015-02-19 8.855 8.855 8.855 8.855 0 8.855
2015-02-20 8.855 8.855 8.855 8.855 0 8.855
2015-02-23 8.855 8.855 8.855 8.855 0 8.855
2015-02-24 8.855 8.855 8.855 8.855 0 8.855
2015-02-25 8.855 8.855 8.855 8.855 0 8.855
2015-02-26 8.855 8.855 8.855 8.855 0 8.855
2015-02-27 8.855 8.855 8.855 8.855 0 8.855
