"Index" "UI.Open" "UI.High" "UI.Low" "UI.Close" "UI.Volume" "UI.Adjusted"
2013-04-18 0.35 0.4 0.35 0.4 10000 0.4
2013-04-19 0.35 0.35 0.35 0.35 1000 0.35
2013-04-22 0.35 0.35 0.35 0.35 0 0.35
2013-04-23 0.385 0.385 0.385 0.385 6000 0.385
2013-04-24 0.385 0.385 0.385 0.385 0 0.385
2013-04-25 0.3 0.3 0.3 0.3 500 0.3
2013-04-26 0.3 0.3 0.3 0.3 0 0.3
2013-04-29 0.3 0.3 0.3 0.3 0 0.3
2013-04-30 0.3 0.3 0.3 0.3 0 0.3
2013-05-01 0.3 0.3 0.3 0.3 0 0.3
2013-05-02 0.3 0.3 0.3 0.3 0 0.3
2013-05-03 0.3 0.3 0.3 0.3 0 0.3
2013-05-06 0.3 0.3 0.3 0.3 3500 0.3
2013-05-07 0.3 0.3 0.3 0.3 1500 0.3
2013-05-08 0.3 0.3 0.3 0.3 0 0.3
2013-05-09 0.2 0.2 0.2 0.2 1000 0.2
2013-05-10 0.2 0.2 0.2 0.2 0 0.2
2013-05-13 0.2 0.2 0.2 0.2 0 0.2
2013-05-14 0.2 0.2 0.2 0.2 5000 0.2
2013-05-15 0.2 0.2 0.2 0.2 0 0.2
2013-05-16 0.2 0.2 0.2 0.2 0 0.2
2013-05-17 0.2 0.2 0.2 0.2 0 0.2
2013-05-20 0.2 0.2 0.2 0.2 0 0.2
2013-05-21 0.2 0.2 0.2 0.2 0 0.2
2013-05-22 0.2 0.2 0.2 0.2 0 0.2
2013-05-23 0.2 0.2 0.2 0.2 0 0.2
2013-05-24 0.2 0.2 0.2 0.2 0 0.2
2013-05-27 0.2 0.2 0.2 0.2 0 0.2
2013-05-28 0.2 0.2 0.2 0.2 0 0.2
2013-05-29 0.15 0.15 0.15 0.15 2000 0.15
2013-05-30 0.15 0.15 0.15 0.15 0 0.15
2013-05-31 0.15 0.15 0.15 0.15 2000 0.15
2013-06-03 0.15 0.15 0.15 0.15 0 0.15
2013-06-04 0.15 0.15 0.15 0.15 0 0.15
2013-06-05 0.15 0.15 0.15 0.15 0 0.15
2013-06-06 0.15 0.15 0.15 0.15 0 0.15
2013-06-07 0.15 0.15 0.15 0.15 0 0.15
2013-06-10 0.15 0.15 0.15 0.15 0 0.15
2013-06-11 0.15 0.15 0.15 0.15 0 0.15
2013-06-12 0.22 0.3 0.22 0.3 35000 0.3
2013-06-13 0.3 0.3 0.3 0.3 0 0.3
2013-06-14 0.3 0.3 0.3 0.3 0 0.3
2013-06-17 0.3 0.3 0.3 0.3 0 0.3
2013-06-18 0.3 0.3 0.3 0.3 0 0.3
2013-06-19 0.3 0.3 0.3 0.3 0 0.3
2013-06-20 0.3 0.3 0.3 0.3 0 0.3
2013-06-21 0.3 0.3 0.3 0.3 65000 0.3
2013-06-24 0.3 0.3 0.3 0.3 0 0.3
2013-06-25 0.3 0.3 0.3 0.3 0 0.3
2013-06-26 0.3 0.3 0.3 0.3 0 0.3
2013-06-27 0.29 0.29 0.29 0.29 53500 0.29
2013-06-28 0.28 0.28 0.25 0.25 2000 0.25
2013-07-01 0.25 0.25 0.25 0.25 0 0.25
2013-07-02 0.15 0.15 0.15 0.15 1000 0.15
2013-07-03 0.15 0.15 0.15 0.15 0 0.15
2013-07-04 0.15 0.15 0.15 0.15 0 0.15
2013-07-05 0.15 0.15 0.15 0.15 9000 0.15
2013-07-08 0.15 0.15 0.15 0.15 0 0.15
2013-07-09 0.15 0.15 0.15 0.15 0 0.15
2013-07-10 0.15 0.15 0.15 0.15 0 0.15
2013-07-11 0.15 0.15 0.15 0.15 0 0.15
2013-07-12 0.15 0.15 0.15 0.15 0 0.15
2013-07-15 0.15 0.15 0.15 0.15 0 0.15
2013-07-16 0.16 0.16 0.16 0.16 10000 0.16
2013-07-17 0.16 0.16 0.16 0.16 0 0.16
2013-07-18 0.16 0.16 0.16 0.16 0 0.16
2013-07-19 0.16 0.16 0.16 0.16 0 0.16
2013-07-22 0.16 0.16 0.16 0.16 0 0.16
2013-07-23 0.17 0.2 0.17 0.2 20000 0.2
2013-07-24 0.2 0.2 0.2 0.2 0 0.2
2013-07-25 0.2 0.2 0.2 0.2 0 0.2
2013-07-26 0.2 0.2 0.2 0.2 0 0.2
2013-07-29 0.2 0.2 0.2 0.2 0 0.2
2013-07-30 0.2 0.2 0.2 0.2 20000 0.2
2013-07-31 0.2 0.2 0.2 0.2 0 0.2
2013-08-01 0.2 0.2 0.2 0.2 0 0.2
2013-08-02 0.2 0.2 0.2 0.2 0 0.2
2013-08-05 0.2 0.2 0.2 0.2 0 0.2
2013-08-06 0.2 0.2 0.2 0.2 0 0.2
2013-08-07 0.2 0.21 0.2 0.21 217500 0.21
2013-08-08 0.21 0.21 0.21 0.21 0 0.21
2013-08-09 0.21 0.21 0.21 0.21 0 0.21
2013-08-12 0.21 0.21 0.21 0.21 0 0.21
2013-08-13 0.21 0.21 0.21 0.21 0 0.21
2013-08-14 0.21 0.21 0.21 0.21 0 0.21
2013-08-15 0.21 0.21 0.21 0.21 120000 0.21
