"Index" "XER.Open" "XER.High" "XER.Low" "XER.Close" "XER.Volume" "XER.Adjusted"
2013-04-25 6.4 6.4 6.4 6.4 0 6.051
2013-04-26 6.4 6.4 6.4 6.4 0 6.051
2013-04-29 6.4 6.4 6.4 6.4 0 6.051
2013-04-30 6.42 6.42 6.42 6.42 0 6.07
2013-05-01 6.42 6.42 6.42 6.42 0 6.07
2013-05-02 6.33 6.33 6.33 6.33 0 5.984
2013-05-03 6.41 6.41 6.41 6.41 0 6.06
2013-05-06 6.49 6.49 6.49 6.49 0 6.136
2013-05-07 6.66 6.66 6.66 6.66 0 6.296
2013-05-08 6.66 6.66 6.66 6.66 0 6.296
2013-05-09 6.66 6.66 6.66 6.66 0 6.296
2013-05-10 6.89 6.89 6.89 6.89 0 6.514
2013-05-13 6.9 6.9 6.9 6.9 0 6.523
2013-05-14 6.82 6.82 6.82 6.82 0 6.448
2013-05-15 6.88 6.88 6.88 6.88 0 6.504
2013-05-16 6.97 6.97 6.97 6.97 0 6.589
2013-05-17 6.8 6.8 6.8 6.8 0 6.429
2013-05-20 6.84 6.84 6.84 6.84 0 6.467
2013-05-21 6.91 6.91 6.91 6.91 0 6.533
2013-05-22 6.96 6.96 6.96 6.96 0 6.58
2013-05-23 6.78 6.78 6.78 6.78 0 6.41
2013-05-24 6.88 6.88 6.88 6.88 0 6.504
2013-05-27 6.88 6.88 6.88 6.88 0 6.504
2013-05-28 6.92 6.92 6.92 6.92 0 6.542
2013-05-29 6.98 6.98 6.98 6.98 0 6.599
2013-05-30 6.89 6.89 6.89 6.89 0 6.514
2013-05-31 6.87 6.87 6.87 6.87 0 6.495
2013-06-03 6.74 6.74 6.74 6.74 0 6.372
2013-06-04 6.79 6.79 6.79 6.79 0 6.419
2013-06-05 6.83 6.83 6.83 6.83 0 6.457
2013-06-06 6.67 6.67 6.54 6.54 2000 6.183
2013-06-07 6.61 6.61 6.61 6.61 0 6.249
2013-06-10 6.95 6.95 6.95 6.95 0 6.571
2013-06-11 6.91 6.91 6.91 6.91 0 6.533
2013-06-12 6.85 6.85 6.85 6.85 0 6.476
2013-06-13 6.8 6.8 6.8 6.8 0 6.429
2013-06-14 6.79 6.79 6.79 6.79 0 6.419
2013-06-17 6.85 6.85 6.85 6.85 0 6.476
2013-06-18 6.85 6.85 6.85 6.85 0 6.476
2013-06-19 7.07 7.07 7.07 7.07 0 6.684
2013-06-20 7.09 7.09 7.09 7.09 0 6.703
2013-06-21 7 7 7 7 0 6.618
2013-06-24 7.057 7.057 7.057 7.057 0 6.672
2013-06-25 6.8 6.8 6.8 6.8 0 6.429
2013-06-26 6.83 6.83 6.83 6.83 0 6.512
2013-06-27 6.87 6.87 6.87 6.87 0 6.55
2013-06-28 7.02 7.02 7.02 7.02 0 6.693
2013-07-01 6.94 6.94 6.94 6.94 0 6.617
2013-07-02 7.08 7.08 7.08 7.08 0 6.751
2013-07-03 7.08 7.08 7.08 7.08 0 6.751
2013-07-04 7.14 7.14 7.14 7.14 0 6.808
2013-07-05 7.168 7.168 7.168 7.168 0 6.834
2013-07-08 7.34 7.34 7.34 7.34 0 6.998
2013-07-09 7.32 7.32 7.32 7.32 0 6.979
2013-07-10 7.32 7.32 7.32 7.32 0 6.979
2013-07-11 7.41 7.41 7.41 7.41 0 7.065
2013-07-12 7.39 7.39 7.39 7.39 0 7.046
2013-07-15 7.51 7.51 7.51 7.51 0 7.161
2013-07-16 7.49 7.49 7.49 7.49 0 7.141
2013-07-17 7.39 7.39 7.39 7.39 0 7.046
2013-07-18 7.36 7.36 7.36 7.36 0 7.018
2013-07-19 7.45 7.45 7.45 7.45 0 7.103
2013-07-22 7.36 7.36 7.36 7.36 0 7.018
2013-07-23 7.44 7.44 7.44 7.44 0 7.094
2013-07-24 7.4 7.4 7.4 7.4 0 7.056
2013-07-25 7.4 7.4 7.4 7.4 0 7.056
2013-07-26 7.36 7.36 7.36 7.36 0 7.018
2013-07-29 7.26 7.26 7.26 7.26 0 6.922
2013-07-30 7.27 7.27 7.27 7.27 0 6.932
2013-07-31 7.24 7.24 7.24 7.24 0 6.903
2013-08-01 7.33 7.33 7.33 7.33 0 6.989
2013-08-02 7.49 7.49 7.49 7.49 0 7.141
2013-08-05 7.5 7.5 7.5 7.5 0 7.151
2013-08-06 7.56 7.56 7.56 7.56 0 7.208
2013-08-07 7.46 7.46 7.46 7.46 0 7.113
2013-08-08 7.39 7.39 7.39 7.39 0 7.046
2013-08-09 7.43 7.43 7.43 7.43 0 7.084
2013-08-12 7.5 7.5 7.5 7.5 0 7.151
2013-08-13 7.62 7.62 7.62 7.62 0 7.265
2013-08-14 7.87 7.87 7.87 7.87 0 7.504
2013-08-15 7.87 7.87 7.87 7.87 0 7.504
2013-08-16 7.69 7.69 7.69 7.69 0 7.332
2013-08-19 7.73 7.73 7.73 7.73 0 7.37
2013-08-20 7.56 7.56 7.56 7.56 0 7.208
2013-08-21 7.47 7.47 7.47 7.47 0 7.122
2013-08-22 7.44 7.5 7.44 7.5 1100 7.151
2013-08-23 7.49 7.49 7.49 7.49 0 7.141
2013-08-26 7.49 7.49 7.49 7.49 0 7.141
2013-08-27 7.5 7.5 7.5 7.5 0 7.151
2013-08-28 7.22 7.22 7.22 7.22 0 6.884
2013-08-29 7.43 7.43 7.43 7.43 0 7.084
2013-08-30 7.59 7.59 7.59 7.59 0 7.237
2013-09-02 7.52 7.52 7.52 7.52 0 7.17
2013-09-03 7.6 7.6 7.6 7.6 0 7.246
2013-09-04 7.67 7.67 7.67 7.67 0 7.313
2013-09-05 7.58 7.58 7.58 7.58 0 7.227
2013-09-06 7.63 7.63 7.63 7.63 0 7.275
2013-09-09 7.6 7.6 7.6 7.6 0 7.246
2013-09-10 7.58 7.58 7.58 7.58 0 7.227
2013-09-11 7.68 7.68 7.68 7.68 0 7.323
2013-09-12 7.7 7.7 7.7 7.7 0 7.342
2013-09-13 7.6 7.6 7.6 7.6 0 7.246
2013-09-16 7.825 7.825 7.825 7.825 0 7.461
2013-09-17 7.76 7.76 7.76 7.76 0 7.399
2013-09-18 7.79 7.79 7.79 7.79 0 7.428
2013-09-19 7.64 7.64 7.64 7.64 0 7.285
2013-09-20 7.53 7.53 7.53 7.53 0 7.18
2013-09-23 7.48 7.48 7.48 7.48 0 7.132
2013-09-24 7.44 7.44 7.44 7.44 0 7.094
2013-09-25 7.62 7.62 7.62 7.62 0 7.265
2013-09-26 7.71 7.71 7.71 7.71 0 7.407
2013-09-27 7.66 7.66 7.66 7.66 0 7.359
2013-09-30 7.66 7.66 7.66 7.66 0 7.359
2013-10-01 7.6 7.6 7.6 7.6 0 7.301
2013-10-02 7.71 7.71 7.624 7.624 100 7.325
2013-10-03 7.7 7.7 7.7 7.7 0 7.398
2013-10-04 7.61 7.61 7.61 7.61 0 7.311
2013-10-07 7.67 7.67 7.67 7.67 0 7.369
2013-10-08 7.64 7.64 7.64 7.64 0 7.34
2013-10-09 7.44 7.44 7.44 7.44 0 7.148
2013-10-10 7.58 7.58 7.58 7.58 0 7.282
2013-10-11 7.85 7.85 7.85 7.85 0 7.542
2013-10-14 7.81 7.81 7.81 7.81 0 7.503
2013-10-15 7.84 7.84 7.84 7.84 0 7.532
2013-10-16 7.84 7.84 7.84 7.84 0 7.532
2013-10-17 7.83 7.83 7.83 7.83 0 7.522
2013-10-18 7.9 7.9 7.9 7.9 0 7.59
2013-10-21 7.97 7.97 7.97 7.97 0 7.657
2013-10-22 8.02 8.02 8.02 8.02 0 7.705
2013-10-23 7.87 7.87 7.87 7.87 0 7.561
2013-10-24 7.79 7.79 7.79 7.79 0 7.484
2013-10-25 6.93 6.93 6.93 6.93 0 6.658
2013-10-28 7.04 7.04 7.04 7.04 0 6.763
2013-10-29 7.05 7.05 7.05 7.05 0 6.773
2013-10-30 7.12 7.12 7.12 7.12 0 6.84
2013-10-31 7.13 7.13 7.13 7.13 0 6.85
2013-11-01 7.32 7.32 7.32 7.32 0 7.032
2013-11-04 7.41 7.41 7.41 7.41 0 7.119
2013-11-05 7.53 7.53 7.53 7.53 0 7.234
2013-11-06 7.63 7.63 7.63 7.63 0 7.33
2013-11-07 7.59 7.59 7.59 7.59 0 7.292
2013-11-08 7.51 7.51 7.51 7.51 0 7.215
2013-11-11 7.68 7.68 7.68 7.68 0 7.378
2013-11-12 7.66 7.66 7.66 7.66 0 7.359
2013-11-13 7.92 7.92 7.92 7.92 0 7.609
2013-11-14 8.2 8.2 8.2 8.2 0 7.878
2013-11-15 8.18 8.18 8.18 8.18 0 7.859
2013-11-18 8.15 8.15 8.15 8.15 0 7.83
2013-11-19 8.18 8.18 8.18 8.18 0 7.859
2013-11-20 8.26 8.26 8.26 8.26 0 7.936
2013-11-21 8.14 8.14 8.14 8.14 0 7.82
2013-11-22 8.18 8.18 8.18 8.18 0 7.859
2013-11-25 8.29 8.29 8.29 8.29 0 7.964
2013-11-26 8.29 8.29 8.29 8.29 0 7.964
2013-11-27 8.27 8.27 8.27 8.27 0 7.945
2013-11-28 8.31 8.31 8.31 8.31 0 7.984
2013-11-29 8.29 8.29 8.29 8.29 0 7.964
2013-12-02 8.35 8.35 8.35 8.35 0 8.022
2013-12-03 8.49 8.49 8.49 8.49 0 8.157
2013-12-04 8.362 8.362 8.362 8.362 0 8.034
2013-12-05 8.09 8.09 8.09 8.09 0 7.772
2013-12-06 8.08 8.08 8.08 8.08 0 7.763
2013-12-09 8.22 8.22 8.22 8.22 0 7.897
2013-12-10 8.3 8.3 8.3 8.3 0 7.974
2013-12-11 8.3 8.3 8.3 8.3 0 7.974
2013-12-12 8.057 8.057 8.057 8.057 0 7.741
2013-12-13 8.104 8.104 8.104 8.104 0 7.786
2013-12-16 8.196 8.196 8.196 8.196 0 7.874
2013-12-17 8.316 8.316 8.316 8.316 0 7.989
2013-12-18 8.301 8.301 8.301 8.301 0 7.975
2013-12-19 8.547 8.547 8.547 8.547 0 8.211
2013-12-20 8.596 8.596 8.596 8.596 0 8.258
2013-12-23 8.64 8.64 8.64 8.64 0 8.301
2013-12-24 8.64 8.64 8.64 8.64 0 8.301
2013-12-25 8.64 8.64 8.64 8.64 0 8.301
2013-12-26 8.64 8.64 8.64 8.64 0 8.301
2013-12-27 8.84 8.84 8.84 8.84 0 8.55
2013-12-30 8.837 8.837 8.837 8.837 0 8.547
2013-12-31 8.837 8.837 8.837 8.837 0 8.547
2014-01-01 8.837 8.837 8.837 8.837 0 8.547
2014-01-02 8.808 8.808 8.808 8.808 0 8.519
2014-01-03 8.681 8.681 8.681 8.681 0 8.396
2014-01-06 8.779 8.779 8.779 8.779 0 8.491
2014-01-07 8.83 8.83 8.83 8.83 0 8.54
2014-01-08 8.901 8.901 8.901 8.901 0 8.609
2014-01-09 8.841 8.841 8.841 8.841 0 8.551
2014-01-10 8.808 8.808 8.808 8.808 0 8.519
2014-01-13 8.728 8.728 8.728 8.728 0 8.441
2014-01-14 8.89 8.89 8.89 8.89 0 8.598
2014-01-15 8.945 8.945 8.945 8.945 0 8.651
2014-01-16 9.05 9.05 9.05 9.05 0 8.753
2014-01-17 9.091 9.091 9.091 9.091 0 8.792
2014-01-20 8.968 8.968 8.968 8.968 0 8.673
2014-01-21 8.958 8.958 8.958 8.958 0 8.664
2014-01-22 8.912 8.912 8.912 8.912 0 8.619
2014-01-23 8.855 8.855 8.855 8.855 0 8.564
2014-01-24 8.551 8.551 8.551 8.551 0 8.27
2014-01-27 8.05 8.05 8.05 8.05 0 7.786
2014-01-28 7.716 7.716 7.716 7.716 0 7.463
2014-01-29 7.921 7.921 7.921 7.921 0 7.661
2014-01-30 7.738 7.738 7.738 7.738 0 7.484
2014-01-31 8.124 8.124 8.124 8.124 0 7.857
2014-02-03 7.999 7.999 7.999 7.999 0 7.736
2014-02-04 7.657 7.657 7.657 7.657 0 7.406
2014-02-05 7.645 7.645 7.645 7.645 0 7.394
