"Index" "MAE.Open" "MAE.High" "MAE.Low" "MAE.Close" "MAE.Volume" "MAE.Adjusted"
2013-08-28 0.3 0.3 0.3 0.3 0 300
2013-08-29 0.3 0.3 0.3 0.3 5000 300
2013-08-30 0.3 0.3 0.3 0.3 0 300
2013-09-02 0.3 0.3 0.3 0.3 0 300
2013-09-03 0.3 0.3 0.3 0.3 10000 300
2013-09-04 0.3 0.3 0.3 0.3 0 300
2013-09-05 0.315 0.315 0.315 0.315 5000 315
2013-09-06 0.315 0.315 0.315 0.315 0 315
2013-09-09 0.3 0.3 0.3 0.3 5000 300
2013-09-10 0.3 0.3 0.3 0.3 10000 300
2013-09-11 0.3 0.3 0.3 0.3 10000 300
2013-09-12 0.31 0.31 0.31 0.31 11000 310
2013-09-13 0.3 0.33 0.3 0.33 11500 330
2013-09-16 0.35 0.35 0.33 0.33 27500 330
2013-09-17 0.33 0.33 0.33 0.33 40000 330
2013-09-18 0.33 0.33 0.33 0.33 10500 330
2013-09-19 0.33 0.33 0.31 0.31 22500 310
2013-09-20 0.31 0.31 0.31 0.31 0 310
2013-09-23 0.31 0.31 0.31 0.31 0 310
2013-09-24 0.31 0.31 0.31 0.31 0 310
2013-09-25 0.33 0.33 0.33 0.33 2e+05 330
2013-09-26 0.33 0.33 0.33 0.33 0 330
2013-09-27 0.33 0.33 0.33 0.33 0 330
2013-09-30 0.33 0.33 0.33 0.33 0 330
2013-10-01 0.33 0.33 0.33 0.33 0 330
2013-10-02 0.33 0.33 0.33 0.33 0 330
2013-10-03 0.33 0.33 0.33 0.33 0 330
2013-10-04 0.33 0.33 0.33 0.33 0 330
2013-10-07 0.33 0.33 0.33 0.33 0 330
2013-10-08 0.33 0.33 0.33 0.33 0 330
2013-10-09 0.33 0.33 0.33 0.33 0 330
2013-10-10 0.33 0.33 0.33 0.33 0 330
2013-10-11 0.33 0.33 0.33 0.33 0 330
2013-10-14 0.33 0.33 0.33 0.33 0 330
2013-10-15 0.305 0.305 0.305 0.305 2000 305
2013-10-16 0.305 0.305 0.305 0.305 0 305
2013-10-17 0.305 0.305 0.305 0.305 0 305
2013-10-18 0.305 0.305 0.305 0.305 0 305
2013-10-21 0.305 0.305 0.305 0.305 0 305
2013-10-22 0.305 0.305 0.305 0.305 0 305
2013-10-23 0.305 0.305 0.305 0.305 0 305
2013-10-24 0.305 0.305 0.305 0.305 0 305
2013-10-25 0.305 0.305 0.305 0.305 0 305
2013-10-28 0.305 0.305 0.305 0.305 0 305
2013-10-29 0.305 0.305 0.305 0.305 0 305
2013-10-30 0.305 0.305 0.305 0.305 0 305
2013-10-31 0.305 0.305 0.305 0.305 0 305
2013-11-01 0.305 0.305 0.305 0.305 0 305
2013-11-04 0.305 0.305 0.305 0.305 0 305
2013-11-05 0.28 0.28 0.25 0.25 115000 250
2013-11-06 0.28 0.28 0.28 0.28 25000 280
2013-11-07 0.285 0.285 0.285 0.285 40000 285
2013-11-08 0.36 0.36 0.36 0.36 1000 360
2013-11-11 0.36 0.36 0.36 0.36 0 360
2013-11-12 0.36 0.36 0.36 0.36 0 360
2013-11-13 0.3 0.3 0.28 0.28 28800 280
2013-11-14 0.28 0.28 0.28 0.28 0 280
2013-11-15 0.32 0.32 0.32 0.32 12500 320
2013-11-18 0.32 0.32 0.32 0.32 0 320
2013-11-19 0.3 0.3 0.3 0.3 9500 300
2013-11-20 0.3 0.3 0.3 0.3 31000 300
2013-11-21 0.3 0.3 0.3 0.3 0 300
2013-11-22 0.3 0.3 0.3 0.3 16000 300
2013-11-25 0.3 0.3 0.3 0.3 0 300
2013-11-26 0.3 0.3 0.3 0.3 0 300
2013-11-27 0.3 0.3 0.3 0.3 0 300
2013-11-28 0.3 0.3 0.3 0.3 0 300
2013-11-29 0.275 0.275 0.275 0.275 500 275
2013-12-02 0.275 0.275 0.275 0.275 9600 275
2013-12-03 0.275 0.275 0.25 0.25 15000 250
2013-12-04 0.25 0.25 0.25 0.25 0 250
2013-12-05 0.28 0.28 0.28 0.28 800 280
2013-12-06 0.255 0.255 0.255 0.255 800 255
2013-12-09 0.255 0.255 0.255 0.255 5000 255
2013-12-10 0.255 0.255 0.255 0.255 0 255
2013-12-11 0.255 0.255 0.255 0.255 0 255
2013-12-12 0.255 0.255 0.255 0.255 0 255
2013-12-13 0.255 0.255 0.25 0.25 10000 250
2013-12-16 0.25 0.25 0.25 0.25 0 250
2013-12-17 0.25 0.25 0.25 0.25 0 250
2013-12-18 0.25 0.25 0.25 0.25 0 250
2013-12-19 0.25 0.25 0.25 0.25 0 250
2013-12-20 0.25 0.25 0.25 0.25 0 250
2013-12-23 0.26 0.26 0.26 0.26 7500 260
2013-12-24 0.26 0.26 0.26 0.26 0 260
2013-12-25 0.26 0.26 0.26 0.26 0 260
