"Index" "PZ.Open" "PZ.High" "PZ.Low" "PZ.Close" "PZ.Volume" "PZ.Adjusted"
2013-09-30 0.245 0.25 0.245 0.25 5000 0.237
2013-10-01 38 38 38 38 0 36.023
2013-10-02 38 38 38 38 117000 36.023
2013-10-03 38 38 38 38 266300 36.023
2013-10-04 38 38 38 38 162600 36.023
2013-10-07 38 38 37 37.01 388300 35.084
2013-10-08 37.01 37.99 37.01 37.99 331700 36.013
2013-10-09 37.99 38 37.99 38 379800 36.023
2013-10-10 38 38 37.27 37.27 323900 35.331
2013-10-11 37.27 37.27 37.27 37.27 303100 35.331
2013-10-14 37.27 38 37.27 38 287400 36.023
2013-10-15 38 38 38 38 0 36.023
2013-10-16 38 38 38 38 0 36.023
2013-10-17 38 38 38 38 323300 36.023
2013-10-18 38 39.5 38 39.5 457700 37.445
2013-10-21 39.5 41.47 39.5 41.47 658900 39.312
2013-10-22 41.47 41.47 41.47 41.47 273300 39.312
2013-10-23 41.47 41.47 40 40 1208200 37.919
2013-10-24 40 40 39 39 484400 36.971
2013-10-25 39 39 38 38.99 439600 36.961
2013-10-28 38.99 38.99 37.1 38.49 3196400 36.487
2013-10-29 38.49 39 38.49 39 253400 36.971
2013-10-30 39 39 37.62 37.62 315300 35.662
2013-10-31 37.62 37.62 37.62 37.62 187800 35.662
2013-11-01 37.62 37.62 37.62 37.62 0 35.662
2013-11-04 37.62 38.25 37.62 38.25 1033300 36.26
2013-11-05 38.25 38.4 37.66 37.66 852300 35.7
2013-11-06 37.66 38 37.66 38 207900 36.023
2013-11-07 38 38 38 38 368700 36.023
2013-11-08 38 38 38 38 100600 36.023
2013-11-11 38 38 38 38 209500 36.023
2013-11-12 38 38 37.36 37.36 224400 35.416
2013-11-13 37.36 37.36 37.36 37.36 256500 35.416
2013-11-14 37.36 37.36 37.36 37.36 268900 35.416
2013-11-15 37.36 37.8 37.36 37.5 1512800 35.549
2013-11-18 37.5 37.5 37.5 37.5 64900 35.549
2013-11-19 37.5 37.5 37.5 37.5 149200 35.549
2013-11-20 37.5 37.5 37 37 466300 35.075
2013-11-21 37 38.84 37 37.8 2672700 35.833
2013-11-22 37.06 37.06 37.06 37.8 387200 35.833
2013-11-25 37.54 37.54 37.54 37.8 250700 35.833
2013-11-26 0.2 0.2 0.2 0.2 0 0.19
2013-11-27 37.9 37.9 36.1 36.1 547700 34.221
2013-11-28 36.1 37.5 36.1 37.5 269500 35.549
2013-11-29 37.5 37.5 37.5 37.5 226100 35.549
2013-12-02 37.5 37.5 37.5 37.5 227500 35.549
2013-12-03 37.5 37.5 37.5 37.5 215500 35.549
2013-12-04 37.5 37.5 37.5 37.5 159100 35.549
2013-12-05 36.86 37.5 36.86 37.5 215100 35.549
2013-12-06 37.5 37.5 37.5 37.5 158200 35.549
2013-12-09 37.5 37.5 37.5 37.5 414400 35.549
2013-12-10 37.5 37.5 37.5 37.5 136400 35.549
2013-12-11 37.5 37.5 37.5 37.5 442600 35.549
2013-12-12 37.5 37.5 37.5 37.5 372700 35.549
2013-12-13 37.5 37.5 35.63 36.6 1967400 34.695
2013-12-16 36.6 36.6 35.63 35.63 191600 33.776
2013-12-17 36.8 36.8 35.05 36.45 465200 34.553
2013-12-18 0.2 0.2 0.2 0.2 0 0.19
2013-12-19 35.8 35.8 34.01 35.39 1122500 33.548
2013-12-20 35.8 35.8 35.8 35.39 412400 33.548
2013-12-23 35.39 35.39 35.39 35.39 239500 33.548
2013-12-24 0.2 0.2 0.2 0.2 0 0.19
2013-12-25 35.39 35.39 35.39 35.39 0 33.548
2013-12-26 35.39 35.39 35.39 35.39 0 33.548
2013-12-27 0.2 0.2 0.2 0.2 0 0.19
2013-12-30 35.65 36.45 35.65 36.45 241100 34.553
2013-12-31 36.84 37 36.05 37 507300 35.075
2014-01-01 37 37 37 37 0 35.075
2014-01-02 37 37.6 36.51 37.6 1369900 35.643
2014-01-03 37.6 37.75 37.6 37.75 561600 35.786
2014-01-06 37.75 37.99 37.75 37.99 570700 36.013
2014-01-07 37.99 37.99 37.45 37.9 687500 35.928
2014-01-08 37.9 37.9 37.05 37.05 484800 35.122
2014-01-09 37.05 37.05 37 37 354800 35.075
2014-01-10 37 37 37 37 413800 35.075
2014-01-13 0.2 0.2 0.2 0.2 0 0.19
2014-01-14 37 37 37 37 0 35.075
2014-01-15 36.3 37 36.3 37 575200 35.075
