"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2013-10-30 6.67 6.82 6.4 6.54 1438400 6.230838
2013-10-31 6.53 6.78 6.39 6.74 986800 6.421384
2013-11-01 6.7 6.75 6.46 6.5 889400 6.192729
2013-11-04 6.55 6.65 6.5 6.6 535900 6.288002
2013-11-05 6.52 6.63 6.41 6.59 401100 6.278475
2013-11-06 6.63 6.64 6.25 6.31 1002600 6.011711
2013-11-07 6.25 6.33 5.08 6.22 2527900 5.925965
2013-11-08 6.22 6.43 6.17 6.39 606200 6.087929
2013-11-11 6.35 6.68 6.32 6.6 757600 6.288002
2013-11-12 6.55 6.74 6.43 6.58 1439400 6.268947
2013-11-13 6.5 6.53 6.33 6.5 535700 6.192729
2013-11-14 6.47 6.56 6.32 6.41 603800 6.106983
2013-11-15 6.39 6.49 6.3 6.45 516100 6.145093
2013-11-18 6.47 6.47 6.05 6.07 921200 5.783056
2013-11-19 6.07 6.13 5.84 6.02 996700 5.73542
2013-11-20 6.07 6.08 5.92 5.99 441800 5.706838
2013-11-21 6.01 6.35 5.98 6.33 645300 6.030765
2013-11-22 6.34 6.58 6.24 6.57 664900 6.25942
2013-11-25 6.57 6.59 6.29 6.32 296400 6.021238
2013-11-26 6.31 6.7 6.31 6.69 622400 6.373747
2013-11-27 6.7 6.74 6.44 6.54 543000 6.230838
2013-11-29 6.59 6.7 6.56 6.61 193800 6.297529
2013-12-02 6.66 6.66 6.4 6.47 613100 6.164147
2013-12-03 6.44 6.56 6.24 6.3 391600 6.002184
2013-12-04 6.24 6.4 6.11 6.36 525100 6.059347
2013-12-05 6.34 6.37 6.13 6.16 577700 5.868802
2013-12-06 6.25 6.44 6.11 6.43 563700 6.126038
2013-12-09 6.42 6.42 6.19 6.23 462000 5.935493
2013-12-10 6.2 6.31 6.16 6.2 444700 5.906911
2013-12-11 6.23 6.24 5.92 5.99 894600 5.706838
2013-12-12 5.86 5.97 5.71 5.87 694300 5.711703
2013-12-13 5.88 5.98 5.76 5.85 491300 5.692242
2013-12-16 5.9 6.04 5.82 5.85 564900 5.692242
2013-12-17 5.84 5.87 5.69 5.71 532400 5.556018
2013-12-18 5.75 5.87 5.57 5.72 603200 5.565748
2013-12-19 5.7 5.79 5.55 5.59 523700 5.439254
2013-12-20 5.6 6.06 5.59 5.96 737300 5.799276
2013-12-23 5.97 6.11 5.94 6.04 309400 5.877119
2013-12-24 6.03 6.13 5.99 6.09 187900 5.92577
2013-12-26 6.12 6.25 6.1 6.19 183900 6.023074
2013-12-27 6.24 6.24 6 6.08 224300 5.91604
2013-12-30 6.06 6.1 6.03 6.08 178700 5.91604
2013-12-31 6.08 6.12 6.04 6.09 385600 5.92577
2014-01-02 6.09 6.13 5.94 6.04 519100 5.877119
2014-01-03 6.08 6.48 6.08 6.43 906500 6.256601
2014-01-06 6.45 6.65 6.34 6.45 812600 6.276062
2014-01-07 6.49 6.69 6.48 6.64 734400 6.460938
2014-01-08 6.64 6.99 6.64 6.9 1132800 6.713927
2014-01-09 6.87 6.94 6.61 6.65 663500 6.470669
2014-01-10 6.66 6.74 6.6 6.64 452600 6.460938
2014-01-13 6.64 6.64 6.36 6.42 558100 6.246871
2014-01-14 6.43 6.51 6.39 6.43 467200 6.256601
2014-01-15 6.44 6.48 6.1 6.1 613600 5.935501
2014-01-16 6.08 6.28 6.08 6.2 431900 6.032804
2014-01-17 6.22 6.32 6.02 6.1 302100 5.935501
2014-01-21 6.12 6.2 5.87 5.99 677400 5.828467
2014-01-22 6 6.07 5.97 6.03 385600 5.867389
2014-01-23 6.03 6.13 5.97 6.11 476800 5.945231
2014-01-24 6.09 6.14 5.85 5.87 831100 5.711703
2014-01-27 5.84 6.08 5.64 5.8 415200 5.643591
2014-01-28 5.82 5.97 5.8 5.92 459300 5.760355
2014-01-29 5.88 5.92 5.75 5.78 459000 5.62413
2014-01-30 5.87 6.08 5.81 6.05 450300 5.886849
2014-01-31 5.9 6.1 5.8 6.03 488400 5.867389
2014-02-03 6.04 6.04 5.78 5.87 516000 5.711703
2014-02-04 5.89 6 5.79 5.86 471800 5.701973
2014-02-05 5.85 5.89 5.7 5.86 440000 5.701973
2014-02-06 5.88 6.01 5.81 5.97 491600 5.809006
2014-02-07 5.99 6.08 5.85 6 396700 5.838197
2014-02-10 6.04 6.04 5.79 5.88 339200 5.721434
2014-02-11 5.86 5.93 5.53 5.82 894500 5.663052
2014-02-12 5.82 5.94 5.77 5.93 363300 5.770085
2014-02-13 5.89 5.97 5.81 5.88 430100 5.721434
2014-02-14 5.88 5.97 5.78 5.93 227300 5.770085
2014-02-18 5.98 5.99 5.87 5.98 291300 5.818737
2014-02-19 5.94 5.95 5.79 5.86 329300 5.701973
2014-02-20 5.9 6.24 5.89 6.16 724300 5.993882
2014-02-21 6.17 6.27 6.07 6.23 351000 6.061995
2014-02-24 6.23 6.31 6.16 6.2 505700 6.032804
2014-02-25 6.22 6.27 6.09 6.12 406800 5.954961
2014-02-26 6.12 6.23 6.03 6.09 399700 5.92577
2014-02-27 6.05 6.1 5.93 6.03 613700 5.867389
2014-02-28 6.35 6.9 6.35 6.63 2314700 6.451208
2014-03-03 6.55 6.63 6.36 6.52 903600 6.344174
2014-03-04 6.64 6.81 6.51 6.66 1108400 6.480399
2014-03-05 6.64 6.87 6.61 6.86 1185400 6.675006
2014-03-06 6.88 7.18 6.81 7.1 1950600 6.908533
2014-03-07 7.11 7.23 6.97 7.12 1386500 6.927994
2014-03-10 7.13 7.24 7.07 7.2 676400 7.005837
2014-03-11 7.19 7.28 7.08 7.12 737400 6.927994
2014-03-12 7.06 7.22 6.89 7.09 811900 6.923112
2014-03-13 7.11 7.21 7.05 7.1 808700 6.932876
2014-03-14 7.1 7.36 7.1 7.3 638700 7.128169
2014-03-17 7.32 7.32 6.96 7.05 885000 6.884054
2014-03-18 7.08 7.08 6.78 6.84 1010700 6.678997
2014-03-19 6.86 6.95 6.65 6.69 445000 6.532527
2014-03-20 6.7 6.72 6.46 6.47 586700 6.317706
2014-03-21 6.63 7.03 6.58 6.63 1421900 6.47394
2014-03-24 6.69 6.77 6.28 6.36 943900 6.210295
2014-03-25 6.42 6.51 6.2 6.28 544200 6.132178
2014-03-26 6.28 6.34 5.98 6.06 1576800 5.917356
2014-03-27 6.06 6.38 6.04 6.15 1236000 6.005238
2014-03-28 6.19 6.43 6.16 6.4 725700 6.249354
2014-03-31 6.47 6.74 6.47 6.7 1484900 6.542292
2014-04-01 6.69 6.77 6.59 6.65 415600 6.493469
2014-04-02 6.65 6.68 6.55 6.59 255100 6.434881
2014-04-03 6.5 6.56 6.14 6.29 926300 6.141943
2014-04-04 6.36 6.47 6.16 6.21 783600 6.063826
2014-04-07 6.17 6.2 5.88 5.96 823700 5.81971
2014-04-08 5.95 6.11 5.87 6.02 596200 5.878298
2014-04-09 6.06 6.21 6.05 6.12 607500 5.975944
2014-04-10 6.11 6.2 5.97 5.98 745900 5.83924
2014-04-11 5.95 6.08 5.9 5.93 539800 5.790416
2014-04-14 5.98 6 5.69 5.88 654600 5.741594
2014-04-15 5.88 5.91 5.48 5.66 1352800 5.526772
2014-04-16 5.68 5.78 5.5 5.7 481400 5.56583
2014-04-17 5.7 5.79 5.59 5.66 302800 5.526772
2014-04-21 5.63 5.69 5.51 5.66 400500 5.526772
2014-04-22 5.65 5.66 5.35 5.6 1066000 5.468184
2014-04-23 5.58 5.62 5.48 5.52 530300 5.390067
2014-04-24 5.58 5.58 5.4 5.48 234600 5.351009
2014-04-25 5.48 5.48 5.29 5.33 506600 5.20454
2014-04-28 5.38 5.41 5.2 5.27 594900 5.145952
2014-04-29 5.3 5.38 5.21 5.24 997600 5.116658
