"Index" "MDB.Open" "MDB.High" "MDB.Low" "MDB.Close" "MDB.Volume" "MDB.Adjusted"
2013-09-26 184 184 181 184 100 184
2013-09-30 204 204 190 204 500 204
2013-10-01 195 195 195 195 300 195
2013-10-02 190 190 190 190 200 190
2013-10-03 190 190 190 190 200 190
2013-10-07 190 190 190 190 200 190
2013-10-08 190 190 190 190 200 190
2013-10-09 190 190 190 190 200 190
2013-10-10 190 190 190 190 200 190
2013-10-14 190 190 190 190 0 190
2013-10-15 190 190 190 190 0 190
2013-10-16 190 190 190 190 0 190
2013-10-17 190 190 190 190 200 190
2013-10-21 155 155 155 155 0 155
2013-10-22 155 155 155 155 0 155
2013-10-23 155 155 155 155 0 155
2013-10-24 152 152 152 152 0 152
2013-10-28 149 149 149 149 100 149
2013-10-29 149 149 149 149 0 149
2013-10-30 149 149 149 149 0 149
2013-10-31 147 147 147 147 0 147
2013-11-04 147 147 147 147 0 147
2013-11-05 147 147 147 147 0 147
2013-11-06 145 145 145 145 0 145
2013-11-07 145 145 145 145 0 145
2013-11-11 145 145 145 145 0 145
2013-11-12 145 145 145 145 0 145
2013-11-13 145 145 145 145 0 145
2013-11-14 145 145 145 145 0 145
2013-11-18 145 145 145 145 0 145
2013-11-19 145 145 145 145 0 145
2013-11-20 145 145 145 145 0 145
2013-11-21 145 145 145 145 0 145
2013-11-25 149 149 147 149 100 149
2013-11-26 149 149 147 149 100 149
2013-11-27 149 149 147 149 100 149
2013-11-28 149 149 147 149 100 149
2013-12-02 149 149 147 149 100 149
2013-12-03 151 151 151 151 0 151
2013-12-04 151 151 151 151 0 151
2013-12-05 151 151 151 151 0 151
2013-12-09 166 166 154 166 1000 166
2013-12-10 169 169 169 169 0 169
2013-12-11 172 172 172 172 0 172
2013-12-12 172 172 172 172 0 172
2013-12-16 181 181 181 181 0 181
2013-12-17 181 181 181 181 0 181
2013-12-18 184 184 184 184 0 184
2013-12-19 199 199 187 199 400 199
2013-12-23 210 210 206 210 0 210
2013-12-24 226 226 214 226 100 226
2013-12-25 226 226 226 226 0 226
2013-12-26 226 226 214 226 100 226
2013-12-30 226 226 226 226 0 226
2013-12-31 260 260 242 260 300 260
2014-01-01 265 265 265 265 0 265
2014-01-02 270 270 260 270 100 270
2014-01-06 313 313 295 313 400 313
2014-01-07 314 314 314 314 700 314
2014-01-08 300 300 300 300 100 300
2014-01-09 306 306 295 306 200 306
2014-01-13 297 297 297 297 0 297
2014-01-14 301 301 301 301 200 301
2014-01-15 301 301 301 301 0 301
2014-01-16 306 306 306 306 0 306
2014-01-20 301 301 301 301 600 301
2014-01-21 313 313 307 313 0 313
2014-01-22 325 325 319 325 800 325
2014-01-23 343 343 331 343 300 343
2014-01-27 351 351 339 351 600 351
2014-01-28 345 345 345 345 1100 345
2014-01-29 360 360 350 360 500 360
2014-01-30 360 360 360 360 0 360
2014-02-03 375 375 368 375 900 375
2014-02-04 368 368 368 368 0 368
2014-02-05 375 375 361 375 200 375
2014-02-06 361 361 361 361 100 361
2014-02-10 368 368 368 368 500 368
2014-02-11 343 343 343 343 1200 343
2014-02-12 361 361 345 361 1900 361
2014-02-13 368 368 354 368 1600 368
2014-02-17 374 374 360 374 1700 374
2014-02-18 370 370 370 370 100 370
2014-02-19 370 370 370 370 0 370
2014-02-20 377 377 370 377 100 377
2014-02-24 380 380 377 380 300 380
2014-02-25 374 374 374 374 100 374
2014-02-26 375 375 368 375 700 375
2014-02-27 375 375 375 375 0 375
2014-03-03 368 368 368 368 500 368
2014-03-04 361 361 361 361 200 361
2014-03-05 362 362 355 362 100 362
2014-03-06 358 358 353 358 500 358
2014-03-10 350 350 348 350 100 350
2014-03-11 349 349 337 349 100 349
2014-03-12 340 340 340 340 100 340
2014-03-13 340 340 340 340 0 340
2014-03-17 340 340 340 340 0 340
2014-03-18 322 322 322 322 200 322
2014-03-19 340 340 340 340 0 340
2014-03-20 337 337 336 337 100 337
2014-03-24 345 345 339 345 200 345
2014-03-25 348 348 348 348 200 348
2014-03-26 354 354 354 354 0 354
2014-03-27 368 368 361 368 100 368
2014-03-31 365 365 365 365 0 365
2014-04-01 365 365 365 365 1400 365
2014-04-02 366 366 366 366 100 366
2014-04-03 368 368 361 368 0 368
2014-04-07 368 368 361 368 0 368
2014-04-08 368 368 368 368 0 368
2014-04-09 379 379 372 379 400 379
2014-04-10 416 416 386 416 900 416
2014-04-14 416 416 416 416 0 416
2014-04-15 408 408 393 408 1600 408
2014-04-16 400 400 400 400 0 400
2014-04-17 400 400 392 400 300 400
2014-04-21 395 395 390 395 700 395
2014-04-22 385 385 381 385 1100 385
2014-04-23 423 423 392 423 3800 423
2014-04-24 423 423 423 423 0 423
2014-04-28 419 419 415 419 700 419
2014-04-29 416 416 411 416 300 416
2014-04-30 410 410 410 410 400 410
2014-05-01 410 410 410 410 0 410
2014-05-05 425 425 421 425 100 425
2014-05-06 421 421 420 421 200 421
2014-05-07 440 440 429 440 900 440
2014-05-08 435 435 435 435 200 435
2014-05-12 435 435 435 435 800 435
2014-05-13 430 430 430 430 500 430
2014-05-14 430 430 430 430 0 430
2014-05-15 440 440 430 440 600 440
2014-05-19 455 455 435 455 6600 455
2014-05-20 455 455 432 455 6800 455
2014-05-21 451 451 451 451 1500 451
2014-05-22 468 468 450 468 1800 468
2014-05-26 485 485 476 485 300 485
2014-05-27 490 490 472 490 100 490
2014-05-28 500 500 491 500 700 500
2014-05-29 500 500 500 500 0 500
2014-06-02 495 495 490 495 900 495
2014-06-03 492 492 491 492 1000 492
2014-06-04 490 490 482 490 1000 490
2014-06-05 484 484 483 484 800 484
2014-06-09 488 488 481 488 500 488
2014-06-10 490 490 479 490 2300 490
2014-06-11 495 495 495 495 300 495
2014-06-12 485 485 485 485 0 485
