"Index" "SI.Open" "SI.High" "SI.Low" "SI.Close" "SI.Volume" "SI.Adjusted"
2013-03-04 0.14 0.15 0.14 0.15 50000 0.15
2013-03-05 0.13 0.13 0.13 0.13 20000 0.13
2013-03-06 0.12 0.12 0.12 0.12 4000 0.12
2013-03-07 0.14 0.14 0.14 0.14 10000 0.14
2013-03-08 0.14 0.14 0.14 0.14 0 0.14
2013-03-11 0.12 0.12 0.12 0.12 500 0.12
2013-03-12 0.12 0.12 0.12 0.12 0 0.12
2013-03-13 0.12 0.12 0.12 0.12 0 0.12
2013-03-14 0.12 0.12 0.12 0.12 25000 0.12
2013-03-15 0.12 0.12 0.12 0.12 0 0.12
2013-03-18 0.13 0.13 0.13 0.13 50000 0.13
2013-03-19 0.12 0.12 0.12 0.12 800 0.12
2013-03-20 0.125 0.125 0.125 0.125 2e+05 0.125
2013-03-21 0.13 0.13 0.13 0.13 26000 0.13
2013-03-22 0.14 0.145 0.13 0.14 520800 0.14
2013-03-25 0.13 0.13 0.11 0.13 1311100 0.13
2013-03-26 0.14 0.14 0.13 0.13 47400 0.13
2013-03-27 0.13 0.13 0.13 0.13 27100 0.13
2013-03-28 0.13 0.13 0.13 0.13 0 0.13
2013-03-29 0.13 0.13 0.13 0.13 0 0.13
2013-04-01 0.13 0.13 0.13 0.13 0 0.13
2013-04-02 0.13 0.13 0.13 0.13 0 0.13
2013-04-03 0.13 0.13 0.13 0.13 0 0.13
2013-04-04 0.135 0.135 0.13 0.13 5000 0.13
2013-04-05 0.13 0.13 0.13 0.13 0 0.13
2013-04-08 0.13 0.13 0.13 0.13 2000 0.13
2013-04-09 0.13 0.13 0.13 0.13 42600 0.13
2013-04-10 0.13 0.13 0.12 0.12 61700 0.12
2013-04-11 0.12 0.12 0.12 0.12 1500 0.12
2013-04-12 0.12 0.12 0.12 0.12 334600 0.12
2013-04-15 0.12 0.12 0.12 0.12 0 0.12
2013-04-16 0.12 0.12 0.12 0.12 0 0.12
2013-04-17 0.105 0.105 0.1 0.1 14000 0.1
2013-04-18 0.1 0.1 0.1 0.1 0 0.1
2013-04-19 0.09 0.095 0.09 0.095 53000 0.095
2013-04-22 0.095 0.095 0.095 0.095 0 0.095
2013-04-23 0.1 0.1 0.1 0.1 2500 0.1
2013-04-24 0.1 0.1 0.1 0.1 0 0.1
2013-04-25 0.11 0.12 0.11 0.12 30500 0.12
2013-04-26 0.12 0.12 0.12 0.12 0 0.12
2013-04-29 0.115 0.115 0.11 0.11 50000 0.11
2013-04-30 0.11 0.11 0.11 0.11 10000 0.11
2013-05-01 0.115 0.115 0.115 0.115 17400 0.115
2013-05-02 0.115 0.115 0.115 0.115 0 0.115
2013-05-03 0.115 0.115 0.115 0.115 0 0.115
2013-05-06 0.115 0.115 0.115 0.115 0 0.115
2013-05-07 0.115 0.115 0.115 0.115 16000 0.115
2013-05-08 0.115 0.115 0.115 0.115 0 0.115
2013-05-09 0.115 0.115 0.115 0.115 0 0.115
2013-05-10 0.115 0.115 0.115 0.115 0 0.115
2013-05-13 0.115 0.115 0.115 0.115 0 0.115
2013-05-14 0.115 0.115 0.11 0.11 50000 0.11
2013-05-15 0.11 0.11 0.11 0.11 0 0.11
2013-05-16 0.11 0.11 0.11 0.11 24000 0.11
2013-05-17 0.11 0.11 0.11 0.11 0 0.11
2013-05-20 0.11 0.11 0.11 0.11 0 0.11
2013-05-21 0.11 0.11 0.11 0.11 0 0.11
2013-05-22 0.115 0.115 0.115 0.115 100500 0.115
2013-05-23 0.125 0.125 0.12 0.12 10500 0.12
2013-05-24 0.135 0.135 0.135 0.135 19000 0.135
2013-05-27 0.135 0.135 0.125 0.125 15000 0.125
2013-05-28 0.14 0.145 0.125 0.125 10000 0.125
2013-05-29 0.125 0.125 0.125 0.125 0 0.125
2013-05-30 0.14 0.15 0.14 0.15 57300 0.15
2013-05-31 0.135 0.135 0.135 0.135 500 0.135
2013-06-03 0.135 0.135 0.135 0.135 0 0.135
2013-06-04 0.135 0.135 0.135 0.135 0 0.135
2013-06-05 0.14 0.15 0.14 0.15 199500 0.15
2013-06-06 0.125 0.125 0.12 0.12 50000 0.12
2013-06-07 0.15 0.15 0.15 0.15 27000 0.15
2013-06-10 0.15 0.15 0.15 0.15 0 0.15
2013-06-11 0.15 0.15 0.15 0.15 0 0.15
2013-06-12 0.15 0.15 0.15 0.15 0 0.15
2013-06-13 0.15 0.15 0.15 0.15 0 0.15
2013-06-14 0.15 0.15 0.15 0.15 12000 0.15
2013-06-17 0.15 0.15 0.15 0.15 0 0.15
2013-06-18 0.135 0.135 0.135 0.135 17000 0.135
2013-06-19 0.135 0.135 0.13 0.13 40000 0.13
2013-06-20 0.115 0.115 0.115 0.115 8000 0.115
2013-06-21 0.115 0.115 0.115 0.115 50000 0.115
2013-06-24 0.115 0.115 0.11 0.11 24200 0.11
2013-06-25 0.11 0.11 0.11 0.11 0 0.11
2013-06-26 0.11 0.11 0.11 0.11 40000 0.11
2013-06-27 0.11 0.11 0.11 0.11 3000 0.11
2013-06-28 0.11 0.11 0.11 0.11 3000 0.11
2013-07-01 0.11 0.11 0.11 0.11 0 0.11
2013-07-02 0.125 0.125 0.125 0.125 2000 0.125
2013-07-03 0.125 0.125 0.125 0.125 0 0.125
2013-07-04 0.125 0.125 0.125 0.125 0 0.125
2013-07-05 0.125 0.125 0.125 0.125 0 0.125
2013-07-08 0.125 0.125 0.125 0.125 0 0.125
2013-07-09 0.115 0.12 0.105 0.105 10500 0.105
2013-07-10 0.125 0.125 0.125 0.125 2000 0.125
2013-07-11 0.1 0.105 0.1 0.1 55000 0.1
2013-07-12 0.1 0.1 0.1 0.1 10200 0.1
2013-07-15 0.1 0.1 0.1 0.1 0 0.1
2013-07-16 0.1 0.1 0.1 0.1 0 0.1
2013-07-17 0.1 0.1 0.1 0.1 0 0.1
2013-07-18 0.095 0.1 0.095 0.1 17000 0.1
2013-07-19 0.09 0.09 0.09 0.09 1100 0.09
2013-07-22 0.09 0.09 0.09 0.09 0 0.09
2013-07-23 0.09 0.09 0.09 0.09 0 0.09
2013-07-24 0.095 0.095 0.095 0.095 2300 0.095
2013-07-25 0.095 0.095 0.095 0.095 0 0.095
2013-07-26 0.095 0.095 0.095 0.095 2600 0.095
2013-07-29 0.095 0.095 0.095 0.095 0 0.095
2013-07-30 0.095 0.095 0.095 0.095 0 0.095
2013-07-31 0.095 0.095 0.095 0.095 0 0.095
2013-08-01 0.095 0.095 0.095 0.095 0 0.095
2013-08-02 0.095 0.095 0.095 0.095 0 0.095
2013-08-05 0.095 0.095 0.095 0.095 0 0.095
2013-08-06 0.095 0.095 0.095 0.095 0 0.095
2013-08-07 0.095 0.095 0.095 0.095 0 0.095
2013-08-08 0.095 0.095 0.095 0.095 0 0.095
2013-08-09 0.095 0.095 0.095 0.095 0 0.095
2013-08-12 0.095 0.095 0.095 0.095 0 0.095
2013-08-13 0.095 0.095 0.095 0.095 0 0.095
2013-08-14 0.095 0.095 0.095 0.095 0 0.095
2013-08-15 0.085 0.085 0.085 0.085 7700 0.085
2013-08-16 0.075 0.1 0.07 0.1 21000 0.1
2013-08-19 0.09 0.09 0.09 0.09 3000 0.09
2013-08-20 0.13 0.13 0.1 0.1 2000 0.1
2013-08-21 0.1 0.1 0.1 0.1 0 0.1
2013-08-22 0.08 0.08 0.08 0.08 500 0.08
2013-08-23 0.08 0.08 0.08 0.08 0 0.08
2013-08-26 0.08 0.08 0.08 0.08 0 0.08
2013-08-27 0.08 0.08 0.08 0.08 0 0.08
2013-08-28 0.08 0.08 0.08 0.08 0 0.08
2013-08-29 0.08 0.08 0.08 0.08 0 0.08
