"Index" "NEN.Open" "NEN.High" "NEN.Low" "NEN.Close" "NEN.Volume" "NEN.Adjusted"
2013-12-26 44.709999 45.490002 44.009998 44.009998 4100 42.457914
2013-12-27 44 44 43.040001 43.049999 3000 41.531771
2013-12-30 43.419998 44.099998 43.02 43.5 3800 41.965901
2013-12-31 43.290001 44.439999 43.029999 44.439999 8800 42.872749
2014-01-02 44.150002 45 43.119999 45 2900 43.413001
2014-01-03 45.290001 45.290001 45 45 700 43.413001
2014-01-06 45.299999 45.700001 44.720001 45.700001 900 44.088315
2014-01-07 45.900002 46.220001 45.900002 46.220001 1000 44.589977
2014-01-08 46.209999 46.450001 46.209999 46.450001 400 44.811865
2014-01-09 46.209999 46.209999 46.209999 46.209999 200 44.580328
2014-01-10 45.5 45.5 45.5 45.5 400 43.895368
2014-01-13 45.75 45.75 45.75 45.75 700 44.136551
2014-01-14 45.75 45.900002 45.75 45.900002 900 44.281263
2014-01-15 45.700001 45.700001 45.049999 45.049999 500 43.461237
2014-01-16 45 45.490002 44.259998 45.130001 1200 43.538418
2014-01-17 45 45.970001 45 45.970001 600 44.348794
2014-01-21 45.5 45.5 45.220001 45.220001 700 43.625244
2014-01-22 45.439999 45.700001 45.439999 45.700001 300 44.088315
2014-01-23 45.700001 45.700001 45.700001 45.700001 0 44.088315
2014-01-24 45.5 45.98 45.400002 45.400002 1100 43.798896
2014-01-27 45.169998 45.889999 45.169998 45.48 500 43.876073
2014-01-28 45.700001 45.700001 45.689999 45.689999 400 44.078666
2014-01-29 45.599998 45.599998 45.599998 45.599998 400 43.99184
2014-01-30 45.599998 45.599998 45.599998 45.599998 400 43.99184
2014-01-31 45.5 45.700001 45.5 45.700001 600 44.088315
2014-02-03 45.700001 45.700001 45.700001 45.700001 200 44.088315
2014-02-04 45.02 45.669998 45.02 45.639999 500 44.03043
2014-02-05 45.650002 45.650002 45.549999 45.549999 400 43.943604
2014-02-06 45.18 45.380001 45.18 45.380001 300 43.779601
2014-02-07 45.549999 45.549999 45.25 45.25 200 43.654185
2014-02-10 45.25 45.25 45.25 45.25 200 43.654185
2014-02-11 45.5 45.540001 45.5 45.540001 300 43.933958
2014-02-12 45.5 45.5 45 45.450001 600 43.847132
2014-02-13 45.25 45.650002 45.25 45.650002 1100 44.040079
2014-02-14 45.639999 45.84 45.639999 45.830002 900 44.213732
2014-02-18 45.799999 45.990002 45.799999 45.990002 500 44.368089
2014-02-19 45.950001 45.950001 45.900002 45.900002 600 44.281263
2014-02-20 45.990002 46 45.990002 46 200 44.377735
2014-02-21 46 46 46 46 0 44.377735
2014-02-24 46 46 46 46 0 44.377735
2014-02-25 45.200001 45.82 45.200001 45.82 500 44.204082
2014-02-26 45.82 45.82 45.82 45.82 0 44.204082
2014-02-27 45.98 45.98 45.75 45.75 1000 44.136551
2014-02-28 45.720001 45.720001 45.720001 45.720001 100 44.10761
2014-03-03 45.639999 45.639999 45.639999 45.639999 100 44.03043
