"Index" "HMO.Open" "HMO.High" "HMO.Low" "HMO.Close" "HMO.Volume" "HMO.Adjusted"
2013-11-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-21 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-22 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-25 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-26 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-28 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-11-29 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-02 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-03 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-04 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-05 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-06 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-09 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-10 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-11 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-12 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-13 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-16 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-17 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-18 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-19 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-23 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-24 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-25 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-26 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-30 3442.83 3442.83 3442.83 3442.83 0 3442.83
2013-12-31 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-01 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-02 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-03 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-06 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-07 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-08 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-09 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-10 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-13 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-14 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-15 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-16 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-17 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-20 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-21 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-22 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-23 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-24 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-27 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-28 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-29 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-30 3442.83 3442.83 3442.83 3442.83 0 3442.83
2014-01-31 3442.83 3442.83 3442.83 3442.83 0 3442.83
