"Index" "AKG.Open" "AKG.High" "AKG.Low" "AKG.Close" "AKG.Volume" "AKG.Adjusted"
2013-09-12 2.68 2.71 2.66 2.66 54000 2.66
2013-09-13 2.69 2.74 2.62 2.67 68800 2.67
2013-09-16 2.66 2.7 2.54 2.61 83600 2.61
2013-09-17 2.58 2.62 2.56 2.62 46300 2.62
2013-09-18 2.58 2.91 2.57 2.88 96300 2.88
2013-09-19 2.9 2.9 2.74 2.78 67000 2.78
2013-09-20 2.72 2.72 2.45 2.62 280200 2.62
2013-09-23 2.56 2.57 2.39 2.41 93600 2.41
2013-09-24 2.39 2.42 2.3 2.36 82600 2.36
2013-09-25 2.36 2.48 2.36 2.38 96600 2.38
2013-09-26 2.37 2.38 2.27 2.35 101000 2.35
2013-09-27 2.36 2.42 2.36 2.4 46300 2.4
2013-09-30 2.37 2.38 2.28 2.3 59400 2.3
2013-10-01 2.26 2.42 2.26 2.32 178000 2.32
2013-10-02 2.33 2.38 2.31 2.31 44500 2.31
2013-10-03 2.31 2.34 2.3 2.3 38800 2.3
2013-10-04 2.3 2.32 2.24 2.27 59700 2.27
2013-10-07 2.3 2.43 2.28 2.4 56200 2.4
2013-10-08 2.4 2.4 2.35 2.35 52300 2.35
2013-10-09 2.35 2.35 2.26 2.31 109100 2.31
2013-10-10 2.32 2.34 2.24 2.28 66900 2.28
2013-10-11 2.26 2.29 2.21 2.26 75500 2.26
2013-10-14 2.28 2.28 2.12 2.19 119300 2.19
2013-10-15 2.17 2.28 2.13 2.18 183400 2.18
2013-10-16 2.17 2.27 2.15 2.26 56900 2.26
2013-10-17 2.3 2.41 2.3 2.4 153300 2.4
2013-10-18 2.4 2.4 2.33 2.33 31700 2.33
2013-10-21 2.35 2.42 2.32 2.38 49200 2.38
2013-10-22 2.41 2.55 2.4 2.49 145100 2.49
2013-10-23 2.47 2.47 2.39 2.4 45500 2.4
2013-10-24 2.44 2.5 2.37 2.47 105400 2.47
2013-10-25 2.44 2.55 2.41 2.52 62000 2.52
2013-10-28 2.55 2.55 2.45 2.47 73300 2.47
2013-10-29 2.44 2.52 2.42 2.43 72300 2.43
2013-10-30 2.44 2.49 2.36 2.44 86800 2.44
2013-10-31 2.4 2.4 2.31 2.33 60500 2.33
2013-11-01 2.33 2.35 2.21 2.23 76300 2.23
2013-11-04 2.21 2.31 2.15 2.21 100100 2.21
2013-11-05 2.21 2.21 2.12 2.14 96700 2.14
2013-11-06 2.19 2.23 2.18 2.2 51300 2.2
2013-11-07 2.2 2.21 2.12 2.16 109400 2.16
2013-11-08 2.13 2.13 2 2.08 195200 2.08
2013-11-11 2.08 2.1 2.05 2.09 56900 2.09
2013-11-12 2.06 2.1 2.02 2.03 24900 2.03
2013-11-13 2.03 2.07 2 2.01 62200 2.01
2013-11-14 2.02 2.17 1.98 2.14 67000 2.14
2013-11-15 2.14 2.14 2.09 2.09 51300 2.09
2013-11-18 2.1 2.2 2.06 2.16 86500 2.16
2013-11-19 2.18 2.27 2.11 2.11 92600 2.11
2013-11-20 2.1 2.12 2.01 2.02 140000 2.02
2013-11-21 2.02 2.05 1.96 2.01 103800 2.01
2013-11-22 2.01 2.12 2 2.02 77400 2.02
2013-11-25 1.98 2.08 1.98 2.02 121700 2.02
2013-11-26 2.03 2.05 1.98 1.98 69800 1.98
2013-11-27 1.99 2.05 1.98 2.01 166400 2.01
2013-11-29 2.06 2.19 2.06 2.18 113600 2.18
2013-12-02 2.14 2.15 2.01 2.09 168700 2.09
2013-12-03 2.01 2.07 1.99 1.99 59600 1.99
2013-12-04 2 2.04 1.98 1.98 63800 1.98
2013-12-05 1.98 1.99 1.93 1.93 63700 1.93
2013-12-06 1.95 2.17 1.92 1.92 67100 1.92
2013-12-09 1.94 1.98 1.91 1.93 66400 1.93
2013-12-10 1.97 2.07 1.97 2.04 114700 2.04
2013-12-11 2.01 2.11 1.99 2.03 76500 2.03
2013-12-12 2 2.03 1.98 2.01 79900 2.01
2013-12-13 2.02 2.05 1.99 1.99 48200 1.99
2013-12-16 2.01 2.05 1.97 2 75400 2
2013-12-17 1.95 1.95 1.74 1.91 282500 1.91
2013-12-18 1.89 1.92 1.73 1.75 230400 1.75
2013-12-19 1.73 1.73 1.58 1.61 330800 1.61
2013-12-20 1.6 1.79 1.58 1.79 258600 1.79
2013-12-23 1.7 1.7 1.61 1.62 195300 1.62
2013-12-24 1.63 1.68 1.6 1.68 68900 1.68
2013-12-26 1.67 1.68 1.63 1.66 57900 1.66
2013-12-27 1.66 1.71 1.64 1.65 97200 1.65
2013-12-30 1.67 1.67 1.58 1.58 204200 1.58
2013-12-31 1.58 1.65 1.58 1.64 207100 1.64
2014-01-02 1.7 1.71 1.64 1.66 116300 1.66
2014-01-03 1.67 1.74 1.66 1.67 81800 1.67
2014-01-06 1.7 1.72 1.63 1.64 160100 1.64
2014-01-07 1.6 1.67 1.6 1.65 287800 1.65
2014-01-08 1.63 1.66 1.62 1.63 82400 1.63
2014-01-09 1.63 1.65 1.6 1.6 70800 1.6
2014-01-10 1.63 1.69 1.6 1.67 92400 1.67
2014-01-13 1.7 1.78 1.69 1.76 422100 1.76
2014-01-14 1.78 1.8 1.69 1.69 282100 1.69
2014-01-15 1.69 1.69 1.67 1.69 205600 1.69
2014-01-16 1.71 1.73 1.67 1.68 389400 1.68
2014-01-17 1.71 1.74 1.67 1.73 755000 1.73
2014-01-21 1.76 1.76 1.68 1.69 1692600 1.69
2014-01-22 1.7 1.7 1.64 1.65 480400 1.65
2014-01-23 1.68 1.68 1.63 1.65 649500 1.65
2014-01-24 1.68 1.68 1.59 1.62 686600 1.62
2014-01-27 1.6 1.64 1.59 1.61 357100 1.61
2014-01-28 1.6 1.6 1.55 1.59 462400 1.59
2014-01-29 1.62 1.62 1.57 1.6 295400 1.6
2014-01-30 1.59 1.59 1.57 1.58 241900 1.58
2014-01-31 1.6 1.77 1.6 1.75 475500 1.75
2014-02-03 1.77 1.9 1.77 1.86 567100 1.86
2014-02-04 1.88 1.93 1.8 1.93 530500 1.93
2014-02-05 1.97 1.97 1.9 1.92 347100 1.92
2014-02-06 1.95 1.95 1.9 1.92 183400 1.92
2014-02-07 1.95 1.98 1.92 1.96 242800 1.96
2014-02-10 1.99 2.11 1.94 2.08 464500 2.08
2014-02-11 2.12 2.23 2.1 2.21 592600 2.21
2014-02-12 2.19 2.24 2.1 2.15 424600 2.15
2014-02-13 2.12 2.25 2.11 2.22 725900 2.22
2014-02-14 2.25 2.32 2.21 2.24 471800 2.24
2014-02-18 2.29 2.29 2.17 2.17 391400 2.17
2014-02-19 2.17 2.17 2.03 2.04 267700 2.04
2014-02-20 2.07 2.2 2.06 2.16 321800 2.16
2014-02-21 2.19 2.22 2.12 2.14 172300 2.14
2014-02-24 2.18 2.19 2.15 2.17 169800 2.17
2014-02-25 2.15 2.19 2.12 2.15 144000 2.15
2014-02-26 2.12 2.13 2.03 2.09 383700 2.09
2014-02-27 2.1 2.16 2.07 2.1 232100 2.1
2014-02-28 2.12 2.18 2.1 2.16 256700 2.16
2014-03-03 2.24 2.3 2.22 2.3 432800 2.3
2014-03-04 2.28 2.34 2.21 2.23 275800 2.23
2014-03-05 2.26 2.3 2.19 2.28 178600 2.28
2014-03-06 2.3 2.3 2.26 2.3 287500 2.3
2014-03-07 2.22 2.26 2.18 2.2 191800 2.2
2014-03-10 2.2 2.29 2.18 2.28 274900 2.28
2014-03-11 2.28 2.28 2.22 2.24 271500 2.24
2014-03-12 2.28 2.36 2.26 2.35 429200 2.35
2014-03-13 2.37 2.4 2.31 2.38 798400 2.38
2014-03-14 2.44 2.44 2.29 2.33 751600 2.33
2014-03-17 2.34 2.46 2.33 2.36 553100 2.36
2014-03-18 2.35 2.41 2.29 2.39 1413700 2.39
2014-03-19 2.38 2.43 2.22 2.23 636900 2.23
2014-03-20 2.18 2.32 2.12 2.32 481200 2.32
2014-03-21 2.34 2.36 2.22 2.26 402800 2.26
2014-03-24 2.19 2.21 2.04 2.05 703200 2.05
2014-03-25 2.08 2.14 2.04 2.12 192000 2.12
2014-03-26 2.13 2.15 2 2.01 461500 2.01
2014-03-27 2 2.07 1.96 2.05 412300 2.05
2014-03-28 2.05 2.12 2.03 2.09 141400 2.09
2014-03-31 2.09 2.09 2.03 2.07 199100 2.07
2014-04-01 2.08 2.17 2.08 2.1 230400 2.1
2014-04-02 2.13 2.2 2.11 2.17 185100 2.17
2014-04-03 2.17 2.17 2.06 2.12 157100 2.12
2014-04-04 2.17 2.18 2.13 2.17 200800 2.17
2014-04-07 2.17 2.18 2.07 2.1 170300 2.1
2014-04-08 2.13 2.22 2.11 2.18 137400 2.18
2014-04-09 2.18 2.22 2.15 2.2 130600 2.2
2014-04-10 2.2 2.23 2.12 2.14 112000 2.14
2014-04-11 2.15 2.15 2.03 2.03 103100 2.03
2014-04-14 2.06 2.12 2.04 2.07 135800 2.07
2014-04-15 2.01 2.07 1.88 2.02 425300 2.02
2014-04-16 2.03 2.03 1.93 1.97 112600 1.97
2014-04-17 1.96 1.99 1.92 1.96 71300 1.96
2014-04-21 1.94 1.99 1.9 1.99 83900 1.99
2014-04-22 1.98 2.05 1.94 2.04 99900 2.04
2014-04-23 2.03 2.14 2.01 2.14 223900 2.14
2014-04-24 2.09 2.17 2.03 2.04 202600 2.04
2014-04-25 2.06 2.1 2.01 2.08 84600 2.08
2014-04-28 2.08 2.12 2.04 2.06 65000 2.06
2014-04-29 2.08 2.1 2.06 2.08 53500 2.08
2014-04-30 2.07 2.12 2.04 2.11 60900 2.11
2014-05-01 2.08 2.08 2.01 2.03 87000 2.03
2014-05-02 2.03 2.08 2.02 2.06 75100 2.06
2014-05-05 2.09 2.1 2.03 2.1 46900 2.1
2014-05-06 2.1 2.11 2.06 2.08 56400 2.08
2014-05-07 2.07 2.07 1.99 2 95700 2
2014-05-08 2.01 2.04 2.01 2.01 49600 2.01
2014-05-09 2.03 2.03 1.99 2.01 32300 2.01
2014-05-12 2.02 2.05 1.97 1.98 60900 1.98
2014-05-13 1.98 2.02 1.97 1.98 28200 1.98
2014-05-14 2 2.01 1.96 1.99 145100 1.99
2014-05-15 1.99 2 1.95 1.96 98400 1.96
2014-05-16 1.95 1.95 1.89 1.93 140400 1.93
2014-05-19 1.93 1.98 1.88 1.94 41600 1.94
2014-05-20 1.9 1.95 1.9 1.94 61800 1.94
2014-05-21 1.95 1.97 1.92 1.96 77600 1.96
2014-05-22 1.98 1.98 1.94 1.97 83300 1.97
2014-05-23 1.97 1.97 1.94 1.95 62100 1.95
2014-05-27 1.95 1.97 1.92 1.95 119100 1.95
2014-05-28 1.93 1.95 1.89 1.95 101000 1.95
2014-05-29 1.92 1.98 1.89 1.91 205600 1.91
2014-05-30 1.91 1.97 1.81 1.9 281600 1.9
2014-06-02 1.9 2.01 1.84 1.92 289000 1.92
2014-06-03 1.87 1.93 1.83 1.88 238300 1.88
2014-06-04 1.86 1.9 1.82 1.83 108800 1.83
2014-06-05 1.88 1.9 1.81 1.86 155400 1.86
2014-06-06 1.86 1.89 1.84 1.89 109000 1.89
2014-06-09 1.87 1.96 1.87 1.91 158300 1.91
2014-06-10 1.91 2.01 1.91 2.01 94500 2.01
2014-06-11 2.01 2.06 2 2.06 145100 2.06
2014-06-12 2.1 2.15 2.06 2.15 282400 2.15
2014-06-13 2.12 2.13 2.06 2.09 83200 2.09
2014-06-16 2.1 2.29 2.1 2.25 709200 2.25
2014-06-17 2.22 2.32 2.2 2.27 180600 2.27
2014-06-18 2.28 2.47 2.27 2.45 409400 2.45
2014-06-19 2.48 2.57 2.46 2.48 525800 2.48
2014-06-20 2.5 2.53 2.21 2.24 2221600 2.24
2014-06-23 2.3 2.46 2.28 2.39 600600 2.39
2014-06-24 2.46 2.46 2.24 2.28 265600 2.28
2014-06-25 2.28 2.39 2.25 2.34 161000 2.34
2014-06-26 2.35 2.43 2.31 2.41 184400 2.41
2014-06-27 2.41 2.42 2.37 2.42 98000 2.42
2014-06-30 2.41 2.64 2.38 2.59 244900 2.59
2014-07-01 2.6 2.65 2.52 2.52 99900 2.52
2014-07-02 2.49 2.6 2.49 2.57 168500 2.57
2014-07-03 2.49 2.58 2.44 2.56 201200 2.56
2014-07-07 2.56 2.6 2.44 2.49 284300 2.49
2014-07-08 2.49 2.57 2.45 2.55 231900 2.55
2014-07-09 2.56 2.65 2.5 2.61 206600 2.61
2014-07-10 2.66 2.77 2.63 2.63 295300 2.63
2014-07-11 2.65 2.69 2.53 2.67 178600 2.67
2014-07-14 2.62 2.65 2.52 2.54 163000 2.54
2014-07-15 2.53 2.59 2.44 2.47 138500 2.47
2014-07-16 2.5 2.53 2.41 2.42 102900 2.42
2014-07-17 2.44 2.62 2.42 2.61 116400 2.61
2014-07-18 2.6 2.63 2.53 2.62 104000 2.62
2014-07-21 2.62 2.71 2.59 2.71 74400 2.71
2014-07-22 2.71 2.71 2.58 2.59 68200 2.59
2014-07-23 2.58 2.6 2.53 2.56 98100 2.56
2014-07-24 2.53 2.58 2.48 2.52 139800 2.52
2014-07-25 2.52 2.59 2.48 2.55 90400 2.55
2014-07-28 2.55 2.6 2.54 2.58 69000 2.58
2014-07-29 2.58 2.58 2.45 2.46 134500 2.46
2014-07-30 2.46 2.52 2.45 2.52 74700 2.52
2014-07-31 2.48 2.51 2.38 2.42 232200 2.42
2014-08-01 2.43 2.51 2.4 2.43 195400 2.43
2014-08-04 2.41 2.45 2.41 2.44 25500 2.44
2014-08-05 2.41 2.5 2.35 2.49 126800 2.49
2014-08-06 2.49 2.6 2.49 2.58 105300 2.58
2014-08-07 2.54 2.58 2.51 2.54 95700 2.54
2014-08-08 2.54 2.55 2.45 2.45 37400 2.45
2014-08-11 2.45 2.51 2.44 2.5 62900 2.5
2014-08-12 2.52 2.52 2.47 2.48 44800 2.48
2014-08-13 2.46 2.49 2.41 2.46 119600 2.46
2014-08-14 2.45 2.5 2.43 2.43 149000 2.43
2014-08-15 2.4 2.46 2.4 2.43 125800 2.43
2014-08-18 2.37 2.46 2.32 2.43 67500 2.43
2014-08-19 2.44 2.45 2.37 2.38 76100 2.38
2014-08-20 2.37 2.42 2.35 2.38 59500 2.38
2014-08-21 2.35 2.36 2.26 2.31 110900 2.31
2014-08-22 2.33 2.34 2.27 2.28 54900 2.28
2014-08-25 2.28 2.31 2.25 2.29 47600 2.29
2014-08-26 2.3 2.3 2.25 2.29 79800 2.29
2014-08-27 2.26 2.3 2.25 2.27 44400 2.27
2014-08-28 2.28 2.28 2.23 2.26 104400 2.26
2014-08-29 2.26 2.34 2.26 2.33 116300 2.33
2014-09-02 2.28 2.3 2.27 2.29 50100 2.29
2014-09-03 2.3 2.33 2.26 2.26 48600 2.26
2014-09-04 2.26 2.29 2.15 2.16 104600 2.16
2014-09-05 2.15 2.2 2.1 2.2 95400 2.2
2014-09-08 2.17 2.17 2.09 2.11 187800 2.11
2014-09-09 2.08 2.23 2.06 2.19 127600 2.19
2014-09-10 2.15 2.26 2.14 2.17 111000 2.17
2014-09-11 2.17 2.32 2.15 2.23 204500 2.23
2014-09-12 2.22 2.25 2.19 2.25 64100 2.25
2014-09-15 2.32 2.49 2.29 2.43 339900 2.43
2014-09-16 2.4 2.48 2.38 2.39 152100 2.39
2014-09-17 2.43 2.55 2.4 2.46 229300 2.46
2014-09-18 2.46 2.5 2.4 2.5 336800 2.5
2014-09-19 2.49 2.5 2.36 2.46 2337000 2.46
2014-09-22 2.45 2.45 2.23 2.28 236600 2.28
2014-09-23 2.32 2.39 2.24 2.28 117200 2.28
2014-09-24 2.25 2.28 2.14 2.2 126900 2.2
2014-09-25 2.1 2.16 2.05 2.15 183800 2.15
2014-09-26 2.12 2.15 2.05 2.07 126600 2.07
2014-09-29 2.09 2.14 2.05 2.11 213200 2.11
2014-09-30 2.11 2.12 2.06 2.08 76700 2.08
2014-10-01 2.07 2.19 2.07 2.12 147700 2.12
2014-10-02 2.11 2.16 2.05 2.06 101700 2.06
2014-10-03 2.04 2.04 1.9 1.9 146600 1.9
2014-10-06 1.9 2.05 1.9 2.02 104200 2.02
2014-10-07 2.03 2.04 1.88 1.92 60300 1.92
2014-10-08 1.91 2.1 1.85 2.08 161300 2.08
2014-10-09 2.04 2.11 1.88 1.99 159900 1.99
2014-10-10 1.96 2.04 1.9 1.93 116800 1.93
2014-10-13 1.93 2.03 1.93 1.97 35400 1.97
2014-10-14 1.87 1.96 1.79 1.91 111100 1.91
2014-10-15 1.92 1.94 1.77 1.79 222100 1.79
2014-10-16 1.76 1.9 1.75 1.88 143300 1.88
2014-10-17 1.88 1.99 1.85 1.9 95100 1.9
2014-10-20 1.91 1.93 1.85 1.92 45300 1.92
2014-10-21 1.93 1.97 1.85 1.88 56400 1.88
2014-10-22 1.88 1.9 1.79 1.82 65100 1.82
2014-10-23 1.76 1.92 1.71 1.89 163500 1.89
2014-10-24 1.92 1.92 1.77 1.79 29400 1.79
2014-10-27 1.75 1.75 1.61 1.61 205200 1.61
