"Index" "HK.Open" "HK.High" "HK.Low" "HK.Close" "HK.Volume" "HK.Adjusted"
2013-08-19 5.03 5.03 4.68 4.76 15154000 4.76
2013-08-20 4.76 4.97 4.65 4.77 6652300 4.77
2013-08-21 4.87 4.91 4.7 4.71 5219400 4.71
2013-08-22 4.75 4.83 4.71 4.81 4220000 4.81
2013-08-23 4.8 4.95 4.75 4.95 5559000 4.95
2013-08-26 4.95 5.02 4.8 4.8 4750900 4.8
2013-08-27 4.79 4.85 4.77 4.78 5062300 4.78
2013-08-28 4.8 4.93 4.78 4.82 4723300 4.82
2013-08-29 4.82 4.89 4.78 4.78 3677100 4.78
2013-08-30 4.78 4.84 4.72 4.75 5631800 4.75
2013-09-03 4.87 4.87 4.73 4.74 5663800 4.74
2013-09-04 4.76 4.79 4.7 4.72 3816700 4.72
2013-09-05 4.73 4.94 4.73 4.89 5526100 4.89
2013-09-06 4.95 5.05 4.83 4.99 5706400 4.99
2013-09-09 5.03 5.08 4.96 5.03 5121700 5.03
2013-09-10 5.04 5.06 4.85 4.88 8171600 4.88
2013-09-11 4.92 4.96 4.8 4.93 7530000 4.93
2013-09-12 5.15 5.18 4.72 4.75 11555300 4.75
2013-09-13 4.76 4.81 4.7 4.71 5171100 4.71
2013-09-16 4.77 4.77 4.66 4.72 5971800 4.72
2013-09-17 4.73 4.77 4.64 4.75 6199200 4.75
2013-09-18 4.75 4.83 4.7 4.77 5429700 4.77
2013-09-19 4.83 4.91 4.77 4.81 5328100 4.81
2013-09-20 4.8 4.84 4.69 4.76 7129600 4.76
2013-09-23 4.76 4.77 4.68 4.73 3491800 4.73
2013-09-24 4.72 4.76 4.68 4.72 3697400 4.72
2013-09-25 4.72 4.75 4.67 4.68 4102600 4.68
2013-09-26 4.69 4.72 4.61 4.64 6102700 4.64
2013-09-27 4.64 4.64 4.51 4.53 5466000 4.53
2013-09-30 4.5 4.55 4.41 4.43 5081400 4.43
2013-10-01 4.44 4.67 4.44 4.66 4509200 4.66
2013-10-02 4.64 4.7 4.58 4.64 3165700 4.64
2013-10-03 4.64 4.67 4.57 4.58 3076300 4.58
2013-10-04 4.58 4.98 4.58 4.96 9834600 4.96
2013-10-07 4.91 4.92 4.76 4.77 4260200 4.77
2013-10-08 4.86 4.89 4.69 4.71 5929300 4.71
2013-10-09 4.79 4.84 4.65 4.79 6303100 4.79
2013-10-10 4.85 4.97 4.76 4.89 6721800 4.89
2013-10-11 4.9 4.98 4.85 4.88 5123500 4.88
2013-10-14 4.86 5.05 4.82 5.02 5641900 5.02
2013-10-15 5.02 5.23 5.02 5.1 8696400 5.1
2013-10-16 5.14 5.36 5.11 5.31 8500300 5.31
2013-10-17 5.32 5.43 5.24 5.43 7041400 5.43
2013-10-18 5.47 5.51 5.35 5.46 5369200 5.46
2013-10-21 5.49 5.73 5.45 5.55 7948100 5.55
2013-10-22 5.6 5.67 5.16 5.29 8905200 5.29
2013-10-23 5.24 5.3 5.05 5.14 5817200 5.14
2013-10-24 5.13 5.41 5.1 5.39 5062500 5.39
2013-10-25 5.52 5.54 5.32 5.42 5194500 5.42
2013-10-28 5.42 5.45 5.28 5.41 3115400 5.41
2013-10-29 5.44 5.5 5.34 5.44 2874300 5.44
2013-10-30 5.45 5.46 5.15 5.23 5078300 5.23
2013-10-31 5.26 5.26 5.07 5.18 4136000 5.18
2013-11-01 5.16 5.24 5 5.17 5294400 5.17
2013-11-04 5.24 5.43 5.17 5.38 6334700 5.38
2013-11-05 5.15 5.16 4.95 5.11 11453200 5.11
2013-11-06 4.85 4.9 4.6 4.7 19304500 4.7
2013-11-07 4.76 4.76 4.45 4.51 9967600 4.51
2013-11-08 4.59 4.73 4.53 4.7 3842100 4.7
2013-11-11 4.75 4.83 4.65 4.8 3789500 4.8
2013-11-12 4.9 4.91 4.71 4.78 3650800 4.78
2013-11-13 4.71 4.75 4.62 4.67 5399400 4.67
2013-11-14 4.65 4.7 4.57 4.7 2245200 4.7
2013-11-15 4.69 4.74 4.66 4.74 1916300 4.74
2013-11-18 4.63 4.7 4.39 4.43 7335800 4.43
2013-11-19 4.41 4.45 4.19 4.23 6950300 4.23
2013-11-20 4.43 4.53 4.17 4.18 4761000 4.18
2013-11-21 4.18 4.3 3.97 4.03 15006900 4.03
2013-11-22 4 4.22 3.83 4.07 10159900 4.07
2013-11-25 4.12 4.13 3.91 4.01 6792800 4.01
2013-11-26 4 4.06 3.92 3.95 5447000 3.95
2013-11-27 3.94 4.02 3.91 3.98 5045800 3.98
2013-11-29 4.02 4.08 3.93 4.01 2184000 4.01
2013-12-02 4 4.04 3.71 3.74 8135100 3.74
2013-12-03 3.71 3.74 3.6 3.63 6455000 3.63
2013-12-04 3.62 3.86 3.6 3.82 5399600 3.82
2013-12-05 3.99 4.1 3.91 3.99 7065200 3.99
2013-12-06 4.12 4.14 3.8 3.81 6812300 3.81
2013-12-09 3.92 4.14 3.85 4.02 7336600 4.02
2013-12-10 4.07 4.14 3.97 4.04 4810400 4.04
2013-12-11 4.09 4.09 3.8 3.85 5853000 3.85
2013-12-12 3.89 3.93 3.77 3.89 4707100 3.89
2013-12-13 3.88 3.89 3.75 3.79 4576200 3.79
2013-12-16 3.85 3.93 3.75 3.75 6126300 3.75
2013-12-17 3.75 3.84 3.75 3.79 4096500 3.79
2013-12-18 3.81 3.85 3.75 3.82 3400000 3.82
2013-12-19 3.82 3.86 3.77 3.79 5427800 3.79
2013-12-20 3.82 3.95 3.8 3.9 6004300 3.9
2013-12-23 3.89 3.97 3.88 3.88 4215600 3.88
2013-12-24 3.91 3.91 3.81 3.87 2503900 3.87
2013-12-26 3.88 3.9 3.76 3.78 5154700 3.78
2013-12-27 3.8 3.81 3.72 3.77 6132800 3.77
2013-12-30 3.79 3.94 3.75 3.87 7108600 3.87
2013-12-31 3.88 3.95 3.83 3.86 6155200 3.86
2014-01-02 3.87 3.91 3.76 3.78 3527700 3.78
2014-01-03 3.77 3.83 3.64 3.67 5029300 3.67
2014-01-06 3.71 3.72 3.39 3.45 10974700 3.45
2014-01-07 3.47 3.55 3.4 3.53 4498500 3.53
2014-01-08 3.51 3.52 3.36 3.39 4777700 3.39
2014-01-09 3.4 3.4 3.16 3.32 8458500 3.32
2014-01-10 3.31 3.49 3.24 3.43 3839100 3.43
2014-01-13 3.4 3.45 3.2 3.24 5932300 3.24
2014-01-14 3.26 3.38 3.24 3.29 3920700 3.29
2014-01-15 3.29 3.38 3.26 3.34 3932600 3.34
2014-01-16 3.32 3.55 3.31 3.5 5805900 3.5
2014-01-17 3.5 3.5 3.38 3.39 3731100 3.39
2014-01-21 3.42 3.53 3.41 3.52 3687100 3.52
2014-01-22 3.51 3.61 3.48 3.57 4185500 3.57
2014-01-23 3.57 3.59 3.5 3.57 3824600 3.57
2014-01-24 3.56 3.62 3.4 3.62 5510900 3.62
