"Index" "FI.Open" "FI.High" "FI.Low" "FI.Close" "FI.Volume" "FI.Adjusted"
2013-11-19 24.48 24.68 23.52 23.719999 724300 22.552937
2013-11-20 23.82 24.190001 23.82 24.059999 386800 22.876209
2013-11-21 24.18 24.629999 23.98 24.25 283900 23.056861
2013-11-22 24.200001 24.290001 23.73 24.139999 242800 22.952273
2013-11-25 24.200001 24.200001 23.51 23.66 48000 22.49589
2013-11-26 23.6 23.75 23.559999 23.629999 554400 22.538811
2013-11-27 23.83 23.959999 23.6 23.950001 265600 22.844035
2013-11-29 23.950001 23.98 23.780001 23.93 91300 22.824958
2013-12-02 25.440001 25.5 24.32 25.24 401800 24.074464
2013-12-03 25.540001 25.540001 25 25.059999 273500 23.902776
2013-12-04 25.870001 25.959999 25.459999 25.91 398600 24.713525
2013-12-05 26 26.59 26 26.57 651800 25.343048
2013-12-06 27.07 27.52 26.950001 27.110001 1014200 25.858112
2013-12-09 27.15 27.690001 26.57 27.17 430900 25.915341
2013-12-10 27.219999 27.469999 26.82 26.91 335900 25.667347
2013-12-11 26.879999 27.110001 26.48 26.65 562900 25.419353
2013-12-12 26.42 26.790001 26.25 26.42 707100 25.199975
2013-12-13 26.440001 26.5 26.139999 26.450001 370500 25.22859
2013-12-16 26.620001 27.59 26.48 26.700001 750900 25.467045
2013-12-17 27.5 27.5 26.4 26.58 689500 25.352586
2013-12-18 26.66 26.860001 26.35 26.5 502700 25.27628
2013-12-19 26.33 26.74 26.200001 26.68 352800 25.447969
2013-12-20 26.65 27.299999 26.559999 27.290001 1154900 26.0298
2013-12-23 27.219999 27.469999 26.379999 26.52 182300 25.295357
2013-12-24 26.51 26.969999 26.51 26.93 117700 25.686424
2013-12-26 26.91 26.91 26.459999 26.57 119000 25.343048
2013-12-27 26.51 27.23 26.51 27.049999 436200 25.800882
2013-12-30 27.17 27.309999 26.76 26.92 146200 25.676886
2013-12-31 26.85 27.09 26.5 27 223400 25.753191
2014-01-02 26.940001 26.99 26.01 26.16 244300 24.951981
2014-01-03 26.32 26.67 26.07 26.24 259200 25.028286
2014-01-06 26.290001 26.450001 25.51 26.139999 320200 24.932904
2014-01-07 26.040001 26.040001 25.07 25.08 349100 23.921853
2014-01-08 25.049999 25.049999 24.16 24.290001 627900 23.168335
2014-01-09 24.24 24.690001 24.110001 24.65 331900 23.511709
2014-01-10 24.65 25.129999 24.32 24.73 385400 23.588015
2014-01-13 24.639999 24.82 24.4 24.450001 498600 23.320946
2014-01-14 24.52 25.15 24.52 24.959999 383800 23.807394
2014-01-15 24.940001 25.01 24.5 24.629999 474800 23.492633
2014-01-16 24.74 24.809999 24.360001 24.5 210700 23.368636
2014-01-17 24.450001 24.9 24.450001 24.549999 326500 23.416327
2014-01-21 24.870001 25.700001 24.129999 24.15 413700 23.034798
2014-01-22 24.25 24.459999 23.91 24.190001 433100 23.072952
2014-01-23 24.190001 24.190001 23.299999 23.52 283900 22.433891
2014-01-24 23.559999 23.639999 22.469999 23.08 426000 22.014209
2014-01-27 23.1 23.110001 22.58 22.68 385600 21.632681
2014-01-28 22.82 23.25 22.639999 23.07 141900 22.004671
2014-01-29 22.98 23.219999 22.799999 23.02 160000 21.956981
2014-01-30 23.120001 23.5 22.940001 23.309999 228100 22.233588
2014-01-31 23.08 23.68 23 23.440001 173100 22.357586
2014-02-03 23.450001 23.58 22.82 22.84 370000 21.785292
2014-02-04 22.9 23.52 22.799999 23.23 272900 22.157282
2014-02-05 23.26 23.450001 22.5 22.639999 763200 21.594527
2014-02-06 22.719999 23.379999 22.65 23.33 176400 22.252665
2014-02-07 23.51 23.709999 23.34 23.4 106200 22.319432
2014-02-10 23.42 23.42 22.66 22.9 228200 21.842521
2014-02-11 22.889999 23.25 22.65 22.799999 618200 21.747139
2014-02-12 22.77 22.799999 21.639999 21.959999 1447600 20.945928
2014-02-13 21.77 22.200001 21.559999 21.790001 527600 20.78378
2014-02-14 21.799999 22.700001 21.68 22 464100 20.984082
2014-02-18 22.059999 22.440001 21.889999 22.139999 424600 21.117616
2014-02-19 22.02 22.459999 21.73 21.780001 434200 20.774242
2014-02-20 21.809999 22.049999 21.030001 21.07 761300 20.097027
2014-02-21 21.07 21.18 20.76 20.85 1088500 19.887187
2014-02-24 21.01 23.23 20.9 22.5 1734000 21.460993
2014-02-25 21.549999 23 21.549999 22.85 1755900 21.794831
2014-02-26 22.84 23.59 22.67 23.450001 540900 22.44078
2014-02-27 23.549999 23.85 23.08 23.65 901500 22.632172
2014-02-28 23.620001 23.74 23.08 23.639999 619500 22.622602
2014-03-03 23.370001 23.57 23.08 23.120001 299500 22.124983
2014-03-04 23.370001 24.07 23.370001 24.059999 416600 23.024526
2014-03-05 24.1 24.299999 23.870001 24 294500 22.967109
2014-03-06 24.110001 24.389999 24.01 24.35 164500 23.302047
2014-03-07 24.360001 24.48 24.219999 24.280001 220100 23.235059
2014-03-10 24.190001 24.24 23.51 23.82 136000 22.794856
2014-03-11 23.91 24.040001 23.43 23.66 160000 22.641742
2014-03-12 23.5 23.780001 23.23 23.49 108600 22.479058
2014-03-13 23.469999 23.66 22.950001 23.17 139100 22.17283
2014-03-14 23.07 23.540001 23.07 23.280001 117600 22.278097
2014-03-17 23.379999 24.030001 23.379999 23.9 153000 22.871413
2014-03-18 23.92 24.23 23.66 24.01 573700 22.976679
2014-03-19 24.07 24.450001 24.07 24.200001 227600 23.158503
2014-03-20 24.07 24.33 24 24.200001 167100 23.158503
2014-03-21 24.370001 25.09 24 24.5 731400 23.445591
2014-03-24 24.5 24.629999 24.200001 24.450001 151400 23.397743
2014-03-25 24.48 24.91 24.370001 24.65 146400 23.589135
2014-03-26 24.75 25.49 24.6 25.24 986200 24.153743
2014-03-27 25.23 25.23 24.200001 24.860001 317500 23.790098
2014-03-28 24.879999 25.450001 24.690001 25.42 188400 24.325997
2014-03-31 25.43 25.43 24.370001 24.780001 412600 23.713541
2014-04-01 24.84 25.709999 24.629999 25.459999 436100 24.364274
2014-04-02 25.35 25.49 24.959999 24.98 217300 23.904932
2014-04-03 24.98 25.360001 24.610001 24.98 239800 23.904932
2014-04-04 25 25.23 24.26 24.66 399100 23.598705
2014-04-07 24.66 24.67 24.059999 24.370001 283400 23.321186
2014-04-08 24.360001 24.879999 24.25 24.68 165700 23.617844
2014-04-09 24.799999 24.98 24.690001 24.879999 258900 23.809236
2014-04-10 24.879999 24.889999 23.85 24.049999 277000 23.014957
2014-04-11 23.93 24.530001 23.92 24.120001 334300 23.081946
2014-04-14 24.35 24.540001 23.889999 24.17 195300 23.129793
2014-04-15 24.17 24.709999 24.030001 24.450001 121500 23.397743
2014-04-16 24.559999 24.99 24.370001 24.66 192500 23.598705
2014-04-17 24.74 26 24.629999 25.9 288800 24.785338
2014-04-21 25.98 26.200001 25.51 26.059999 98300 24.938452
2014-04-22 26.09 27.309999 25.92 26.969999 581300 25.809288
2014-04-23 27 27.43 26.709999 27.370001 419000 26.192075
2014-04-24 27.360001 27.43 26.32 26.67 234500 25.5222
2014-04-25 26.709999 27.18 26.469999 26.85 305100 25.694454
2014-04-28 26.959999 27.209999 26.139999 26.559999 479500 25.416934
2014-04-29 26.629999 27.6 26.629999 27.02 373800 25.857138
2014-04-30 26.85 27.43 26.290001 27.43 558200 26.249492
2014-05-01 27.360001 27.360001 26.6 26.92 260100 25.761441
2014-05-02 26.25 26.290001 25 25.370001 1211200 24.278149
2014-05-05 25.6 25.6 25 25.01 299800 23.933642
2014-05-06 24.780001 25.02 24.57 24.67 261200 23.608274
2014-05-07 24.780001 24.940001 24.290001 24.49 442700 23.436021
2014-05-08 24.41 24.59 23.799999 23.84 196500 22.813995
2014-05-09 23.780001 24.450001 23.780001 24.26 185300 23.21592
2014-05-12 24.280001 24.49 23.780001 24.07 246600 23.034096
2014-05-13 24.08 25.02 23.99 24.32 361300 23.273337
2014-05-14 24.209999 24.440001 23.950001 24.07 194100 23.034096
2014-05-15 23.92 23.92 23.190001 23.32 579100 22.316374
2014-05-16 23.49 23.530001 22.639999 23.01 324300 22.019716
2014-05-19 23.42 24.139999 23.42 23.879999 717900 22.852273
2014-05-20 23.91 24.139999 23.32 23.629999 349800 22.613032
2014-05-21 23.68 23.870001 22.98 23.389999 667200 22.383361
2014-05-22 23.4 23.4 23.040001 23.16 196400 22.16326
2014-05-23 23.209999 23.48 22.959999 23.17 208800 22.17283
2014-05-27 23.41 23.5 22.93 23.43 425400 22.421641
2014-05-28 23.74 23.74 23.32 23.540001 494000 22.599248
2014-05-29 23.68 24.120001 23.5 23.85 257500 22.896858
2014-05-30 23.83 23.93 23.5 23.84 173500 22.887258
2014-06-02 23.99 24.32 23.299999 23.4 294800 22.464842
2014-06-03 23.370001 24.24 23 24.030001 500500 23.069665
2014-06-04 24.02 24.360001 23.780001 24.27 280100 23.300074
2014-06-05 24.389999 24.65 23.950001 24.610001 257700 23.626486
2014-06-06 24.6 24.65 24.120001 24.559999 226600 23.578483
2014-06-09 24.57 24.879999 24.459999 24.6 220900 23.616885
2014-06-10 24.610001 24.620001 24.32 24.48 89600 23.50168
2014-06-11 24.360001 24.51 24.309999 24.34 87500 23.367276
2014-06-12 24.549999 24.700001 24.15 24.190001 115500 23.223271
2014-06-13 24.25 24.49 24.040001 24.469999 166200 23.49208
2014-06-16 24.49 24.49 23.950001 23.959999 263100 23.002461
2014-06-17 24.02 24.52 23.91 24.26 607300 23.290473
2014-06-18 24.379999 24.379999 23.59 23.77 328100 22.820056
2014-06-19 23.799999 23.98 23.200001 23.24 423300 22.311236
2014-06-20 23.280001 23.51 23.040001 23.4 820900 22.464842
2014-06-23 23.52 24.200001 23.309999 24.01 304700 23.050464
2014-06-24 23.93 24.200001 23.610001 23.77 569500 22.820056
2014-06-25 23.82 25 23.709999 24.549999 319200 23.568883
2014-06-26 24.51 24.65 24.120001 24.17 168100 23.20407
2014-06-27 24.17 24.709999 24.02 24.379999 417700 23.405676
2014-06-30 24.360001 24.639999 24.110001 24.6 180900 23.616885
2014-07-01 24.75 24.809999 24.34 24.620001 252000 23.636087
2014-07-02 24.57 24.57 24.33 24.440001 350200 23.46328
2014-07-03 24.450001 24.59 24.309999 24.440001 336000 23.46328
2014-07-07 24.440001 24.65 24.030001 24.08 333200 23.117666
2014-07-08 24.07 24.139999 23.809999 23.83 648100 22.877657
2014-07-09 23.860001 24.049999 23.51 23.85 352800 22.896858
2014-07-10 23.540001 23.700001 23.4 23.469999 247500 22.532044
2014-07-11 23.48 23.5 23.08 23.139999 180600 22.215232
2014-07-14 23.18 23.18 22.700001 22.860001 525100 21.946423
2014-07-15 22.879999 23.200001 22.82 23.110001 246900 22.186432
2014-07-16 22.950001 23.059999 22.719999 22.969999 394600 22.052026
2014-07-17 23.030001 23.370001 22.84 22.860001 397100 21.946423
2014-07-18 22.959999 23.200001 22.940001 23.030001 297300 22.109629
2014-07-21 23.030001 23.030001 22.620001 22.83 198500 21.917621
2014-07-22 23.1 23.360001 22.950001 23.15 155900 22.224833
2014-07-23 22.809999 23.18 22.75 23.07 132900 22.14803
2014-07-24 23.09 23.139999 22.98 23.02 81100 22.100029
2014-07-25 22.92 22.92 22.459999 22.51 231400 21.61041
2014-07-28 22.5 22.969999 22.4 22.9 237900 21.984824
2014-07-29 22.950001 23.190001 22.780001 22.969999 218700 22.052026
2014-07-30 23.01 23.35 22.959999 23.24 307800 22.311236
2014-07-31 23.15 23.200001 23.040001 23.15 390200 22.224833
2014-08-01 23.15 23.190001 22.780001 22.98 334500 22.061626
2014-08-04 22.92 23.57 22.92 23.41 302700 22.474442
2014-08-05 23.370001 23.370001 23.09 23.23 306000 22.301635
2014-08-06 23.129999 23.309999 22.92 22.92 192800 22.004025
2014-08-07 23.049999 23.1 22.77 22.85 215100 21.936823
2014-08-08 21.68 21.9 20.42 20.59 2792700 19.767141
2014-08-11 20.700001 20.780001 20.33 20.52 974400 19.699939
2014-08-12 20.48 20.559999 20.18 20.440001 983800 19.623136
2014-08-13 20.440001 20.629999 20.07 20.09 658500 19.287123
2014-08-14 20.5 20.59 19.959999 19.98 685700 19.181518
2014-08-15 20 20.07 19.940001 20.02 322000 19.219921
2014-08-18 20.059999 20.370001 20.030001 20.219999 520900 19.411927
2014-08-19 20.24 20.809999 20.24 20.76 373200 19.930347
2014-08-20 20.76 20.85 20.610001 20.73 188300 19.901545
2014-08-21 20.75 20.75 20.440001 20.450001 487700 19.632737
2014-08-22 20.450001 20.469999 20.16 20.299999 367800 19.48873
2014-08-25 20.35 20.4 20.23 20.290001 521200 19.479131
2014-08-26 20.26 20.389999 20.07 20.25 267100 19.440729
2014-08-27 20.01 20.290001 20.01 20.1 415500 19.44073
2014-08-28 19.969999 20.049999 19.889999 19.98 362100 19.324665
2014-08-29 19.82 20.209999 19.82 20.15 546100 19.489089
2014-09-02 20.129999 20.25 19.98 20.09 321300 19.431057
2014-09-03 20.09 20.17 19.98 20.059999 278900 19.402041
2014-09-04 20.15 20.27 20.040001 20.09 280000 19.431057
2014-09-05 20.030001 20.190001 19.950001 20.08 615800 19.421385
2014-09-08 20.01 20.129999 19.59 19.66 327300 19.015161
2014-09-09 19.549999 19.77 19.459999 19.59 327000 18.947457
2014-09-10 19.559999 19.709999 19.35 19.59 289200 18.947457
2014-09-11 19.41 19.719999 19.370001 19.48 556500 18.841064
2014-09-12 19.5 19.6 19.35 19.58 1152300 18.937785
2014-09-15 19.6 19.870001 19.35 19.809999 423700 19.160241
2014-09-16 19.51 19.75 19.450001 19.48 242000 18.841064
2014-09-17 19.780001 19.9 19.41 19.459999 225100 18.82172
2014-09-18 19.559999 19.559999 19.35 19.379999 170700 18.744344
2014-09-19 19.33 19.440001 19.09 19.120001 290600 18.492874
2014-09-22 19.040001 19.110001 18.75 19.049999 181700 18.425168
2014-09-23 19.209999 19.43 19.07 19.24 255300 18.608937
2014-09-24 19.23 19.389999 19.110001 19.24 177600 18.608937
2014-09-25 19.110001 19.110001 18.860001 18.940001 390800 18.318777
2014-09-26 18.92 19.129999 18.860001 19.08 268800 18.454185
2014-09-29 18.41 19.32 18.41 19.280001 408800 18.647625
2014-09-30 19.049999 19.23 18.67 18.700001 367000 18.086649
2014-10-01 18.709999 18.91 18.450001 18.67 380500 18.057633
2014-10-02 18.68 18.950001 18.09 18.24 771900 17.641736
2014-10-03 18.24 18.25 17.75 17.91 1174900 17.32256
2014-10-06 17.9 18.43 17.75 18.049999 822900 17.457968
2014-10-07 18.059999 18.17 17.82 17.9 413300 17.312888
2014-10-08 17.9 17.950001 17.030001 17.870001 552600 17.283873
2014-10-09 17.709999 17.780001 17.09 17.120001 466900 16.558473
2014-10-10 17.15 17.15 16.610001 16.809999 888000 16.258639
2014-10-13 16.940001 16.950001 16.690001 16.690001 584800 16.142576
2014-10-14 16.68 16.860001 16.040001 16.43 1216400 15.891104
2014-10-15 16.34 16.91 16.15 16.790001 735000 16.239297
2014-10-16 16.59 16.98 16.25 16.93 598600 16.374704
2014-10-17 17.129999 17.91 16.92 17.459999 622700 16.887319
2014-10-20 17.4 17.52 16.75 17.08 369400 16.519784
2014-10-21 17.15 17.52 17.02 17.370001 729400 16.800273
2014-10-22 17.389999 17.84 17.209999 17.42 748300 16.848632
2014-10-23 17.469999 17.870001 17.24 17.469999 743200 16.896991
2014-10-24 17.51 17.51 16.860001 17.209999 1104700 16.645519
2014-10-27 17.030001 17.07 16.33 16.610001 1201300 16.0652
2014-10-28 16.559999 17.01 16.35 16.959999 1025500 16.403719
2014-10-29 16.940001 17.110001 16.639999 17.07 859800 16.510112
2014-10-30 17.059999 17.190001 16.879999 17.02 689500 16.461752
2014-10-31 17.030001 17.33 16.92 17.23 558200 16.664863
2014-11-03 17.26 17.98 17.07 17.450001 501100 16.877649
2014-11-04 17.32 17.32 16.41 16.51 379200 15.96848
2014-11-05 16.549999 16.99 16.5 16.879999 284600 16.326343
2014-11-06 16.870001 17.15 16.68 17.110001 1012100 16.5488
2014-11-07 17.35 19.469999 17.35 19.32 1816100 18.686313
2014-11-10 19.4 19.65 18.860001 19.08 624700 18.454185
2014-11-11 19.17 19.51 18.92 19.49 566200 18.850737
2014-11-12 20.139999 20.809999 19.91 20.24 1087000 19.576137
2014-11-13 20.690001 20.969999 19.370001 20.02 801200 19.363354
2014-11-14 20.02 20.83 20.02 20.629999 778800 19.953345
2014-11-17 20.629999 21 20.51 20.719999 811300 20.040393
2014-11-18 20.719999 20.98 20 20.18 512600 19.518106
2014-11-19 20.15 20.16 19.530001 19.82 510600 19.169913
2014-11-20 19.940001 20.4 19.799999 20.379999 387300 19.711545
2014-11-21 20.700001 20.719999 20.17 20.6 274100 19.92433
2014-11-24 20.620001 20.66 20.09 20.34 176900 19.672857
2014-11-25 20.34 20.48 19.76 19.93 284600 19.419518
2014-11-26 19.799999 19.889999 19.459999 19.530001 260600 19.029763
2014-11-28 19.25 19.25 17.799999 17.98 411000 17.519464
2014-12-01 17.549999 18.17 16.57 18 1121900 17.538952
2014-12-02 17.950001 18.09 17.66 17.82 906800 17.363562
2014-12-03 17.6 17.940001 17.6 17.77 543900 17.314843
2014-12-04 17.9 18.16 17.18 17.459999 875400 17.012782
2014-12-05 17.110001 17.389999 16.77 17.07 762000 16.632772
2014-12-08 16.84 17.129999 16.719999 16.83 1056100 16.39892
2014-12-09 16.74 16.969999 16.67 16.889999 621500 16.457383
2014-12-10 16.709999 16.799999 15.96 15.98 806000 15.570691
2014-12-11 16.030001 16.26 15.94 16.1 575900 15.687618
2014-12-12 16.5 16.5 15.2 15.22 1886600 14.830158
2014-12-15 15.38 15.41 14.87 14.97 1235200 14.586562
2014-12-16 15.2 15.63 14.88 15.2 1942700 14.81067
2014-12-17 15.17 16.469999 15.15 16.200001 606400 15.785057
2014-12-18 16.27 17.01 16.27 16.85 587200 16.418408
2014-12-19 17.120001 18.1 16.879999 18 709200 17.538952
2014-12-22 18.219999 18.219999 17.34 17.41 383600 16.964064
2014-12-23 17.440001 17.58 16.879999 17.02 523800 16.584054
2014-12-24 17.040001 17.040001 16.450001 16.799999 229400 16.369688
2014-12-26 16.889999 16.92 16.35 16.639999 338400 16.213786
2014-12-29 16.719999 16.870001 16.24 16.66 421400 16.233274
2014-12-30 16.75 16.84 16.25 16.6 304200 16.174812
2014-12-31 16.459999 16.75 16.07 16.629999 276000 16.204042
2015-01-02 15.71 16.67 15.71 16.280001 578900 15.863008
2015-01-05 16.01 16.24 15.75 15.99 582900 15.580435
2015-01-06 15.97 16.1 15.71 16.07 698800 15.658386
2015-01-07 16.09 16.129999 15.46 15.51 576400 15.11273
2015-01-08 15.57 15.75 15.35 15.65 768800 15.249144
2015-01-09 15.67 15.8 15.36 15.46 560100 15.064011
2015-01-12 15.25 15.25 14.53 15.04 850300 14.654769
2015-01-13 15.09 16.139999 14.98 16.139999 893300 15.726593
2015-01-14 16.01 16.219999 15.7 16.139999 878900 15.726593
2015-01-15 16.35 16.450001 15.36 15.51 619400 15.11273
2015-01-16 15.46 16.07 15.4 16.030001 257300 15.619412
2015-01-20 15.95 16.209999 15.43 16 244400 15.590179
2015-01-21 16.129999 16.629999 16 16.6 245600 16.174812
2015-01-22 16.799999 16.98 16.41 16.75 622100 16.320969
2015-01-23 16.67 17.549999 16.459999 16.610001 569500 16.184556
2015-01-26 16.639999 16.790001 16.35 16.790001 501900 16.359945
2015-01-27 16.65 17.379999 16.58 17.379999 238700 16.934832
2015-01-28 17.389999 17.450001 15.91 16.049999 366200 15.638898
2015-01-29 16.059999 16.18 15.59 16.049999 448800 15.638898
