"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2013-07-01 2.99 2.99 2.99 2.99 0 2.4564
2013-07-02 3.01 3.01 3.01 3.01 3000 2.4728
2013-07-03 3.01 3.01 3.01 3.01 0 2.4728
2013-07-04 3 3 2.99 2.99 900 2.4564
2013-07-05 2.99 2.99 2.99 2.99 0 2.4564
2013-07-08 2.99 2.99 2.99 2.99 0 2.4564
2013-07-09 2.98 2.99 2.98 2.99 2600 2.4564
2013-07-10 2.99 2.99 2.99 2.99 0 2.4564
2013-07-11 2.99 2.99 2.99 2.99 0 2.4564
2013-07-12 2.97 2.97 2.97 2.97 100 2.4399
2013-07-15 2.97 2.97 2.97 2.97 0 2.4399
2013-07-16 3.15 3.15 3.15 3.15 1000 2.5878
2013-07-17 3.15 3.15 3.15 3.15 0 2.5878
2013-07-18 3.15 3.15 3.15 3.15 0 2.5878
2013-07-19 2.87 2.87 2.86 2.86 500 2.3496
2013-07-22 2.86 2.86 2.86 2.86 0 2.3496
2013-07-23 2.89 2.89 2.87 2.87 3000 2.3578
2013-07-24 2.89 2.89 2.89 2.89 300 2.3742
2013-07-25 2.87 2.87 2.86 2.86 3300 2.3496
2013-07-26 2.86 2.86 2.86 2.86 0 2.3496
2013-07-29 2.86 2.86 2.86 2.86 0 2.3496
2013-07-30 2.86 2.86 2.86 2.86 0 2.3496
2013-07-31 2.86 2.86 2.86 2.86 0 2.3496
2013-08-01 2.81 2.81 2.69 2.7 5100 2.2181
2013-08-02 2.7 2.7 2.7 2.7 0 2.2181
2013-08-05 2.7 2.7 2.7 2.7 0 2.2181
2013-08-06 2.69 2.69 2.69 2.69 200 2.2099
2013-08-07 2.67 2.67 2.67 2.67 600 2.1935
2013-08-08 2.67 2.67 2.67 2.67 0 2.1935
2013-08-09 2.67 2.67 2.67 2.67 0 2.1935
2013-08-12 2.47 2.47 2.4 2.4 7800 1.9717
2013-08-13 2.4 2.4 2.4 2.4 0 1.9717
2013-08-14 2.4 2.4 2.4 2.4 0 1.9717
2013-08-15 2.4 2.4 2.4 2.4 0 1.9717
2013-08-16 2.36 2.36 2.36 2.36 1000 1.9388
2013-08-19 2.18 2.18 2.18 2.18 2000 1.7909
2013-08-20 2.18 2.18 2.18 2.18 0 1.7909
2013-08-21 2.2 2.2 2.2 2.2 2500 1.8074
2013-08-22 2.29 2.31 2.29 2.3 14000 1.8895
2013-08-23 2.01 2.01 2.01 2.01 100 1.6513
2013-08-26 2.3 2.3 2.3 2.3 2500 1.8895
2013-08-27 2.3 2.3 2.3 2.3 100 1.8895
2013-08-28 2.29 2.31 2.29 2.3 4600 1.8895
2013-08-29 2.3 2.3 2.3 2.3 0 1.8895
2013-08-30 2.3 2.3 2.3 2.3 0 1.8895
2013-09-02 2.3 2.3 2.3 2.3 0 1.8895
2013-09-03 2.3 2.3 2.3 2.3 0 1.8895
2013-09-04 2.3 2.3 2.3 2.3 0 1.8895
2013-09-05 2.3 2.3 2.3 2.3 0 1.8895
2013-09-06 2.18 2.18 2.18 2.18 100 1.7909
2013-09-09 2.17 2.17 2.09 2.09 1600 1.717
2013-09-10 2.09 2.09 2.09 2.09 0 1.717
2013-09-11 2.1 2.1 2.1 2.1 500 1.7252
2013-09-12 2.1 2.1 2.1 2.1 0 1.7252
2013-09-13 2.1 2.1 2.1 2.1 0 1.7252
2013-09-16 2.1 2.1 2.1 2.1 0 1.7252
2013-09-17 2.1 2.1 2.1 2.1 0 1.7252
2013-09-18 2.4 2.4 2.4 2.4 200 1.9717
2013-09-19 2.4 2.4 2.4 2.4 0 1.9717
2013-09-20 2.13 2.13 2.02 2.1 8900 1.7252
2013-09-23 2.05 2.1 2.05 2.08 11300 1.7088
2013-09-24 2.08 2.08 2.08 2.08 0 1.7088
2013-09-25 2.12 2.12 2.12 2.12 3000 1.7416
2013-09-26 2.14 2.14 2.09 2.09 4300 1.717
2013-09-27 2.2 2.2 2.2 2.2 500 1.8074
2013-09-30 2.2 2.2 2.2 2.2 0 1.8074
2013-10-01 2.2 2.2 2.2 2.2 0 1.8074
2013-10-02 2.2 2.2 2.2 2.2 0 1.8074
2013-10-03 2.15 2.15 2.04 2.14 4600 1.7581
2013-10-04 2.14 2.14 2.14 2.14 0 1.7581
2013-10-07 2.14 2.14 2.14 2.14 0 1.7581
2013-10-08 2.2 2.2 1.48 1.78 32200 1.4623
2013-10-09 1.73 1.9 1.71 1.9 4300 1.5609
2013-10-10 1.9 1.9 1.9 1.9 0 1.5609
2013-10-11 1.9 1.9 1.9 1.9 0 1.5609
2013-10-14 1.9 1.9 1.9 1.9 0 1.5609
2013-10-15 1.9 1.9 1.9 1.9 0 1.5609
2013-10-16 1.9 1.9 1.9 1.9 0 1.5609
2013-10-17 1.9 1.9 1.9 1.9 0 1.5609
2013-10-18 1.71 1.71 1.71 1.71 700 1.4048
2013-10-21 1.71 1.71 1.71 1.71 300 1.4048
2013-10-22 1.71 1.71 1.71 1.71 0 1.4048
2013-10-23 1.75 1.75 1.7 1.7 2200 1.3966
2013-10-24 1.76 1.76 1.76 1.76 200 1.4459
2013-10-25 1.76 1.76 1.76 1.76 0 1.4459
2013-10-28 1.81 1.81 1.81 1.81 500 1.487
2013-10-29 1.81 1.81 1.81 1.81 0 1.487
2013-10-30 1.9 1.9 1.9 1.9 500 1.5609
2013-10-31 1.9 1.9 1.9 1.9 0 1.5609
2013-11-01 1.9 1.9 1.9 1.9 0 1.5609
2013-11-04 1.9 1.9 1.9 1.9 0 1.5609
2013-11-05 1.9 1.9 1.9 1.9 0 1.5609
2013-11-06 1.82 1.82 1.8 1.8 4500 1.4787
2013-11-07 1.8 1.8 1.8 1.8 0 1.4787
2013-11-08 1.8 1.8 1.8 1.8 0 1.4787
2013-11-11 1.8 1.8 1.8 1.8 0 1.4787
2013-11-12 1.8 1.8 1.8 1.8 0 1.4787
2013-11-13 1.8 1.8 1.8 1.8 0 1.4787
2013-11-14 1.8 1.8 1.8 1.8 0 1.4787
2013-11-15 1.8 1.8 1.8 1.8 0 1.4787
2013-11-18 1.8 1.8 1.8 1.8 0 1.4787
2013-11-19 1.81 1.81 1.56 1.75 22500 1.4377
2013-11-20 1.75 1.75 1.75 1.75 0 1.4377
2013-11-21 1.7 1.71 1.68 1.71 1700 1.4048
2013-11-22 1.75 1.75 1.75 1.75 2000 1.4377
2013-11-25 1.97 1.97 1.8 1.8 300 1.4787
2013-11-26 1.8 1.8 1.8 1.8 0 1.4787
2013-11-27 1.72 1.72 1.55 1.55 4700 1.2734
2013-11-28 1.62 1.62 1.6 1.6 800 1.3144
2013-11-29 1.75 1.75 1.75 1.75 1100 1.4377
2013-12-02 1.75 1.75 1.75 1.75 0 1.4377
2013-12-03 1.75 1.75 1.75 1.75 0 1.4377
2013-12-04 1.76 1.76 1.5 1.66 4100 1.3637
2013-12-05 1.66 1.66 1.66 1.66 0 1.3637
2013-12-06 1.66 1.66 1.66 1.66 0 1.3637
2013-12-09 1.66 1.66 1.66 1.66 0 1.3637
2013-12-10 1.66 1.66 1.66 1.66 0 1.3637
2013-12-11 1.66 1.66 1.66 1.66 0 1.3637
2013-12-12 1.66 1.66 1.66 1.66 0 1.3637
2013-12-13 1.66 1.66 1.66 1.66 0 1.3637
2013-12-16 1.66 1.66 1.66 1.66 0 1.3637
2013-12-17 1.66 1.66 1.66 1.66 0 1.3637
2013-12-18 1.66 1.66 1.66 1.66 0 1.3637
2013-12-19 1.66 1.66 1.66 1.66 0 1.3637
2013-12-20 1.66 1.66 1.66 1.66 0 1.3637
2013-12-23 1.7 1.7 1.7 1.7 100 1.3966
2013-12-24 1.7 1.7 1.7 1.7 0 1.3966
2013-12-25 1.7 1.7 1.7 1.7 0 1.3966
2013-12-26 1.7 1.7 1.7 1.7 0 1.3966
2013-12-27 1.7 1.7 1.7 1.7 0 1.3966
2013-12-30 1.63 1.63 1.63 1.63 200 1.3391
2013-12-31 1.63 1.63 1.63 1.63 0 1.3391
2014-01-01 1.63 1.63 1.63 1.63 0 1.3391
2014-01-02 1.75 1.75 1.75 1.75 2000 1.4377
2014-01-03 1.75 1.75 1.75 1.75 0 1.4377
2014-01-06 1.75 1.75 1.75 1.75 0 1.4377
2014-01-07 1.75 1.75 1.75 1.75 0 1.4377
2014-01-08 1.75 1.75 1.75 1.75 0 1.4377
2014-01-09 1.75 1.75 1.75 1.75 0 1.4377
2014-01-10 1.75 1.75 1.75 1.75 0 1.4377
2014-01-13 1.75 1.75 1.75 1.75 0 1.4377
2014-01-14 1.75 1.75 1.75 1.75 0 1.4377
2014-01-15 1.75 1.75 1.75 1.75 0 1.4377
2014-01-16 1.75 1.75 1.75 1.75 0 1.4377
2014-01-17 1.75 1.75 1.75 1.75 0 1.4377
2014-01-20 1.75 1.75 1.75 1.75 0 1.4377
2014-01-21 1.75 1.75 1.75 1.75 0 1.4377
2014-01-22 1.75 1.75 1.75 1.75 0 1.4377
2014-01-23 1.76 1.76 1.75 1.75 3000 1.4377
2014-01-24 1.75 1.75 1.75 1.75 0 1.4377
2014-01-27 1.75 1.75 1.75 1.75 0 1.4377
2014-01-28 1.75 1.75 1.75 1.75 0 1.4377
2014-01-29 1.75 1.75 1.75 1.75 0 1.4377
2014-01-30 1.75 1.75 1.75 1.75 0 1.4377
