"Index" "IS.Open" "IS.High" "IS.Low" "IS.Close" "IS.Volume" "IS.Adjusted"
2013-03-01 0.045 0.045 0.045 0.045 0 0.135
2013-03-04 0.045 0.045 0.045 0.045 0 0.135
2013-03-05 0.045 0.045 0.045 0.045 0 0.135
2013-03-06 0.045 0.045 0.045 0.045 0 0.135
2013-03-07 0.045 0.045 0.045 0.045 0 0.135
2013-03-08 0.05 0.05 0.05 0.05 300 0.15
2013-03-11 0.05 0.05 0.05 0.05 1000 0.15
2013-03-12 0.05 0.05 0.05 0.05 0 0.15
2013-03-13 0.05 0.05 0.05 0.05 0 0.15
2013-03-14 0.05 0.05 0.05 0.05 0 0.15
2013-03-15 0.05 0.05 0.05 0.05 1000 0.15
2013-03-18 0.05 0.05 0.05 0.05 0 0.15
2013-03-19 0.05 0.05 0.05 0.05 0 0.15
2013-03-20 0.05 0.05 0.05 0.05 0 0.15
2013-03-21 0.05 0.05 0.05 0.05 0 0.15
2013-03-22 0.05 0.05 0.05 0.05 0 0.15
2013-03-25 0.05 0.05 0.05 0.05 0 0.15
2013-03-26 0.05 0.05 0.05 0.05 0 0.15
2013-03-27 0.05 0.05 0.05 0.05 0 0.15
2013-03-28 0.05 0.05 0.05 0.05 0 0.15
2013-03-29 0.05 0.05 0.05 0.05 0 0.15
2013-04-01 0.05 0.05 0.05 0.05 6800 0.15
2013-04-02 0.05 0.05 0.05 0.05 0 0.15
2013-04-03 0.05 0.05 0.05 0.05 0 0.15
2013-04-04 0.05 0.05 0.05 0.05 0 0.15
2013-04-05 0.05 0.05 0.05 0.05 300 0.15
2013-04-08 0.05 0.05 0.05 0.05 0 0.15
2013-04-09 0.05 0.05 0.05 0.05 0 0.15
2013-04-10 0.05 0.05 0.05 0.05 0 0.15
2013-04-11 0.05 0.05 0.05 0.05 0 0.15
2013-04-12 0.05 0.05 0.05 0.05 0 0.15
2013-04-15 0.05 0.05 0.05 0.05 0 0.15
2013-04-16 0.045 0.045 0.045 0.045 9800 0.135
2013-04-17 0.045 0.045 0.045 0.045 0 0.135
2013-04-18 0.045 0.045 0.045 0.045 1300 0.135
2013-04-19 0.045 0.045 0.045 0.045 0 0.135
2013-04-22 0.045 0.045 0.045 0.045 0 0.135
2013-04-23 0.045 0.045 0.045 0.045 0 0.135
2013-04-24 0.045 0.045 0.045 0.045 0 0.135
2013-04-25 0.045 0.045 0.045 0.045 0 0.135
2013-04-26 0.045 0.045 0.045 0.045 0 0.135
2013-04-29 0.045 0.045 0.045 0.045 0 0.135
2013-04-30 0.045 0.045 0.045 0.045 300 0.135
2013-05-01 0.045 0.045 0.045 0.045 0 0.135
2013-05-02 0.045 0.045 0.045 0.045 0 0.135
2013-05-03 0.045 0.045 0.045 0.045 0 0.135
2013-05-06 0.045 0.045 0.045 0.045 0 0.135
2013-05-07 0.045 0.045 0.045 0.045 0 0.135
2013-05-08 0.045 0.045 0.045 0.045 0 0.135
2013-05-09 0.045 0.045 0.045 0.045 1000 0.135
2013-05-10 0.045 0.045 0.045 0.045 0 0.135
2013-05-13 0.045 0.045 0.045 0.045 0 0.135
2013-05-14 0.045 0.045 0.045 0.045 0 0.135
2013-05-15 0.045 0.045 0.045 0.045 0 0.135
2013-05-16 0.045 0.045 0.045 0.045 0 0.135
2013-05-17 0.045 0.045 0.045 0.045 0 0.135
2013-05-20 0.045 0.045 0.045 0.045 0 0.135
2013-05-21 0.045 0.045 0.045 0.045 0 0.135
2013-05-22 0.045 0.045 0.045 0.045 0 0.135
2013-05-23 0.045 0.045 0.045 0.045 0 0.135
2013-05-24 0.045 0.045 0.045 0.045 0 0.135
2013-05-27 0.045 0.045 0.045 0.045 0 0.135
2013-05-28 0.045 0.045 0.045 0.045 0 0.135
2013-05-29 0.04 0.04 0.04 0.04 400 0.12
2013-05-30 0.04 0.04 0.04 0.04 0 0.12
2013-05-31 0.04 0.04 0.04 0.04 0 0.12
2013-06-03 0.04 0.04 0.04 0.04 7100 0.12
2013-06-04 0.04 0.04 0.04 0.04 6600 0.12
2013-06-05 0.04 0.04 0.04 0.04 0 0.12
2013-06-06 0.04 0.04 0.04 0.04 0 0.12
2013-06-07 0.04 0.04 0.04 0.04 0 0.12
2013-06-10 0.04 0.04 0.04 0.04 0 0.12
2013-06-11 0.04 0.04 0.04 0.04 0 0.12
2013-06-12 0.04 0.04 0.04 0.04 0 0.12
2013-06-13 0.04 0.04 0.04 0.04 0 0.12
2013-06-14 0.04 0.04 0.04 0.04 0 0.12
2013-06-17 0.04 0.04 0.04 0.04 0 0.12
2013-06-18 0.04 0.04 0.04 0.04 0 0.12
2013-06-19 0.04 0.04 0.04 0.04 0 0.12
2013-06-20 0.04 0.04 0.04 0.04 0 0.12
2013-06-21 0.04 0.04 0.04 0.04 0 0.12
2013-06-24 0.04 0.04 0.04 0.04 0 0.12
2013-06-25 0.04 0.04 0.04 0.04 0 0.12
2013-06-26 0.04 0.04 0.04 0.04 0 0.12
2013-06-27 0.04 0.04 0.04 0.04 0 0.12
2013-06-28 0.04 0.04 0.04 0.04 0 0.12
2013-07-01 0.04 0.04 0.04 0.04 0 0.12
2013-07-02 0.04 0.04 0.04 0.04 0 0.12
2013-07-03 0.04 0.04 0.04 0.04 0 0.12
2013-07-04 0.04 0.04 0.04 0.04 0 0.12
2013-07-05 0.04 0.04 0.04 0.04 0 0.12
2013-07-08 0.04 0.04 0.04 0.04 0 0.12
2013-07-09 0.04 0.04 0.04 0.04 0 0.12
2013-07-10 0.04 0.04 0.04 0.04 0 0.12
2013-07-11 0.04 0.04 0.04 0.04 0 0.12
2013-07-12 0.04 0.04 0.04 0.04 0 0.12
2013-07-15 0.04 0.04 0.04 0.04 0 0.12
2013-07-16 0.04 0.04 0.04 0.04 0 0.12
2013-07-17 0.04 0.04 0.04 0.04 0 0.12
2013-07-18 0.04 0.04 0.04 0.04 0 0.12
2013-07-19 0.04 0.04 0.04 0.04 0 0.12
2013-07-22 0.04 0.04 0.04 0.04 0 0.12
2013-07-23 0.04 0.04 0.04 0.04 0 0.12
2013-07-24 0.04 0.04 0.04 0.04 0 0.12
2013-07-25 0.04 0.04 0.04 0.04 0 0.12
2013-07-26 0.04 0.04 0.04 0.04 0 0.12
2013-07-29 0.04 0.04 0.04 0.04 0 0.12
2013-07-30 0.04 0.04 0.04 0.04 0 0.12
2013-07-31 0.04 0.04 0.04 0.04 0 0.12
2013-08-01 0.04 0.04 0.04 0.04 0 0.12
2013-08-02 0.04 0.04 0.04 0.04 0 0.12
2013-08-05 0.04 0.04 0.04 0.04 0 0.12
2013-08-06 0.04 0.04 0.04 0.04 0 0.12
2013-08-07 0.04 0.04 0.04 0.04 0 0.12
2013-08-08 0.04 0.04 0.04 0.04 0 0.12
2013-08-09 0.04 0.04 0.04 0.04 0 0.12
2013-08-12 0.04 0.04 0.04 0.04 0 0.12
2013-08-13 0.04 0.04 0.04 0.04 0 0.12
2013-08-14 0.04 0.04 0.04 0.04 0 0.12
2013-08-15 0.04 0.04 0.04 0.04 0 0.12
2013-08-16 0.04 0.04 0.04 0.04 0 0.12
2013-08-19 0.04 0.04 0.04 0.04 0 0.12
2013-08-20 0.04 0.04 0.04 0.04 0 0.12
2013-08-21 0.04 0.04 0.04 0.04 0 0.12
2013-08-22 0.04 0.04 0.04 0.04 0 0.12
2013-08-23 0.04 0.04 0.04 0.04 0 0.12
2013-08-26 0.04 0.04 0.04 0.04 0 0.12
2013-08-27 0.04 0.04 0.04 0.04 0 0.12
2013-08-28 0.04 0.04 0.04 0.04 0 0.12
2013-08-29 0.04 0.04 0.04 0.04 0 0.12
2013-08-30 0.04 0.04 0.04 0.04 0 0.12
2013-09-02 0.04 0.04 0.04 0.04 0 0.12
2013-09-03 0.02 0.02 0.02 0.02 14300 0.06
2013-09-04 0.02 0.02 0.02 0.02 0 0.06
2013-09-05 0.015 0.015 0.015 0.015 300 0.045
2013-09-06 0.015 0.015 0.015 0.015 0 0.045
2013-09-09 0.015 0.015 0.015 0.015 0 0.045
2013-09-10 0.015 0.015 0.015 0.015 0 0.045
2013-09-11 0.02 0.02 0.02 0.02 1100 0.06
2013-09-12 0.02 0.02 0.02 0.02 0 0.06
2013-09-13 0.02 0.02 0.02 0.02 0 0.06
2013-09-16 0.02 0.02 0.02 0.02 0 0.06
2013-09-17 0.02 0.02 0.02 0.02 0 0.06
2013-09-18 0.02 0.02 0.02 0.02 0 0.06
2013-09-19 0.02 0.02 0.02 0.02 0 0.06
2013-09-20 0.02 0.02 0.02 0.02 0 0.06
2013-09-23 0.02 0.02 0.02 0.02 0 0.06
2013-09-24 0.02 0.02 0.02 0.02 0 0.06
2013-09-25 0.02 0.02 0.02 0.02 0 0.06
2013-09-26 0.02 0.02 0.02 0.02 800 0.06
2013-09-27 0.02 0.02 0.02 0.02 0 0.06
2013-09-30 0.02 0.02 0.02 0.02 0 0.06
2013-10-01 0.02 0.02 0.02 0.02 15200 0.06
2013-10-02 0.02 0.02 0.02 0.02 0 0.06
2013-10-03 0.015 0.015 0.015 0.015 1300 0.045
2013-10-04 0.015 0.015 0.015 0.015 0 0.045
2013-10-07 0.015 0.015 0.015 0.015 0 0.045
2013-10-08 0.015 0.015 0.015 0.015 0 0.045
2013-10-09 0.015 0.015 0.015 0.015 0 0.045
2013-10-10 0.015 0.015 0.015 0.015 0 0.045
2013-10-11 0.015 0.015 0.015 0.015 0 0.045
2013-10-14 0.015 0.015 0.015 0.015 0 0.045
2013-10-15 0.015 0.015 0.015 0.015 0 0.045
2013-10-16 0.015 0.015 0.015 0.015 0 0.045
2013-10-17 0.015 0.015 0.015 0.015 0 0.045
2013-10-18 0.015 0.015 0.015 0.015 0 0.045
2013-10-21 0.015 0.015 0.015 0.015 0 0.045
2013-10-22 0.015 0.015 0.015 0.015 0 0.045
2013-10-23 0.015 0.015 0.015 0.015 600 0.045
2013-10-24 0.015 0.015 0.015 0.015 0 0.045
2013-10-25 0.015 0.015 0.015 0.015 0 0.045
2013-10-28 0.015 0.015 0.015 0.015 0 0.045
2013-10-29 0.015 0.015 0.015 0.015 0 0.045
2013-10-30 0.015 0.015 0.015 0.015 0 0.045
2013-10-31 0.015 0.015 0.015 0.015 0 0.045
2013-11-01 0.02 0.02 0.02 0.02 3300 0.06
2013-11-04 0.02 0.02 0.02 0.02 0 0.06
2013-11-05 0.02 0.02 0.02 0.02 0 0.06
2013-11-06 0.02 0.02 0.02 0.02 0 0.06
2013-11-07 0.015 0.015 0.015 0.015 1800 0.045
2013-11-08 0.02 0.02 0.02 0.02 33300 0.06
2013-11-11 0.02 0.02 0.02 0.02 0 0.06
2013-11-12 0.02 0.02 0.02 0.02 0 0.06
2013-11-13 0.015 0.015 0.015 0.015 1700 0.045
2013-11-14 0.015 0.015 0.015 0.015 0 0.045
2013-11-15 0.015 0.015 0.015 0.015 0 0.045
2013-11-18 0.015 0.02 0.015 0.02 77300 0.06
2013-11-19 0.02 0.02 0.02 0.02 0 0.06
2013-11-20 0.02 0.02 0.02 0.02 0 0.06
2013-11-21 0.015 0.015 0.015 0.015 2000 0.045
2013-11-22 0.015 0.015 0.015 0.015 0 0.045
2013-11-25 0.015 0.015 0.015 0.015 0 0.045
2013-11-26 0.015 0.015 0.015 0.015 0 0.045
2013-11-27 0.015 0.015 0.015 0.015 1100 0.045
2013-11-28 0.015 0.015 0.015 0.015 300 0.045
2013-11-29 0.015 0.015 0.015 0.015 0 0.045
2013-12-02 0.015 0.015 0.015 0.015 0 0.045
2013-12-03 0.015 0.015 0.015 0.015 0 0.045
2013-12-04 0.015 0.015 0.015 0.015 0 0.045
2013-12-05 0.025 0.025 0.025 0.025 300 0.075
2013-12-06 0.025 0.025 0.025 0.025 0 0.075
2013-12-09 0.025 0.025 0.025 0.025 13300 0.075
2013-12-10 0.025 0.025 0.025 0.025 0 0.075
2013-12-11 0.015 0.015 0.015 0.015 300 0.045
2013-12-12 0.015 0.015 0.015 0.015 0 0.045
2013-12-13 0.015 0.015 0.015 0.015 0 0.045
2013-12-16 0.015 0.015 0.015 0.015 0 0.045
2013-12-17 0.015 0.015 0.015 0.015 0 0.045
2013-12-18 0.015 0.015 0.015 0.015 0 0.045
2013-12-19 0.015 0.015 0.015 0.015 0 0.045
2013-12-20 0.015 0.015 0.015 0.015 0 0.045
2013-12-23 0.015 0.015 0.015 0.015 0 0.045
2013-12-24 0.025 0.035 0.025 0.035 31000 0.105
2013-12-25 0.035 0.035 0.035 0.035 0 0.105
2013-12-26 0.035 0.035 0.035 0.035 0 0.105
2013-12-27 0.035 0.035 0.035 0.035 0 0.105
2013-12-30 0.035 0.035 0.035 0.035 0 0.105
2013-12-31 0.035 0.035 0.035 0.035 0 0.105
2014-01-01 0.035 0.035 0.035 0.035 0 0.105
2014-01-02 0.035 0.035 0.035 0.035 0 0.105
2014-01-03 0.035 0.035 0.035 0.035 0 0.105
2014-01-06 0.035 0.035 0.035 0.035 0 0.105
2014-01-07 0.035 0.035 0.035 0.035 0 0.105
2014-01-08 0.035 0.035 0.035 0.035 0 0.105
2014-01-09 0.035 0.035 0.035 0.035 0 0.105
2014-01-10 0.035 0.035 0.035 0.035 0 0.105
2014-01-13 0.035 0.035 0.035 0.035 0 0.105
2014-01-14 0.04 0.04 0.04 0.04 50000 0.12
2014-01-15 0.04 0.04 0.04 0.04 300 0.12
2014-01-16 0.04 0.04 0.04 0.04 0 0.12
2014-01-17 0.04 0.04 0.04 0.04 0 0.12
2014-01-20 0.04 0.04 0.04 0.04 0 0.12
2014-01-21 0.04 0.04 0.04 0.04 0 0.12
2014-01-22 0.04 0.04 0.04 0.04 1000 0.12
2014-01-23 0.04 0.04 0.04 0.04 0 0.12
2014-01-24 0.04 0.04 0.04 0.04 0 0.12
2014-01-27 0.04 0.04 0.04 0.04 0 0.12
2014-01-28 0.04 0.04 0.04 0.04 0 0.12
2014-01-29 0.04 0.04 0.04 0.04 0 0.12
2014-01-30 0.04 0.04 0.04 0.04 0 0.12
2014-01-31 0.04 0.04 0.01 0.025 444300 0.075
2014-02-03 0.025 0.025 0.025 0.025 0 0.075
2014-02-04 0.025 0.025 0.025 0.025 0 0.075
2014-02-05 0.025 0.025 0.025 0.025 0 0.075
2014-02-06 0.025 0.025 0.025 0.025 0 0.075
2014-02-07 0.025 0.025 0.025 0.025 0 0.075
2014-02-10 0.025 0.025 0.025 0.025 0 0.075
2014-02-11 0.025 0.025 0.025 0.025 0 0.075
2014-02-12 0.025 0.025 0.025 0.025 0 0.075
2014-02-13 0.025 0.025 0.025 0.025 0 0.075
2014-02-14 0.025 0.025 0.025 0.025 0 0.075
2014-02-17 0.025 0.025 0.025 0.025 0 0.075
2014-02-18 0.025 0.025 0.025 0.025 0 0.075
2014-02-19 0.025 0.025 0.025 0.025 0 0.075
2014-02-20 0.025 0.025 0.025 0.025 0 0.075
2014-02-21 0.025 0.025 0.025 0.025 0 0.075
2014-02-24 0.025 0.025 0.025 0.025 0 0.075
2014-02-25 0.025 0.025 0.025 0.025 900 0.075
2014-02-26 0.025 0.025 0.025 0.025 1300 0.075
2014-02-27 0.025 0.025 0.025 0.025 0 0.075
2014-02-28 0.025 0.025 0.025 0.025 0 0.075
2014-03-03 0.025 0.025 0.025 0.025 0 0.075
2014-03-04 0.025 0.025 0.025 0.025 2600 0.075
2014-03-05 0.025 0.025 0.025 0.025 0 0.075
2014-03-06 0.025 0.025 0.025 0.025 0 0.075
2014-03-07 0.025 0.025 0.025 0.025 0 0.075
2014-03-10 0.025 0.025 0.025 0.025 0 0.075
2014-03-11 0.025 0.025 0.025 0.025 0 0.075
2014-03-12 0.025 0.025 0.025 0.025 0 0.075
2014-03-13 0.025 0.025 0.025 0.025 0 0.075
2014-03-14 0.025 0.025 0.025 0.025 0 0.075
2014-03-17 0.025 0.025 0.025 0.025 0 0.075
2014-03-18 0.025 0.025 0.025 0.025 0 0.075
2014-03-19 0.025 0.025 0.025 0.025 0 0.075
2014-03-20 0.03 0.03 0.03 0.03 5000 0.09
2014-03-21 0.03 0.03 0.03 0.03 0 0.09
2014-03-24 0.025 0.025 0.025 0.025 1600 0.075
2014-03-25 0.025 0.025 0.025 0.025 0 0.075
2014-03-26 0.025 0.025 0.025 0.025 0 0.075
2014-03-27 0.025 0.025 0.025 0.025 0 0.075
2014-03-28 0.025 0.025 0.025 0.025 0 0.075
2014-03-31 0.025 0.025 0.025 0.025 0 0.075
2014-04-01 0.025 0.025 0.025 0.025 0 0.075
2014-04-02 0.03 0.03 0.03 0.03 11600 0.09
2014-04-03 0.03 0.03 0.03 0.03 0 0.09
2014-04-04 0.04 0.04 0.04 0.04 5100 0.12
2014-04-07 0.04 0.04 0.04 0.04 0 0.12
2014-04-08 0.045 0.045 0.045 0.045 2300 0.135
2014-04-09 0.045 0.05 0.045 0.05 3200 0.15
2014-04-10 0.05 0.05 0.045 0.045 3300 0.135
2014-04-11 0.045 0.045 0.045 0.045 0 0.135
2014-04-14 0.055 0.06 0.055 0.06 2000 0.18
2014-04-15 0.065 0.065 0.065 0.065 1000 0.195
2014-04-16 0.065 0.065 0.065 0.065 0 0.195
2014-04-17 0.065 0.065 0.065 0.065 0 0.195
2014-04-18 0.065 0.065 0.065 0.065 0 0.195
2014-04-21 0.07 0.07 0.07 0.07 3300 0.21
2014-04-22 0.07 0.07 0.055 0.06 41600 0.18
2014-04-23 0.06 0.06 0.06 0.06 2300 0.18
2014-04-24 0.06 0.06 0.06 0.06 0 0.18
2014-04-25 0.06 0.06 0.06 0.06 0 0.18
2014-04-28 0.06 0.06 0.06 0.06 0 0.18
2014-04-29 0.06 0.06 0.06 0.06 0 0.18
2014-04-30 0.06 0.06 0.06 0.06 0 0.18
2014-05-01 0.06 0.06 0.06 0.06 0 0.18
2014-05-02 0.06 0.06 0.06 0.06 700 0.18
2014-05-05 0.06 0.06 0.06 0.06 0 0.18
2014-05-06 0.06 0.06 0.06 0.06 0 0.18
2014-05-07 0.06 0.06 0.06 0.06 0 0.18
2014-05-08 0.06 0.06 0.06 0.06 0 0.18
2014-05-09 0.075 0.075 0.075 0.075 3300 0.225
2014-05-12 0.075 0.075 0.075 0.075 0 0.225
2014-05-13 0.075 0.075 0.075 0.075 500 0.225
2014-05-14 0.075 0.075 0.075 0.075 0 0.225
2014-05-15 0.075 0.075 0.075 0.075 0 0.225
2014-05-16 0.075 0.075 0.075 0.075 0 0.225
2014-05-19 0.075 0.075 0.075 0.075 0 0.225
2014-05-20 0.075 0.075 0.075 0.075 0 0.225
2014-05-21 0.09 0.09 0.09 0.09 1300 0.27
2014-05-22 0.09 0.09 0.09 0.09 0 0.27
2014-05-23 0.09 0.09 0.09 0.09 0 0.27
2014-05-26 0.09 0.09 0.09 0.09 0 0.27
2014-05-27 0.09 0.09 0.09 0.09 0 0.27
2014-05-28 0.09 0.09 0.09 0.09 0 0.27
2014-05-29 0.09 0.09 0.09 0.09 0 0.27
2014-05-30 0.09 0.09 0.09 0.09 0 0.27
2014-06-02 0.09 0.09 0.09 0.09 0 0.27
2014-06-03 0.09 0.09 0.09 0.09 0 0.27
2014-06-04 0.09 0.09 0.09 0.09 0 0.27
2014-06-05 0.09 0.09 0.09 0.09 0 0.27
2014-06-06 0.09 0.09 0.09 0.09 0 0.27
2014-06-09 0.09 0.09 0.09 0.09 0 0.27
2014-06-10 0.08 0.08 0.08 0.08 800 0.24
2014-06-11 0.08 0.08 0.08 0.08 0 0.24
2014-06-12 0.08 0.08 0.08 0.08 0 0.24
2014-06-13 0.08 0.08 0.08 0.08 0 0.24
2014-06-16 0.08 0.08 0.08 0.08 0 0.24
2014-06-17 0.085 0.085 0.085 0.085 41600 0.255
2014-06-18 0.085 0.085 0.085 0.085 0 0.255
2014-06-19 0.085 0.085 0.085 0.085 0 0.255
2014-06-20 0.085 0.085 0.085 0.085 0 0.255
2014-06-23 0.085 0.085 0.085 0.085 0 0.255
2014-06-24 0.085 0.085 0.085 0.085 0 0.255
2014-06-25 0.085 0.085 0.085 0.085 0 0.255
2014-06-26 0.085 0.085 0.085 0.085 0 0.255
2014-06-27 0.085 0.085 0.085 0.085 0 0.255
2014-06-30 0.085 0.085 0.085 0.085 0 0.255
2014-07-01 0.085 0.085 0.085 0.085 0 0.255
2014-07-02 0.085 0.085 0.085 0.085 0 0.255
2014-07-03 0.085 0.085 0.085 0.085 0 0.255
2014-07-04 0.085 0.085 0.085 0.085 0 0.255
2014-07-07 0.085 0.085 0.085 0.085 0 0.255
2014-07-08 0.085 0.085 0.085 0.085 0 0.255
2014-07-09 0.085 0.085 0.085 0.085 0 0.255
2014-07-10 0.085 0.085 0.085 0.085 0 0.255
2014-07-11 0.085 0.085 0.085 0.085 0 0.255
2014-07-14 0.085 0.085 0.085 0.085 0 0.255
2014-07-15 0.085 0.085 0.085 0.085 0 0.255
2014-07-16 0.085 0.085 0.085 0.085 0 0.255
2014-07-17 0.085 0.085 0.085 0.085 0 0.255
2014-07-18 0.085 0.085 0.085 0.085 0 0.255
2014-07-21 0.085 0.085 0.085 0.085 0 0.255
2014-07-22 0.085 0.085 0.085 0.085 0 0.255
2014-07-23 0.085 0.085 0.085 0.085 0 0.255
2014-07-24 0.085 0.085 0.085 0.085 0 0.255
2014-07-25 0.085 0.085 0.085 0.085 0 0.255
2014-07-28 0.085 0.085 0.085 0.085 0 0.255
2014-07-29 0.085 0.085 0.085 0.085 300 0.255
2014-07-30 0.085 0.085 0.085 0.085 0 0.255
2014-07-31 0.085 0.085 0.085 0.085 0 0.255
2014-08-01 0.085 0.085 0.085 0.085 0 0.255
2014-08-04 0.085 0.085 0.085 0.085 0 0.255
2014-08-05 0.085 0.085 0.085 0.085 0 0.255
2014-08-06 0.085 0.085 0.085 0.085 0 0.255
2014-08-07 0.085 0.085 0.085 0.085 0 0.255
2014-08-08 0.085 0.085 0.085 0.085 0 0.255
2014-08-11 0.085 0.085 0.085 0.085 0 0.255
2014-08-12 0.085 0.085 0.085 0.085 0 0.255
2014-08-13 0.085 0.085 0.085 0.085 0 0.255
2014-08-14 0.085 0.085 0.085 0.085 0 0.255
2014-08-15 0.085 0.085 0.085 0.085 0 0.255
2014-08-18 0.075 0.075 0.075 0.075 700 0.225
2014-08-19 0.075 0.075 0.075 0.075 0 0.225
2014-08-20 0.075 0.075 0.075 0.075 0 0.225
2014-08-21 0.075 0.075 0.075 0.075 7500 0.225
2014-08-22 0.075 0.075 0.075 0.075 0 0.225
2014-08-25 0.075 0.075 0.075 0.075 0 0.225
2014-08-26 0.075 0.075 0.075 0.075 0 0.225
2014-08-27 0.075 0.075 0.075 0.075 0 0.225
2014-08-28 0.075 0.075 0.075 0.075 0 0.225
2014-08-29 0.075 0.075 0.075 0.075 0 0.225
2014-09-01 0.075 0.075 0.075 0.075 0 0.225
2014-09-02 0.075 0.075 0.075 0.075 0 0.225
2014-09-03 0.075 0.075 0.075 0.075 0 0.225
2014-09-04 0.075 0.075 0.075 0.075 0 0.225
2014-09-05 0.075 0.075 0.075 0.075 0 0.225
2014-09-08 0.075 0.075 0.075 0.075 0 0.225
2014-09-09 0.075 0.075 0.075 0.075 0 0.225
2014-09-10 0.075 0.075 0.075 0.075 0 0.225
2014-09-11 0.075 0.075 0.075 0.075 0 0.225
2014-09-12 0.075 0.075 0.075 0.075 0 0.225
2014-09-15 0.075 0.075 0.075 0.075 0 0.225
2014-09-16 0.075 0.075 0.075 0.075 0 0.225
2014-09-17 0.075 0.075 0.075 0.075 0 0.225
2014-09-18 0.07 0.07 0.07 0.07 3000 0.21
2014-09-19 0.07 0.07 0.07 0.07 5300 0.21
2014-09-22 0.07 0.07 0.07 0.07 0 0.21
2014-09-23 0.07 0.07 0.07 0.07 1300 0.21
2014-09-24 0.06 0.06 0.06 0.06 700 0.18
2014-09-25 0.06 0.06 0.06 0.06 0 0.18
2014-09-26 0.06 0.06 0.06 0.06 0 0.18
2014-09-29 0.06 0.06 0.06 0.06 2300 0.18
2014-09-30 0.06 0.06 0.06 0.06 0 0.18
2014-10-01 0.06 0.06 0.06 0.06 0 0.18
2014-10-02 0.06 0.06 0.06 0.06 0 0.18
2014-10-03 0.06 0.06 0.06 0.06 800 0.18
2014-10-06 0.06 0.06 0.06 0.06 0 0.18
2014-10-07 0.06 0.06 0.06 0.06 0 0.18
2014-10-08 0.06 0.06 0.04 0.04 2000 0.12
2014-10-09 0.04 0.04 0.04 0.04 0 0.12
2014-10-10 0.04 0.04 0.04 0.04 0 0.12
2014-10-13 0.04 0.04 0.04 0.04 0 0.12
2014-10-14 0.04 0.04 0.04 0.04 0 0.12
2014-10-15 0.04 0.04 0.04 0.04 0 0.12
2014-10-16 0.04 0.04 0.04 0.04 0 0.12
2014-10-17 0.04 0.04 0.04 0.04 0 0.12
2014-10-20 0.04 0.04 0.04 0.04 0 0.12
2014-10-21 0.04 0.04 0.04 0.04 0 0.12
2014-10-22 0.04 0.04 0.02 0.02 1300 0.06
2014-10-23 0.02 0.02 0.02 0.02 0 0.06
2014-10-24 0.02 0.02 0.02 0.02 0 0.06
2014-10-27 0.02 0.02 0.02 0.02 0 0.06
2014-10-28 0.04 0.045 0.04 0.045 4600 0.135
2014-10-29 0.045 0.045 0.045 0.045 0 0.135
