"Index" "USD.CZK"
2014-01-09 20.1954
2014-01-10 20.1121
2014-01-11 20.048
2014-01-12 20.0453
2014-01-13 20.0372
2014-01-14 20.0321
2014-01-15 20.1345
2014-01-16 20.1826
2014-01-17 20.2272
2014-01-18 20.2844
2014-01-19 20.2837
2014-01-20 20.2964
2014-01-21 20.3402
2014-01-22 20.3127
2014-01-23 20.1927
2014-01-24 20.0829
2014-01-25 20.0829
2014-01-26 20.0984
2014-01-27 20.1011
2014-01-28 20.1172
2014-01-29 20.1454
2014-01-30 20.2569
2014-01-31 20.3701
2014-02-01 20.4035
2014-02-02 20.4076
2014-02-03 20.3988
2014-02-04 20.3845
2014-02-05 20.3718
2014-02-06 20.3153
2014-02-07 20.2418
2014-02-08 20.1916
2014-02-09 20.2188
2014-02-10 20.1919
2014-02-11 20.1478
2014-02-12 20.2092
2014-02-13 20.1749
2014-02-14 20.0478
2014-02-15 20.0093
2014-02-16 19.9813
2014-02-17 19.9911
2014-02-18 19.9439
2014-02-19 19.8971
2014-02-20 19.9602
2014-02-21 19.9558
2014-02-22 19.9136
2014-02-23 19.9166
2014-02-24 19.9179
2014-02-25 19.8957
2014-02-26 19.9189
2014-02-27 19.979
2014-02-28 19.8759
2014-03-01 19.7963
2014-03-02 19.8066
2014-03-03 19.8601
2014-03-04 19.9054
2014-03-05 19.9196
2014-03-06 19.8586
2014-03-07 19.7175
2014-03-08 19.7139
2014-03-09 19.7155
2014-03-10 19.7031
2014-03-11 19.7281
2014-03-12 19.7191
2014-03-13 19.6533
2014-03-14 19.7026
2014-03-15 19.6629
2014-03-16 19.6648
2014-03-17 19.678
2014-03-18 19.6836
2014-03-19 19.7306
2014-03-20 19.9095
2014-03-21 19.9134
2014-03-22 19.8911
2014-03-23 19.8905
2014-03-24 19.8874
2014-03-25 19.8368
2014-03-26 19.8579
2014-03-27 19.9167
2014-03-28 19.9426
2014-03-29 19.9492
2014-03-30 19.9461
2014-03-31 19.9271
2014-04-01 19.9159
2014-04-02 19.9167
2014-04-03 19.969
2014-04-04 20.0189
2014-04-05 20.029
2014-04-06 20.0288
2014-04-07 19.9917
2014-04-08 19.9131
2014-04-09 19.8575
2014-04-10 19.7804
2014-04-11 19.7573
2014-04-12 19.7758
2014-04-13 19.8401
2014-04-14 19.8465
2014-04-15 19.8843
2014-04-16 19.868
2014-04-17 19.8632
2014-04-18 19.8707
2014-04-19 19.8838
2014-04-20 19.8839
2014-04-21 19.8811
2014-04-22 19.901
2014-04-23 19.8715
2014-04-24 19.8565
2014-04-25 19.8312
2014-04-26 19.8239
2014-04-27 19.8278
2014-04-28 19.8158
2014-04-29 19.8189
2014-04-30 19.8444
2014-05-01 19.7932
2014-05-02 19.8059
2014-05-03 19.7837
2014-05-04 19.7814
2014-05-05 19.7799
2014-05-06 19.7241
2014-05-07 19.6978
2014-05-08 19.7191
2014-05-09 19.8401
2014-05-10 19.899
2014-05-11 19.9081
2014-05-12 19.9057
2014-05-13 19.9568
2014-05-14 20.0093
2014-05-15 20.0395
2014-05-16 20.026
2014-05-17 20.0355
2014-05-18 20.0382
2014-05-19 20.0322
2014-05-20 20.0528
2014-05-21 20.0757
2014-05-22 20.0913
2014-05-23 20.1198
2014-05-24 20.1173
2014-05-25 20.1219
2014-05-26 20.1134
2014-05-27 20.1016
2014-05-28 20.1576
2014-05-29 20.2015
2014-05-30 20.1752
2014-05-31 20.1647
2014-06-01 20.1614
2014-06-02 20.19
2014-06-03 20.1878
2014-06-04 20.1725
2014-06-05 20.1806
2014-06-06 20.1322
2014-06-07 20.1251
2014-06-08 20.1253
2014-06-09 20.1523
2014-06-10 20.2285
2014-06-11 20.2753
2014-06-12 20.2561
2014-06-13 20.2404
2014-06-14 20.2704
2014-06-15 20.271
2014-06-16 20.2527
2014-06-17 20.2356
2014-06-18 20.254
2014-06-19 20.176
2014-06-20 20.1747
2014-06-21 20.1772
2014-06-22 20.1803
2014-06-23 20.188
2014-06-24 20.1746
2014-06-25 20.1454
2014-06-26 20.1491
2014-06-27 20.1533
2014-06-28 20.1218
2014-06-29 20.1225
2014-06-30 20.0935
2014-07-01 20.0507
2014-07-02 20.0765
2014-07-03 20.1169
2014-07-04 20.1777
2014-07-05 20.184
2014-07-06 20.184
2014-07-07 20.1842
2014-07-08 20.1711
2014-07-09 20.1484
2014-07-10 20.136
2014-07-11 20.1691
2014-07-12 20.1599
2014-07-13 20.1614
2014-07-14 20.1502
2014-07-15 20.1696
2014-07-16 20.2543
2014-07-17 20.2888
2014-07-18 20.2942
2014-07-19 20.284
2014-07-20 20.2867
2014-07-21 20.3012
2014-07-22 20.359
2014-07-23 20.3991
2014-07-24 20.3982
2014-07-25 20.4275
2014-07-26 20.4594
2014-07-27 20.4575
2014-07-28 20.4517
2014-07-29 20.471
2014-07-30 20.5365
2014-07-31 20.6041
2014-08-01 20.6412
2014-08-02 20.6032
2014-08-03 20.603
2014-08-04 20.606
2014-08-05 20.669
2014-08-06 20.8105
2014-08-07 20.7919
2014-08-08 20.7876
2014-08-09 20.7777
2014-08-10 20.7784
2014-08-11 20.7954
2014-08-12 20.8418
2014-08-13 20.8402
2014-08-14 20.8351
2014-08-15 20.82
2014-08-16 20.8206
2014-08-17 20.8163
2014-08-18 20.8627
2014-08-19 20.9363
2014-08-20 21.0083
2014-08-21 20.9991
2014-08-22 20.9742
2014-08-23 21.0513
2014-08-24 21.0973
2014-08-25 21.0924
2014-08-26 21.0741
2014-08-27 21.0354
2014-08-28 21.0332
2014-08-29 21.0966
2014-08-30 21.1211
2014-08-31 21.1129
2014-09-01 21.1208
2014-09-02 21.1448
2014-09-03 21.0858
2014-09-04 21.1504
2014-09-05 21.3298
2014-09-06 21.2964
2014-09-07 21.3025
2014-09-08 21.3437
2014-09-09 21.4419
2014-09-10 21.4236
2014-09-11 21.3727
2014-09-12 21.3424
2014-09-13 21.2749
2014-09-14 21.2727
2014-09-15 21.3028
2014-09-16 21.2753
2014-09-17 21.2627
2014-09-18 21.3708
2014-09-19 21.3843
2014-09-20 21.4633
2014-09-21 21.4704
2014-09-22 21.4388
2014-09-23 21.3939
2014-09-24 21.4549
2014-09-25 21.5813
2014-09-26 21.6211
2014-09-27 21.6871
2014-09-28 21.7037
2014-09-29 21.7027
2014-09-30 21.7482
2014-10-01 21.7937
2014-10-02 21.7336
2014-10-03 21.8111
2014-10-04 21.9585
2014-10-05 21.9583
2014-10-06 21.8896
2014-10-07 21.7388
2014-10-08 21.6899
2014-10-09 21.5808
2014-10-10 21.7061
2014-10-11 21.7897
2014-10-12 21.788
2014-10-13 21.7156
2014-10-14 21.7078
2014-10-15 21.7026
2014-10-16 21.512
2014-10-17 21.4928
2014-10-18 21.5557
2014-10-19 21.5568
2014-10-20 21.5652
2014-10-21 21.5944
2014-10-22 21.7758
2014-10-23 21.9023
2014-10-24 21.8726
2014-10-25 21.8362
2014-10-26 21.8207
2014-10-27 21.8156
2014-10-28 21.8188
2014-10-29 21.8225
2014-10-30 21.9722
2014-10-31 22.1979
2014-11-01 22.2001
2014-11-02 22.2334
2014-11-03 22.2575
2014-11-04 22.1828
2014-11-05 22.2052
2014-11-06 22.2842
2014-11-07 22.3656
2014-11-08 22.2585
2014-11-09 22.2537
2014-11-10 22.1938
2014-11-11 22.1971
2014-11-12 22.1566
2014-11-13 22.1858
2014-11-14 22.1818
2014-11-15 22.1182
2014-11-16 22.1184
2014-11-17 22.1456
2014-11-18 22.1411
2014-11-19 22.0949
2014-11-20 22.0687
2014-11-21 22.1815
2014-11-22 22.3392
2014-11-23 22.3713
2014-11-24 22.2721
2014-11-25 22.1663
2014-11-26 22.0992
2014-11-27 22.0992
2014-11-28 22.0992
2014-11-29 22.0992
2014-11-30 22.1875
2014-12-01 22.1576
2014-12-02 22.1965
2014-12-03 22.3732
2014-12-04 22.3812
2014-12-05 22.365
2014-12-06 22.4704
2014-12-07 22.4789
2014-12-08 22.4687
2014-12-09 22.3584
2014-12-10 22.277
2014-12-11 22.2201
2014-12-12 22.208
2014-12-13 22.1332
2014-12-14 22.1054
2014-12-15 22.1621
2014-12-16 22.0921
2014-12-17 22.1541
2014-12-18 22.4183
2014-12-19 22.505
2014-12-20 22.6123
2014-12-21 22.6136
2014-12-22 22.5372
2014-12-23 22.6376
2014-12-24 22.7571
2014-12-25 22.7325
2014-12-26 22.7643
2014-12-27 22.741
