"Index" "ZAR.Open" "ZAR.High" "ZAR.Low" "ZAR.Close" "ZAR.Volume" "ZAR.Adjusted"
2013-05-24 80.95 80.95 80.95 80.95 0 80.95
2013-05-27 80.45 80.45 80.45 80.45 0 80.45
2013-05-28 80.95 80.95 80.95 80.95 0 80.95
2013-05-29 81.95 81.95 81.95 81.95 0 81.95
2013-05-30 82.16 82.16 82.16 82.16 0 82.16
2013-05-31 80.46 81.65 80.46 81.65 0 81.65
2013-06-03 81.15 81.15 80.95 80.95 0 80.95
2013-06-04 80.95 80.95 80.95 80.95 0 80.95
2013-06-05 80.95 80.95 80.95 80.95 0 80.95
2013-06-06 80.95 80.95 80.95 80.95 0 80.95
2013-06-07 79.05 79.05 79.05 79.05 0 79.05
2013-06-10 78.95 78.95 78.95 78.95 0 78.95
2013-06-11 78.95 78.95 78.95 78.95 0 78.95
2013-06-12 78.95 78.95 78.95 78.95 0 78.95
2013-06-13 79.45 79.45 79.45 79.45 0 79.45
2013-06-14 79.05 79.46 79.05 79.46 0 79.46
2013-06-17 79.46 79.46 79.46 79.46 0 79.46
2013-06-18 79.7 79.7 79.7 79.7 0 79.7
2013-06-19 79.95 81.05 79.95 81.05 0 81.05
2013-06-20 79.95 79.95 79.95 79.95 0 79.95
2013-06-21 79.95 79.95 79.95 79.95 0 79.95
2013-06-24 79.75 79.75 79.75 79.75 0 79.75
2013-06-25 79.2 79.2 79.2 79.2 0 79.2
2013-06-26 79.2 79.2 79.2 79.2 0 79.2
2013-06-27 79.2 79.2 79.2 79.2 0 79.2
2013-06-28 79.45 79.45 79.45 79.45 0 79.45
2013-07-01 78.96 78.96 78.96 78.96 0 78.96
2013-07-02 79.45 79.45 79.45 79.45 0 79.45
2013-07-03 79.95 79.95 79.95 79.95 0 79.95
2013-07-04 79.46 79.46 79.46 79.46 0 79.46
2013-07-05 79.95 79.95 79.95 79.95 0 79.95
2013-07-08 79.95 79.95 79.95 79.95 0 79.95
2013-07-09 79.95 79.95 79.95 79.95 0 79.95
2013-07-10 79.95 80.45 79.95 80.45 0 80.45
2013-07-11 80.45 80.7 80.45 80.7 0 80.7
2013-07-12 80.7 80.7 80.7 80.7 0 80.7
2013-07-15 80.7 81.45 80.7 81.45 0 81.45
2013-07-16 81.45 81.45 81.45 81.45 0 81.45
2013-07-17 81.45 81.45 81.45 81.45 0 81.45
2013-07-18 81.45 81.95 81.45 81.95 0 81.95
2013-07-19 81.95 81.95 81.95 81.95 0 81.95
2013-07-22 81.95 81.95 81.95 81.95 0 81.95
2013-07-23 81.95 81.95 81.95 81.95 0 81.95
2013-07-24 82.45 82.45 81.95 81.95 0 81.95
2013-07-25 81.95 81.95 81.95 81.95 0 81.95
