"Index" "PH.Open" "PH.High" "PH.Low" "PH.Close" "PH.Volume" "PH.Adjusted"
2013-08-16 103.519997 104.879997 103.389999 103.400002 1126700 98.542175
2013-08-19 102.839996 104.169998 102.339996 102.459999 992700 97.646334
2013-08-20 102.370003 103 101.660004 102.389999 870600 97.579623
2013-08-21 102.150002 102.660004 101.519997 101.779999 653100 96.998281
2013-08-22 102.129997 104.529999 102.110001 103.699997 555600 98.828076
2013-08-23 103.739998 104.959999 102.25 103.089996 491900 98.674923
2013-08-26 103.290001 103.760002 102.480003 102.5 440300 98.110195
2013-08-27 101.239998 101.620003 100.239998 100.519997 674800 96.21499
2013-08-28 100.650002 101.470001 100.160004 100.629997 580100 96.320279
2013-08-29 100.459999 101.529999 100.43 100.800003 631200 96.483004
2013-08-30 101.239998 101.330002 99.75 99.949997 568000 95.669402
2013-09-03 101.989998 102.449997 100.32 100.989998 1054800 96.664862
2013-09-04 100.879997 102.139999 100.879997 102.099998 692400 97.727324
2013-09-05 101.010002 103.510002 100.790001 103.07 794000 98.655783
2013-09-06 103.550003 104.620003 102.269997 103.220001 820000 98.79936
2013-09-09 103.889999 105.360001 103.889999 104.760002 952600 100.273407
2013-09-10 105.610001 107.169998 105.57 105.809998 1186000 101.278434
2013-09-11 105.459999 105.809998 104.239998 105 1196800 100.503126
2013-09-12 104.959999 105.089996 104.309998 104.529999 919800 100.053254
2013-09-13 104.669998 104.980003 103.720001 104.360001 616800 99.890536
2013-09-16 105.110001 105.779999 104.660004 104.980003 924000 100.483986
2013-09-17 104.970001 105.529999 104.610001 105.220001 569200 100.713706
2013-09-18 105.300003 107.650002 104.889999 107.589996 794900 102.9822
2013-09-19 107.769997 108.959999 107.589996 108.160004 713500 103.527795
2013-09-20 108.68 108.839996 107.349998 107.540001 964200 102.934346
2013-09-23 107.089996 107.300003 106.07 106.349998 883900 101.795308
2013-09-24 106.309998 109.019997 106.309998 108.709999 1316200 104.054236
2013-09-25 108.849998 109.580002 108.349998 109.139999 1362500 104.46582
2013-09-26 109.040001 110.209999 108.959999 109.919998 1112400 105.212414
2013-09-27 109.059998 109.760002 108.699997 108.949997 655800 104.283955
2013-09-30 107.660004 109.029999 107.510002 108.720001 793900 104.06381
2013-10-01 109.269997 109.93 108.809998 109.349998 951900 104.666826
2013-10-02 108.75 108.940002 107.75 108.839996 788500 104.178666
2013-10-03 108.629997 108.68 106.279999 106.970001 916900 102.388758
2013-10-04 107.099998 107.730003 106.809998 107.580002 572900 102.972634
2013-10-07 106.190002 107.029999 106.099998 106.260002 570500 101.709166
2013-10-08 106.330002 106.480003 104.199997 104.279999 1066400 99.813961
2013-10-09 104.040001 104.620003 103.360001 103.970001 1042800 99.51724
2013-10-10 105.209999 107.190002 105.099998 107.059998 1077500 102.4749
2013-10-11 107.260002 107.970001 106.989998 107.779999 721600 103.164065
2013-10-14 107 108.169998 106.349998 107.959999 1546900 103.336356
2013-10-15 107.330002 107.57 104.989998 105.639999 1303900 101.115716
2013-10-16 106 106.169998 104.470001 105.639999 1343900 101.115716
2013-10-17 105.400002 107.040001 105 106.82 1179800 102.24518
2013-10-18 109.639999 113.870003 109.360001 112.410004 3278800 107.595779
2013-10-21 113.480003 115.559998 113.099998 115.059998 2019500 110.132281
2013-10-22 110.620003 116.260002 109.889999 114.309998 1060800 109.414401
2013-10-23 113.629997 113.800003 112.389999 113.57 628600 108.706096
2013-10-24 113.760002 114.949997 113.110001 114.410004 727000 109.510124
2013-10-25 114.32 116.440002 113.400002 116.419998 1881300 111.434036
2013-10-28 116.059998 116.629997 115.720001 116.470001 1325200 111.481898
2013-10-29 116.489998 116.989998 115.610001 116.849998 754500 111.845621
2013-10-30 116.849998 117.050003 115.269997 115.620003 721500 110.668302
2013-10-31 115.830002 117.940002 115.300003 116.720001 778900 111.721191
2013-11-01 116.510002 117.529999 115.489998 115.989998 1096900 111.022452
2013-11-04 116.400002 116.989998 115.779999 116.309998 621200 111.328747
2013-11-05 115.919998 116.620003 114.910004 115.940002 544700 110.974597
2013-11-06 116.25 116.529999 115.209999 115.940002 681800 111.407005
2013-11-07 116.790001 116.870003 114.269997 114.529999 1152200 110.052129
2013-11-08 114.68 116.5 114.68 116.129997 938500 111.589571
2013-11-11 116.110001 117.019997 115.870003 116.5 673800 111.945108
2013-11-12 116.510002 116.989998 115.919998 116.110001 883500 111.570357
2013-11-13 115.650002 117.010002 115.410004 117 658800 112.425559
2013-11-14 117 117.300003 116.199997 116.830002 662100 112.262207
2013-11-15 117.099998 117.610001 116.419998 117.610001 943300 113.01171
2013-11-18 118.199997 118.860001 116.580002 116.919998 857400 112.348685
2013-11-19 116.639999 116.949997 115.099998 115.360001 779300 110.84968
2013-11-20 116.050003 116.050003 114.440002 114.830002 621300 110.340403
2013-11-21 115 116.830002 115 116.709999 775800 112.146897
2013-11-22 116.589996 118.639999 116.199997 118.620003 1288200 113.982223
2013-11-25 118.779999 120.120003 118.370003 118.68 1096200 114.039875
2013-11-26 118.470001 119.040001 117.709999 117.779999 937600 113.175062
2013-11-27 118.470001 118.589996 117.959999 118.25 534700 113.626687
2013-11-29 118.410004 119 117.629997 117.839996 217700 113.232713
2013-12-02 117.82 118.290001 116.870003 117.239998 717000 112.656174
2013-12-03 117 117.019997 115.720001 116.540001 926600 111.983545
2013-12-04 115.940002 117.110001 115.190002 116.709999 1186500 112.146897
2013-12-05 116.32 117.610001 116.209999 116.510002 1379100 111.954719
2013-12-06 119.739998 121.580002 118.959999 121.099998 1246000 116.365257
2013-12-09 121.209999 122.519997 120.279999 120.790001 921900 116.067379
2013-12-10 119.550003 120.730003 119.480003 119.690002 894500 115.010388
2013-12-11 114.32 119.839996 114.32 117.989998 1121800 113.37685
2013-12-12 118.389999 118.919998 117.639999 118.269997 1227600 113.645902
2013-12-13 118.75 119.589996 118.150002 118.970001 1136000 114.318538
2013-12-16 119.209999 121.089996 119.209999 120.480003 708900 115.769502
2013-12-17 120.480003 120.769997 119.589996 119.919998 750400 115.231392
2013-12-18 120.32 122.57 119.129997 122.5 967600 117.710521
2013-12-19 122.290001 124.010002 121.800003 123.870003 1063200 119.02696
2013-12-20 124.669998 126.25 123.910004 126.209999 1750100 121.275468
2013-12-23 126.919998 126.959999 125.790001 126.199997 1016500 121.265856
2013-12-24 126.199997 127.389999 125.970001 127.209999 279800 122.23637
2013-12-26 127.339996 128.330002 127.239998 127.879997 521300 122.880172
2013-12-27 128.320007 128.490005 127.669998 128.110001 493800 123.101183
2013-12-30 127.970001 128.889999 127.970001 128.880005 575600 123.841082
2013-12-31 129.610001 129.770004 128.289993 128.639999 455900 123.61046
2014-01-02 128.100006 128.779999 126.989998 127.239998 806800 122.265196
2014-01-03 127.550003 128.460007 126.940002 127.25 683300 122.274807
2014-01-06 127.769997 128.160004 125.839996 125.849998 945300 120.929542
2014-01-07 126.860001 128.039993 126.610001 127.629997 765000 122.639947
2014-01-08 127.279999 128.059998 126.360001 127.68 895100 122.687995
2014-01-09 127.68 128.490005 126.32 126.93 749700 121.967318
2014-01-10 128.169998 128.169998 126.239998 127.199997 1036300 122.226759
2014-01-13 126.419998 127.779999 125.260002 125.620003 1189500 120.708539
2014-01-14 126.470001 128.050003 125.980003 127.760002 947800 122.764869
2014-01-15 128.139999 129.039993 128 128.960007 758300 123.917956
2014-01-16 128.220001 129.25 128.110001 129.169998 861600 124.119737
2014-01-17 129.25 129.399994 127.32 127.43 1531200 122.447769
2014-01-21 128.380005 128.970001 126.050003 126.82 1790100 121.861618
2014-01-22 123.519997 124.5 121.529999 122.419998 2854700 117.633647
2014-01-23 120.919998 121.410004 118.510002 118.75 2042600 114.107138
2014-01-24 118.410004 118.57 114.629997 114.629997 1642900 110.148218
2014-01-27 115.540001 115.980003 112.980003 114.379997 1861700 109.907993
2014-01-28 114.82 116.400002 114.620003 115.230003 2823200 110.724765
2014-01-29 114.410004 115.980003 113.900002 114 1085700 109.542852
2014-01-30 114.580002 115.040001 114.18 114.550003 1320900 110.071352
2014-01-31 114.260002 114.260002 111.940002 113.370003 1122400 108.937487
2014-02-03 113.209999 113.709999 109.120003 109.389999 2473700 105.113093
2014-02-04 109.870003 111.68 108.660004 110.889999 1795500 106.554446
2014-02-05 111.110001 112.879997 110.209999 112.620003 1705900 108.21681
2014-02-06 111.93 114.370003 111.93 114.279999 1637200 110.28194
2014-02-07 114.93 119.029999 114.739998 118.669998 3005200 114.518356
2014-02-10 118.290001 118.32 115.330002 115.580002 1727700 111.536462
2014-02-11 115.910004 116.739998 114.980003 116.510002 1575900 112.433927
2014-02-12 116.639999 117.660004 116.32 117.209999 760400 113.109435
2014-02-13 114.970001 117.830002 114.970001 116.760002 1131600 112.675181
2014-02-14 117.029999 118.269997 116.449997 117.849998 890500 113.727044
2014-02-18 118.260002 118.860001 117.470001 117.879997 946100 113.755993
2014-02-19 117.589996 118.910004 116.690002 116.75 1207300 112.665528
2014-02-20 116.82 118.480003 116.769997 117.790001 1304500 113.669145
2014-02-21 118.150002 118.75 117.709999 117.769997 871400 113.649841
2014-02-24 117.949997 119.440002 117.949997 118.639999 1291300 114.489407
