"Index" "GCI.Open" "GCI.High" "GCI.Low" "GCI.Close" "GCI.Volume" "GCI.Adjusted"
2015-08-04 12.79 13.06 12.15 12.31 1409300 12.155158
2015-08-05 12.32 12.52 12.03 12.08 1548400 11.92805
2015-08-06 12.07 12.08 11.73 11.99 1771500 11.839182
2015-08-07 11.96 12.84 11.96 12.81 919100 12.648868
2015-08-10 12.95 13.17 12.73 12.97 1280400 12.806856
2015-08-11 12.9 12.96 12.44 12.9 1966000 12.737736
2015-08-12 12.8 13.6 12.18 13.26 1964200 13.093208
2015-08-13 13.27 13.75 13.06 13.48 1421200 13.31044
2015-08-14 13.42 13.42 12.82 13.04 1260700 12.875975
2015-08-17 13.03 13.665 13 13.51 1800000 13.340063
2015-08-18 13.45 13.62 13.18 13.5 1004100 13.330189
2015-08-19 13.4 13.46 12.82 13.18 941000 13.014214
2015-08-20 13.03 13.05 12.59 12.76 924500 12.599497
2015-08-21 12.73 13.19 12.54 12.78 1584100 12.619245
2015-08-24 12.04 12.32 11.85 12.32 1413700 12.165031
2015-08-25 12.6 12.68 12.09 12.1 1117200 11.947799
2015-08-26 12.36 12.6 12.04 12.4 1276900 12.244025
2015-08-27 12.5 12.76 11.84 12.05 1498400 11.898428
2015-08-28 11.99 12.6 11.98 12.58 1446500 12.421761
2015-08-31 12.65 13.91 12.57 13.11 1660400 12.945094
2015-09-01 12.71 13.24 12.62 12.72 2360600 12.56
2015-09-02 12.56 13.34 12.56 13.24 1268300 13.24
2015-09-03 13.33 13.64 13.208 13.51 1097700 13.51
2015-09-04 13.21 13.63 13.21 13.47 1031600 13.47
2015-09-08 13.75 13.98 13.54 13.65 2193300 13.65
2015-09-09 13.75 13.816 13.13 13.16 1322600 13.16
2015-09-10 13.36 13.36 12.918 13.16 1152400 13.16
2015-09-11 13.11 13.22 12.93 13.1 987100 13.1
2015-09-14 13.12 13.365 13.06 13.28 935200 13.28
2015-09-15 13.3 13.62 13.12 13.29 1739800 13.29
2015-09-16 13.37 13.45 13.22 13.41 1118300 13.41
2015-09-17 13.44 13.94 13.15 13.74 1173900 13.74
2015-09-18 13.74 13.74 13.09 13.16 2082300 13.16
2015-09-21 13.29 13.37 13.04 13.16 1122900 13.16
2015-09-22 13.04 13.31 12.98 13.29 877700 13.29
2015-09-23 13.33 13.87 13.25 13.51 836100 13.51
2015-09-24 13.46 13.85 13.3 13.83 1107000 13.83
2015-09-25 13.89 14.26 13.76 14 1685100 14
2015-09-28 13.95 14.055 13.77 13.84 1342500 13.84
2015-09-29 13.94 14.355 13.76 14.32 1134400 14.32
2015-09-30 14.53 14.75 14.14 14.73 1327500 14.73
2015-10-01 14.8 14.87 13.853 14.58 1384300 14.58
2015-10-02 14.64 15.49 14.18 15.42 1528400 15.42
2015-10-05 15.45 15.8 14.6 14.89 3961400 14.89
2015-10-06 14.95 15.09 14.36 14.4 1449300 14.4
2015-10-07 14.47 15 14.41 14.94 1853200 14.94
2015-10-08 15.56 16 14.915 15.2 2925400 15.2
2015-10-09 15.2 15.2 14.392 15.11 1194700 15.11
2015-10-12 15.16 15.27 15.02 15.06 691600 15.06
2015-10-13 15.07 15.33 14.87 15.27 1029100 15.27
2015-10-14 15.34 15.34 15.02 15.06 562500 15.06
2015-10-15 15.33 15.33 14.73 14.87 1378400 14.87
2015-10-16 14.97 15.04 14.81 15.03 870600 15.03
2015-10-19 15.05 15.23 14.89 14.99 864000 14.99
2015-10-20 15.02 15.17 14.59 14.6 924100 14.6
2015-10-21 14.68 14.82 14.49 14.79 708200 14.79
2015-10-22 14.76 15.38 14.67 15.25 1146400 15.25
2015-10-23 15.31 15.36 15 15.04 735900 15.04
2015-10-26 15.06 15.41 14.96 15 724100 15
2015-10-27 15.14 15.17 14.46 14.5 944000 14.5
2015-10-28 14.57 14.74 14.37 14.5 1603800 14.5
2015-10-29 15.03 15.84 14.13 15.72 3068400 15.72
2015-10-30 15.72 15.865 15.52 15.82 976900 15.82
