"Index" "MP.Open" "MP.High" "MP.Low" "MP.Close" "MP.Volume" "MP.Adjusted"
2013-04-23 0.06 0.06 0.06 0.06 0 0.06
2013-04-24 0.06 0.06 0.06 0.06 10000 0.06
2013-04-25 0.06 0.06 0.06 0.06 30000 0.06
2013-04-26 0.05 0.05 0.05 0.05 3000 0.05
2013-04-29 0.055 0.06 0.055 0.06 10000 0.06
2013-04-30 0.05 0.05 0.05 0.05 10000 0.05
2013-05-01 0.055 0.065 0.055 0.06 218000 0.06
2013-05-02 0.06 0.07 0.06 0.07 138400 0.07
2013-05-03 0.07 0.07 0.065 0.065 52000 0.065
2013-05-06 0.065 0.065 0.065 0.065 38000 0.065
2013-05-07 0.07 0.07 0.065 0.065 8700 0.065
2013-05-08 0.065 0.065 0.065 0.065 0 0.065
2013-05-09 0.07 0.07 0.065 0.065 72000 0.065
2013-05-10 0.065 0.065 0.065 0.065 4e+05 0.065
2013-05-13 0.065 0.065 0.065 0.065 40500 0.065
2013-05-14 0.06 0.06 0.06 0.06 10000 0.06
2013-05-15 0.06 0.06 0.06 0.06 24000 0.06
2013-05-16 0.055 0.055 0.055 0.055 10000 0.055
2013-05-17 0.055 0.055 0.055 0.055 0 0.055
2013-05-20 0.055 0.055 0.055 0.055 0 0.055
2013-05-21 0.06 0.06 0.06 0.06 2000 0.06
2013-05-22 0.05 0.05 0.04 0.04 25000 0.04
2013-05-23 0.05 0.05 0.05 0.05 20000 0.05
2013-05-24 0.075 0.075 0.075 0.075 9000 0.075
2013-05-27 0.075 0.075 0.075 0.075 0 0.075
2013-05-28 0.075 0.075 0.075 0.075 0 0.075
2013-05-29 0.075 0.075 0.075 0.075 0 0.075
2013-05-30 0.055 0.055 0.055 0.055 10000 0.055
2013-05-31 0.055 0.055 0.055 0.055 2600 0.055
2013-06-03 0.055 0.055 0.055 0.055 0 0.055
2013-06-04 0.055 0.055 0.055 0.055 0 0.055
2013-06-05 0.055 0.055 0.055 0.055 0 0.055
2013-06-06 0.07 0.07 0.07 0.07 8000 0.07
2013-06-07 0.07 0.07 0.07 0.07 2000 0.07
2013-06-10 0.07 0.07 0.07 0.07 0 0.07
2013-06-11 0.07 0.07 0.07 0.07 0 0.07
2013-06-12 0.07 0.07 0.07 0.07 0 0.07
2013-06-13 0.07 0.07 0.07 0.07 0 0.07
2013-06-14 0.06 0.06 0.055 0.055 20000 0.055
2013-06-17 0.055 0.055 0.055 0.055 0 0.055
2013-06-18 0.055 0.055 0.055 0.055 1e+05 0.055
2013-06-19 0.055 0.055 0.055 0.055 0 0.055
2013-06-20 0.055 0.055 0.055 0.055 0 0.055
2013-06-21 0.06 0.06 0.06 0.06 25000 0.06
2013-06-24 0.06 0.06 0.06 0.06 19000 0.06
2013-06-25 0.06 0.06 0.06 0.06 0 0.06
2013-06-26 0.055 0.055 0.045 0.05 11000 0.05
2013-06-27 0.055 0.055 0.05 0.05 45600 0.05
2013-06-28 0.05 0.05 0.045 0.045 23000 0.045
2013-07-01 0.045 0.045 0.045 0.045 0 0.045
2013-07-02 0.045 0.045 0.045 0.045 0 0.045
2013-07-03 0.05 0.05 0.05 0.05 25000 0.05
2013-07-04 0.045 0.045 0.045 0.045 2600 0.045
2013-07-05 0.045 0.045 0.045 0.045 0 0.045
2013-07-08 0.045 0.045 0.045 0.045 2800 0.045
2013-07-09 0.045 0.045 0.045 0.045 0 0.045
2013-07-10 0.045 0.045 0.04 0.045 31000 0.045
2013-07-11 0.045 0.045 0.045 0.045 10000 0.045
2013-07-12 0.045 0.045 0.045 0.045 5000 0.045
2013-07-15 0.045 0.045 0.045 0.045 0 0.045
2013-07-16 0.04 0.045 0.04 0.045 17000 0.045
2013-07-17 0.045 0.045 0.045 0.045 0 0.045
2013-07-18 0.045 0.05 0.045 0.05 25000 0.05
2013-07-19 0.05 0.05 0.05 0.05 3000 0.05
2013-07-22 0.06 0.06 0.06 0.06 40000 0.06
2013-07-23 0.06 0.06 0.06 0.06 0 0.06
2013-07-24 0.04 0.04 0.04 0.04 20000 0.04
2013-07-25 0.04 0.045 0.04 0.045 9500 0.045
2013-07-26 0.045 0.045 0.045 0.045 0 0.045
2013-07-29 0.04 0.055 0.04 0.045 46800 0.045
2013-07-30 0.045 0.045 0.045 0.045 0 0.045
2013-07-31 0.04 0.045 0.04 0.045 13000 0.045
2013-08-01 0.045 0.045 0.045 0.045 0 0.045
2013-08-02 0.05 0.05 0.05 0.05 20000 0.05
2013-08-05 0.05 0.05 0.05 0.05 0 0.05
2013-08-06 0.055 0.06 0.055 0.06 10000 0.06
2013-08-07 0.045 0.045 0.045 0.045 47000 0.045
2013-08-08 0.045 0.045 0.045 0.045 0 0.045
2013-08-09 0.05 0.05 0.05 0.05 8000 0.05
2013-08-12 0.05 0.05 0.05 0.05 92000 0.05
2013-08-13 0.05 0.05 0.05 0.05 0 0.05
2013-08-14 0.05 0.05 0.05 0.05 0 0.05
2013-08-15 0.05 0.05 0.05 0.05 0 0.05
2013-08-16 0.05 0.05 0.05 0.05 0 0.05
2013-08-19 0.05 0.05 0.05 0.05 0 0.05
2013-08-20 0.05 0.05 0.05 0.05 0 0.05
2013-08-21 0.05 0.05 0.05 0.05 0 0.05
2013-08-22 0.05 0.05 0.05 0.05 20000 0.05
2013-08-23 0.05 0.05 0.05 0.05 0 0.05
2013-08-26 0.05 0.05 0.05 0.05 0 0.05
2013-08-27 0.05 0.05 0.05 0.05 3000 0.05
2013-08-28 0.05 0.05 0.045 0.045 11000 0.045
2013-08-29 0.045 0.045 0.045 0.045 0 0.045
2013-08-30 0.045 0.045 0.045 0.045 0 0.045
2013-09-02 0.045 0.045 0.045 0.045 0 0.045
2013-09-03 0.045 0.055 0.045 0.045 52500 0.045
2013-09-04 0.04 0.04 0.04 0.04 35000 0.04
2013-09-05 0.04 0.04 0.04 0.04 0 0.04
2013-09-06 0.04 0.045 0.04 0.045 17000 0.045
2013-09-09 0.045 0.045 0.045 0.045 0 0.045
2013-09-10 0.045 0.045 0.045 0.045 0 0.045
2013-09-11 0.045 0.045 0.045 0.045 0 0.045
2013-09-12 0.05 0.06 0.05 0.06 12000 0.06
2013-09-13 0.06 0.06 0.06 0.06 0 0.06
2013-09-16 0.06 0.06 0.06 0.06 0 0.06
2013-09-17 0.06 0.06 0.06 0.06 0 0.06
2013-09-18 0.045 0.045 0.04 0.04 29100 0.04
2013-09-19 0.04 0.04 0.04 0.04 51200 0.04
2013-09-20 0.04 0.04 0.04 0.04 65000 0.04
2013-09-23 0.035 0.035 0.035 0.035 32000 0.035
2013-09-24 0.035 0.035 0.035 0.035 13000 0.035
2013-09-25 0.035 0.035 0.035 0.035 8000 0.035
2013-09-26 0.035 0.035 0.035 0.035 11000 0.035
2013-09-27 0.035 0.035 0.035 0.035 128000 0.035
2013-09-30 0.035 0.035 0.035 0.035 0 0.035
2013-10-01 0.035 0.035 0.035 0.035 7000 0.035
2013-10-02 0.035 0.035 0.035 0.035 41000 0.035
2013-10-03 0.035 0.035 0.035 0.035 0 0.035
2013-10-04 0.035 0.035 0.035 0.035 10000 0.035
2013-10-07 0.035 0.035 0.035 0.035 10200 0.035
2013-10-08 0.035 0.035 0.035 0.035 29000 0.035
