"Date" "Mid Price"
2014-07-08 192.1137
2014-07-07 193.1065
2014-07-03 194.7049
2014-07-02 195.1035
2014-07-01 196.0155
2014-06-30 196.28
2014-06-27 197.7315
2014-06-26 197.9374
2014-06-25 198.679
2014-06-24 198.8483
2014-06-23 198.4203
2014-06-20 199.3469
2014-06-19 199.0996
2014-06-18 197.7159
2014-06-17 197.2768
2014-06-16 197.0975
2014-06-13 196.8418
2014-06-12 196.2747
2014-06-11 192.7167
2014-06-10 192.5528
2014-06-09 193.2242
2014-06-06 191.6127
2014-06-05 191.3166
2014-06-04 191.0937
2014-06-03 191.5643
2014-06-02 191.8063
2014-05-30 192.1531
2014-05-29 193.5229
2014-05-28 193.1011
2014-05-27 193.8715
2014-05-23 194.7481
2014-05-22 194.3836
2014-05-21 194.7313
2014-05-20 193.4563
2014-05-19 193.3866
2014-05-16 193.1064
2014-05-15 192.8663
2014-05-14 193.8083
2014-05-13 192.861
2014-05-12 191.875
2014-05-09 191.2567
2014-05-08 191.7978
2014-05-07 192.181
2014-05-06 191.2624
2014-05-05 191.2623
2014-05-02 191.8478
2014-05-01 191.168
2014-04-30 192.3181
2014-04-29 194.1833
2014-04-28 192.9825
2014-04-25 193.8484
2014-04-24 194.9643
2014-04-23 193.7842
2014-04-22 193.8788
2014-04-21 194.7359
2014-04-17 194.9054
2014-04-16 194.4125
2014-04-15 194.0725
2014-04-14 193.948
2014-04-11 192.2427
2014-04-10 192.4148
2014-04-09 192.6707
2014-04-08 191.6813
2014-04-07 189.1799
2014-04-04 189.8985
2014-04-03 189.1196
2014-04-02 187.5048
2014-04-01 188.6154
2014-03-31 190.9769
2014-03-28 191.5117
2014-03-27 191.1822
2014-03-26 189.3459
2014-03-25 189.0782
2014-03-24 188.8076
2014-03-21 188.6897
2014-03-20 188.2347
2014-03-19 188.8732
2014-03-18 189.011
2014-03-17 187.5422
2014-03-14 189.5615
2014-03-13 188.1971
2014-03-12 188.6266
2014-03-11 189.8359
2014-03-10 190.0706
2014-03-07 191.7198
2014-03-06 190.8173
2014-03-05 190.1879
2014-03-04 192.2822
2014-03-03 193.5336
2014-02-28 190.434
2014-02-27 189.6782
2014-02-26 190.4329
2014-02-25 190.265
2014-02-24 191.2755
2014-02-21 190.7966
2014-02-20 191.3535
2014-02-19 191.5284
2014-02-18 190.4776
2014-02-14 187.6253
2014-02-13 186.9943
2014-02-12 186.4824
2014-02-11 186.0442
2014-02-10 185.3932
2014-02-07 186.0006
2014-02-06 183.4045
2014-02-05 182.4994
2014-02-04 182.1518
2014-02-03 180.9628
2014-01-31 181.8824
2014-01-30 183.1637
2014-01-29 183.2442
2014-01-28 182.3656
2014-01-27 180.7303
2014-01-24 182.6458
2014-01-23 182.2744
2014-01-22 182.1704
2014-01-21 180.1734
2014-01-17 179.9243
2014-01-16 179.3067
2014-01-15 179.6808
2014-01-14 178.3494
2014-01-13 178.1597
2014-01-10 178.4352
2014-01-09 177.1891
2014-01-08 178.6051
2014-01-07 179.9183
2014-01-06 179.5387
2014-01-03 179.7128
2014-01-02 181.4505
2013-12-31 184.9382
2013-12-30 185.962
2013-12-27 187.3895
2013-12-26 186.5403
2013-12-24 186.3285
2013-12-23 185.9115
2013-12-20 186.3468
2013-12-19 184.8554
2013-12-18 183.6498
2013-12-17 182.5994
2013-12-16 183.5049
2013-12-13 182.3961
2013-12-12 183.2119
2013-12-11 184.2745
2013-12-10 184.2937
2013-12-09 183.8302
