"Index" "DEN.Open" "DEN.High" "DEN.Low" "DEN.Close" "DEN.Volume" "DEN.Adjusted"
2013-11-21 30.475 30.475 30.475 30.475 0 30.475
2013-11-22 30.35 30.35 30.35 30.35 0 30.35
2013-11-25 30.36 30.36 30.36 30.36 0 30.36
2013-11-26 30.325 30.325 30.325 30.325 0 30.325
2013-11-27 30.285 30.285 30.285 30.285 0 30.285
2013-11-28 30.58 30.58 30.58 30.58 0 30.58
2013-11-29 30.22 30.22 30.22 30.22 0 30.22
2013-12-02 30.475 30.475 30.475 30.475 0 30.475
2013-12-03 30.845 30.845 30.845 30.845 0 30.845
2013-12-04 29.97 29.97 29.97 29.97 0 29.97
2013-12-05 29.245 29.245 29.245 29.245 0 29.245
2013-12-06 29.795 29.795 29.795 29.795 0 29.795
2013-12-09 30.165 30.165 30.165 30.165 0 30.165
2013-12-10 29.96 29.96 29.96 29.96 0 29.96
2013-12-11 30.16 30.16 30.16 30.16 0 30.16
2013-12-12 29.395 29.395 29.395 29.395 0 29.395
2013-12-13 29.865 29.865 29.865 29.865 0 29.865
2013-12-16 29.255 29.255 29.255 29.255 0 29.255
2013-12-17 29.24 29.24 29.24 29.24 0 29.24
2013-12-18 29.32 29.32 29.32 29.32 0 29.32
2013-12-19 29.88 29.88 29.88 29.88 0 29.88
2013-12-20 29.45 29.45 29.45 29.45 0 29.45
2013-12-23 29.455 29.455 29.455 29.455 0 29.455
2013-12-24 29.455 29.455 29.455 29.455 0 29.455
2013-12-25 29.455 29.455 29.455 29.455 0 29.455
2013-12-26 29.455 29.455 29.455 29.455 0 29.455
2013-12-27 29.29 29.29 29.29 29.29 0 29.29
2013-12-30 29.315 29.315 29.3 29.3 0 29.3
2013-12-31 29.3 29.3 29.3 29.3 0 29.3
2014-01-01 29.3 29.3 29.3 29.3 0 29.3
2014-01-02 29.33 29.33 29.33 29.33 0 29.33
2014-01-03 29.805 29.805 29.805 29.805 0 29.805
2014-01-06 28.985 28.985 28.985 28.985 0 28.985
2014-01-07 28.56 28.56 28.56 28.56 0 28.56
2014-01-08 29.37 29.37 29.37 29.37 0 29.37
2014-01-09 29.195 29.195 29.195 29.195 0 29.195
2014-01-10 28.995 28.995 28.995 28.995 0 28.995
2014-01-13 29.305 29.305 29.305 29.305 0 29.305
2014-01-14 28.11 28.11 28.11 28.11 0 28.11
2014-01-15 28.66 28.66 28.66 28.66 0 28.66
2014-01-16 27.81 27.81 27.81 27.81 0 27.81
2014-01-17 28.645 28.645 28.645 28.645 0 28.645
2014-01-20 28.475 28.475 28.475 28.475 0 28.475
2014-01-21 28.25 28.25 28.25 28.25 0 28.25
2014-01-22 29.26 29.315 29.26 29.315 0 29.315
2014-01-23 28.82 29.48 28.82 29.48 0 29.48
2014-01-24 28.45 28.45 28.45 28.45 0 28.45
2014-01-27 27.85 27.85 27.85 27.85 0 27.85
2014-01-28 27.83 27.83 27.83 27.83 0 27.83
2014-01-29 29.095 29.095 29.095 29.095 0 29.095
2014-01-30 29.07 29.07 29.07 29.07 0 29.07
2014-01-31 29.085 29.085 29.085 29.085 0 29.085
2014-02-03 28.255 28.255 28.255 28.255 0 28.255
2014-02-04 26.94 26.94 26.94 26.94 0 26.94
2014-02-05 27.095 27.095 27.095 27.095 0 27.095
2014-02-06 27.08 27.08 27.08 27.08 0 27.08
2014-02-07 27.46 27.46 27.46 27.46 0 27.46
2014-02-10 28.62 28.62 28.62 28.62 0 28.62
2014-02-11 28.555 28.555 28.555 28.555 0 28.555
2014-02-12 28.285 28.285 28.285 28.285 0 28.285
2014-02-13 27.805 27.805 27.805 27.805 0 27.805
2014-02-14 26.455 27.1 26.455 27.1 0 27.1
2014-02-17 27.19 27.19 27.19 27.19 0 27.19
2014-02-18 28.285 28.285 28.285 28.285 0 28.285
2014-02-19 27.96 27.96 27.96 27.96 0 27.96
2014-02-20 26.89 26.89 26.89 26.89 0 26.89
2014-02-21 27.925 27.925 27.925 27.925 0 27.925
2014-02-24 27.56 27.56 27.56 27.56 0 27.56
2014-02-25 28.14 28.14 28.14 28.14 0 28.14
2014-02-26 27.285 27.285 27.285 27.285 0 27.285
2014-02-27 27.175 27.175 27.175 27.175 0 27.175
2014-02-28 27.045 27.045 27.045 27.045 0 27.045
2014-03-03 26.73 26.73 26.73 26.73 0 26.73
2014-03-04 26.62 26.62 26.62 26.62 0 26.62
2014-03-05 27.03 27.03 27.03 27.03 0 27.03
2014-03-06 27.37 27.37 27.37 27.37 0 27.37
2014-03-07 27.73 27.73 27.73 27.73 0 27.73
2014-03-10 28.125 28.125 28.125 28.125 0 28.125
2014-03-11 27.65 27.65 27.65 27.65 0 27.65
2014-03-12 26.99 26.99 26.99 26.99 0 26.99
2014-03-13 26.565 26.565 26.565 26.565 0 26.565
2014-03-14 25.91 25.91 25.91 25.91 0 25.91
2014-03-17 25.525 26.08 25.525 26.08 0 26.08
2014-03-18 26.875 26.875 26.875 26.875 0 26.875
2014-03-19 27.17 27.17 27.17 27.17 0 27.17
2014-03-20 26.46 26.46 26.46 26.46 0 26.46
2014-03-21 26.535 26.535 26.535 26.535 0 26.535
2014-03-24 26.475 26.475 26.475 26.475 0 26.475
2014-03-25 26.065 26.065 26.065 26.065 0 26.065
2014-03-26 26.135 26.135 26.135 26.135 0 26.135
2014-03-27 26.855 26.855 26.855 26.855 0 26.855
2014-03-28 27.33 27.33 27.33 27.33 0 27.33
2014-03-31 27.335 27.335 27.335 27.335 0 27.335
2014-04-01 26.87 26.87 26.87 26.87 0 26.87
2014-04-02 26.735 26.735 26.735 26.735 0 26.735
2014-04-03 27.265 27.265 27.265 27.265 0 27.265
2014-04-04 27.94 27.94 27.94 27.94 0 27.94
2014-04-07 28.165 28.165 28.165 28.165 0 28.165
2014-04-08 28.01 28.01 28.01 28.01 0 28.01
2014-04-09 27.455 27.455 27.455 27.455 0 27.455
2014-04-10 27.52 27.52 27.52 27.52 0 27.52
2014-04-11 26.98 26.98 26.98 26.98 0 26.98
2014-04-14 27.425 27.425 27.425 27.425 0 27.425
2014-04-15 27.64 27.64 27.64 27.64 0 27.64
2014-04-16 28.63 28.63 28.63 28.63 0 28.63
2014-04-17 28.965 28.965 28.965 28.965 0 28.965
2014-04-18 28.965 28.965 28.965 28.965 0 28.965
2014-04-21 28.965 28.965 28.965 28.965 0 28.965
2014-04-22 29.215 29.215 29.215 29.215 0 29.215
2014-04-23 29.71 29.71 29.71 29.71 0 29.71
2014-04-24 29.43 29.43 29.43 29.43 0 29.43
2014-04-25 29.65 29.65 29.65 29.65 0 29.65
2014-04-28 29.59 29.59 29.59 29.59 0 29.59
2014-04-29 29.41 29.41 29.41 29.41 0 29.41
2014-04-30 29.38 29.38 29.38 29.38 0 29.38
2014-05-01 29.38 29.38 29.38 29.38 0 29.38
2014-05-02 29.485 29.485 29.485 29.485 0 29.485
2014-05-05 29.59 29.59 29.59 29.59 0 29.59
2014-05-06 29.57 29.57 29.57 29.57 0 29.57
2014-05-07 28.715 28.715 28.715 28.715 0 28.715
