"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2013-09-26 1.87 1.87 1.85 1.85 41700 1.85
2013-09-27 1.81 1.85 1.76 1.78 79700 1.78
2013-09-30 1.79 1.79 1.7 1.7 67900 1.7
2013-10-01 1.7 1.76 1.7 1.72 22700 1.72
2013-10-02 1.73 1.76 1.72 1.73 31200 1.73
2013-10-03 1.73 1.74 1.7 1.72 15700 1.72
2013-10-04 1.71 1.74 1.66 1.67 55900 1.67
2013-10-07 1.65 1.67 1.61 1.63 51000 1.63
2013-10-08 1.61 1.62 1.46 1.5 145300 1.5
2013-10-09 1.49 1.55 1.49 1.52 88900 1.52
2013-10-10 1.55 1.61 1.55 1.6 62400 1.6
2013-10-11 1.6 1.61 1.6 1.61 33700 1.61
2013-10-14 1.6 1.64 1.6 1.63 17600 1.63
2013-10-15 1.6 1.63 1.5 1.62 57100 1.62
2013-10-16 1.63 1.63 1.54 1.63 41800 1.63
2013-10-17 1.6 1.63 1.6 1.63 24000 1.63
2013-10-18 1.63 1.63 1.6 1.6 29700 1.6
2013-10-21 1.63 1.63 1.51 1.55 106000 1.55
2013-10-22 1.55 1.6 1.55 1.57 11800 1.57
2013-10-23 1.57 1.6 1.53 1.53 22800 1.53
2013-10-24 1.54 1.7 1.54 1.67 76900 1.67
2013-10-25 1.69 1.69 1.6 1.63 26900 1.63
2013-10-28 1.61 1.67 1.6 1.62 24600 1.62
2013-10-29 1.62 1.64 1.6 1.6 16300 1.6
2013-10-30 1.66 1.66 1.62 1.65 57200 1.65
2013-10-31 1.67 1.68 1.63 1.63 32300 1.63
2013-11-01 1.63 1.63 1.6 1.62 56000 1.62
2013-11-04 1.61 1.7 1.61 1.64 49500 1.64
2013-11-05 1.67 1.7 1.64 1.65 36100 1.65
2013-11-06 1.65 1.66 1.62 1.63 27600 1.63
2013-11-07 1.6 1.66 1.6 1.61 65300 1.61
2013-11-08 1.58 1.61 1.57 1.58 44700 1.58
2013-11-11 1.55 1.59 1.54 1.55 21600 1.55
2013-11-12 1.53 1.57 1.53 1.54 30300 1.54
