"Index" "NRS.Open" "NRS.High" "NRS.Low" "NRS.Close" "NRS.Volume" "NRS.Adjusted"
2013-09-26 0.435 0.435 0.435 0.435 0 0.435
2013-09-27 0.45 0.45 0.45 0.45 0 0.45
2013-09-30 0.455 0.455 0.455 0.455 0 0.455
2013-10-01 0.444 0.444 0.444 0.444 0 0.444
2013-10-02 0.435 0.435 0.435 0.435 0 0.435
2013-10-03 0.435 0.435 0.435 0.435 0 0.435
2013-10-04 0.446 0.446 0.446 0.446 0 0.446
2013-10-07 0.45 0.45 0.45 0.45 0 0.45
2013-10-08 0.435 0.435 0.435 0.435 0 0.435
2013-10-09 0.437 0.437 0.437 0.437 0 0.437
2013-10-10 0.438 0.438 0.438 0.438 0 0.438
2013-10-11 0.438 0.438 0.438 0.438 0 0.438
2013-10-14 0.437 0.437 0.437 0.437 0 0.437
2013-10-15 0.438 0.438 0.438 0.438 0 0.438
2013-10-16 0.439 0.439 0.439 0.439 0 0.439
2013-10-17 0.437 0.437 0.437 0.437 0 0.437
2013-10-18 0.435 0.435 0.435 0.435 0 0.435
2013-10-21 0.435 0.435 0.435 0.435 0 0.435
2013-10-22 0.429 0.429 0.429 0.429 0 0.429
2013-10-23 0.424 0.424 0.424 0.424 0 0.424
2013-10-24 0.419 0.419 0.419 0.419 0 0.419
2013-10-25 0.418 0.418 0.418 0.418 0 0.418
2013-10-28 0.421 0.421 0.421 0.421 0 0.421
2013-10-29 0.416 0.416 0.416 0.416 0 0.416
2013-10-30 0.412 0.412 0.412 0.412 0 0.412
2013-10-31 0.407 0.407 0.407 0.407 0 0.407
2013-11-01 0.421 0.421 0.421 0.421 0 0.421
2013-11-04 0.418 0.418 0.418 0.418 0 0.418
2013-11-05 0.414 0.414 0.414 0.414 0 0.414
2013-11-06 0.414 0.414 0.414 0.414 0 0.414
2013-11-07 0.416 0.416 0.416 0.416 0 0.416
2013-11-08 0.418 0.418 0.418 0.418 0 0.418
2013-11-11 0.419 0.419 0.419 0.419 0 0.419
2013-11-12 0.419 0.419 0.419 0.419 0 0.419
2013-11-13 0.412 0.412 0.412 0.412 0 0.412
2013-11-14 0.402 0.402 0.402 0.402 0 0.402
2013-11-15 0.403 0.403 0.403 0.403 0 0.403
2013-11-18 0.406 0.406 0.406 0.406 0 0.406
2013-11-19 0.401 0.401 0.401 0.401 0 0.401
2013-11-20 0.406 0.406 0.406 0.406 0 0.406
2013-11-21 0.403 0.403 0.403 0.403 0 0.403
2013-11-22 0.406 0.406 0.406 0.406 0 0.406
2013-11-25 0.437 0.437 0.437 0.437 0 0.437
2013-11-26 0.406 0.406 0.406 0.406 0 0.406
2013-11-27 0.406 0.406 0.406 0.406 0 0.406
2013-11-28 0.406 0.406 0.406 0.406 0 0.406
2013-11-29 0.406 0.406 0.406 0.406 0 0.406
2013-12-02 0.406 0.406 0.406 0.406 0 0.406
2013-12-03 0.404 0.404 0.404 0.404 0 0.404
2013-12-04 0.404 0.404 0.404 0.404 0 0.404
2013-12-05 0.403 0.403 0.403 0.403 0 0.403
2013-12-06 0.395 0.395 0.395 0.395 0 0.395
2013-12-09 0.401 0.401 0.401 0.401 0 0.401
2013-12-10 0.398 0.398 0.398 0.398 0 0.398
2013-12-11 0.395 0.395 0.395 0.395 0 0.395
2013-12-12 0.388 0.388 0.388 0.388 0 0.388
2013-12-13 0.391 0.391 0.391 0.391 0 0.391
