"Index" "PLE.Open" "PLE.High" "PLE.Low" "PLE.Close" "PLE.Volume" "PLE.Adjusted"
2015-02-04 0.85 0.89 0.85 0.88 600 0.69
2015-02-05 0.88 0.88 0.88 0.88 0 0.69
2015-02-06 0.86 0.88 0.81 0.87 8300 0.68
2015-02-09 0.84 0.86 0.8 0.86 2800 0.68
2015-02-10 0.87 0.87 0.78 0.85 4200 0.67
2015-02-11 0.84 0.85 0.79 0.85 1600 0.67
2015-02-12 0.83 0.86 0.83 0.86 5600 0.68
2015-02-13 0.84 0.85 0.8 0.83 4400 0.65
2015-02-16 0.83 0.86 0.78 0.86 7700 0.68
2015-02-17 0.78 0.86 0.73 0.78 11100 0.61
2015-02-18 0.75 0.84 0.71 0.84 7300 0.66
2015-02-19 0.83 0.83 0.79 0.8 2000 0.63
2015-02-20 0.81 0.82 0.81 0.82 3600 0.65
2015-02-23 0.82 0.82 0.82 0.82 0 0.65
2015-02-24 0.82 0.83 0.79 0.83 1000 0.65
2015-02-25 0.83 0.83 0.76 0.8 4600 0.63
2015-02-26 0.76 0.8 0.73 0.8 8800 0.63
2015-02-27 0.8 0.8 0.8 0.8 200 0.63
2015-03-02 0.8 0.8 0.8 0.8 0 0.63
2015-03-03 0.75 0.79 0.71 0.79 15300 0.62
2015-03-04 0.79 0.79 0.74 0.79 1900 0.62
2015-03-05 0.76 0.85 0.74 0.83 22600 0.65
2015-03-06 0.83 0.84 0.81 0.84 1800 0.66
2015-03-09 0.84 0.85 0.81 0.85 4200 0.67
2015-03-10 0.85 0.87 0.82 0.86 22700 0.68
2015-03-11 0.87 0.87 0.81 0.81 3800 0.64
2015-03-12 0.84 0.86 0.84 0.86 6400 0.68
2015-03-13 0.86 0.86 0.86 0.86 0 0.68
2015-03-16 0.86 0.87 0.84 0.87 10500 0.68
2015-03-17 0.87 0.87 0.85 0.85 3100 0.67
2015-03-18 0.87 0.98 0.84 0.95 15100 0.75
2015-03-19 0.96 0.96 0.84 0.84 7800 0.66
2015-03-20 0.95 0.95 0.93 0.93 6500 0.73
2015-03-23 0.94 0.94 0.94 0.94 0 0.74
2015-03-24 0.89 0.92 0.89 0.92 900 0.72
2015-03-25 0.92 0.92 0.92 0.92 0 0.72
2015-03-26 0.92 0.92 0.86 0.86 3600 0.68
2015-03-27 0.85 0.9 0.85 0.9 2400 0.71
2015-03-30 0.87 0.89 0.85 0.85 1900 0.67
2015-03-31 0.85 0.87 0.85 0.87 1200 0.68
2015-04-01 0.87 1.05 0.87 1.05 36100 0.83
2015-04-02 1.1 1.15 0.95 1.1 14300 0.87
2015-04-03 1.1 1.1 1.1 1.1 0 0.87
2015-04-06 1.1 1.1 1.1 1.1 0 0.87
2015-04-07 1.06 1.06 0.94 0.94 16800 0.74
2015-04-08 0.99 1 0.91 0.99 4400 0.78
