"Index" "HH.Open" "HH.High" "HH.Low" "HH.Close" "HH.Volume" "HH.Adjusted"
2013-08-28 0.4 0.41 0.38 0.38 150200 0.38
2013-08-29 0.38 0.38 0.36 0.38 201900 0.38
2013-08-30 0.38 0.4 0.37 0.37 261200 0.37
2013-09-03 0.41 0.42 0.38 0.4 299200 0.4
2013-09-04 0.42 0.42 0.4 0.4 147500 0.4
2013-09-05 0.4 0.41 0.4 0.4 9800 0.4
2013-09-06 0.4 0.43 0.38 0.43 926200 0.43
2013-09-09 0.43 0.43 0.4 0.41 73900 0.41
2013-09-10 0.43 0.43 0.4 0.4 62100 0.4
2013-09-11 0.42 0.42 0.41 0.41 90700 0.41
2013-09-12 0.41 0.41 0.4 0.4 51800 0.4
2013-09-13 0.42 0.42 0.4 0.4 94700 0.4
2013-09-16 0.4 0.46 0.4 0.46 267400 0.46
2013-09-17 0.44 0.49 0.43 0.47 772600 0.47
2013-09-18 0.49 0.49 0.46 0.46 632800 0.46
2013-09-19 0.47 0.47 0.46 0.46 155100 0.46
2013-09-20 0.46 0.48 0.46 0.48 161500 0.48
2013-09-23 0.5 0.5 0.45 0.45 67100 0.45
2013-09-24 0.46 0.48 0.46 0.47 266300 0.47
2013-09-25 0.48 0.49 0.47 0.48 69700 0.48
2013-09-26 0.46 0.48 0.45 0.46 264700 0.46
2013-09-27 0.45 0.48 0.45 0.48 86100 0.48
2013-09-30 0.51 0.51 0.47 0.47 31300 0.47
2013-10-01 0.51 0.51 0.44 0.46 429900 0.46
2013-10-02 0.46 0.48 0.46 0.47 158200 0.47
2013-10-03 0.47 0.48 0.46 0.48 117000 0.48
2013-10-04 0.48 0.53 0.45 0.52 344100 0.52
2013-10-07 0.54 0.55 0.51 0.54 308800 0.54
2013-10-08 0.54 0.54 0.53 0.53 219700 0.53
2013-10-09 0.55 0.55 0.53 0.53 142400 0.53
2013-10-10 0.53 0.67 0.53 0.55 406900 0.55
2013-10-11 0.55 0.74 0.55 0.66 701900 0.66
2013-10-14 0.65 0.71 0.6 0.7 525800 0.7
2013-10-15 0.7 0.71 0.65 0.68 213200 0.68
2013-10-16 0.69 0.69 0.68 0.69 73700 0.69
2013-10-17 0.71 0.72 0.69 0.71 141000 0.71
2013-10-18 0.71 0.71 0.62 0.66 293900 0.66
2013-10-21 0.68 0.72 0.63 0.72 130000 0.72
2013-10-22 0.7 0.71 0.67 0.67 32900 0.67
2013-10-23 0.68 0.69 0.62 0.68 138600 0.68
2013-10-24 0.65 0.7 0.63 0.7 74400 0.7
2013-10-25 0.66 0.66 0.62 0.65 229500 0.65
2013-10-28 0.64 0.68 0.62 0.63 98100 0.63
2013-10-29 0.62 0.62 0.57 0.59 141300 0.59
2013-10-30 0.59 0.61 0.56 0.59 117500 0.59
2013-10-31 0.6 0.6 0.56 0.6 30800 0.6
2013-11-01 0.61 0.63 0.59 0.62 38400 0.62
2013-11-04 0.6 0.64 0.6 0.61 47500 0.61
2013-11-05 0.58 0.6 0.56 0.56 110800 0.56
2013-11-06 0.56 0.61 0.56 0.61 169500 0.61
2013-11-07 0.58 0.58 0.57 0.57 51700 0.57
2013-11-08 0.58 0.6 0.56 0.6 20900 0.6
2013-11-11 0.6 0.6 0.58 0.6 25700 0.6
2013-11-12 0.57 0.59 0.56 0.56 20500 0.56
2013-11-13 0.57 0.58 0.54 0.56 47400 0.56
2013-11-14 0.56 0.58 0.54 0.58 72900 0.58
2013-11-15 0.59 0.59 0.42 0.45 663400 0.45
2013-11-18 0.45 0.48 0.43 0.47 273700 0.47
2013-11-19 0.48 0.48 0.45 0.46 57000 0.46
2013-11-20 0.45 0.47 0.44 0.46 101500 0.46
2013-11-21 0.47 0.54 0.47 0.53 106300 0.53
2013-11-22 0.54 0.54 0.52 0.53 43100 0.53
2013-11-25 0.53 0.56 0.53 0.54 88100 0.54
2013-11-26 0.54 0.56 0.54 0.55 123100 0.55
2013-11-27 0.55 0.55 0.53 0.54 111100 0.54
2013-11-29 0.55 0.57 0.54 0.54 410700 0.54
2013-12-02 0.54 0.56 0.53 0.54 82700 0.54
2013-12-03 0.53 0.53 0.53 0.53 8200 0.53
2013-12-04 0.53 0.53 0.51 0.51 138100 0.51
2013-12-05 0.51 0.52 0.5 0.5 211600 0.5
2013-12-06 0.52 0.52 0.45 0.5 81100 0.5
2013-12-09 0.51 0.57 0.5 0.53 549500 0.53
2013-12-10 0.54 0.54 0.52 0.52 49400 0.52
2013-12-11 0.52 0.52 0.5 0.51 133300 0.51
2013-12-12 0.54 0.56 0.5 0.5 88600 0.5
2013-12-13 0.52 0.55 0.5 0.5 34800 0.5
2013-12-16 0.52 0.54 0.5 0.52 52400 0.52
2013-12-17 0.54 0.55 0.53 0.54 18800 0.54
2013-12-18 0.54 0.56 0.52 0.55 97300 0.55
2013-12-19 0.56 0.56 0.53 0.56 68000 0.56
2013-12-20 0.56 0.56 0.52 0.52 158400 0.52
2013-12-23 0.52 0.56 0.52 0.55 166300 0.55
2013-12-24 0.52 0.55 0.52 0.53 37300 0.53
2013-12-26 0.55 0.55 0.52 0.52 14300 0.52
2013-12-27 0.56 0.56 0.48 0.53 129100 0.53
2013-12-30 0.53 0.57 0.51 0.53 191600 0.53
2013-12-31 0.53 0.55 0.51 0.53 195900 0.53
2014-01-02 0.56 0.56 0.51 0.53 37600 0.53
2014-01-03 0.53 0.61 0.51 0.55 571200 0.55
2014-01-06 0.6 0.6 0.53 0.53 61400 0.53
2014-01-07 0.56 0.57 0.55 0.56 98000 0.56
2014-01-08 0.57 0.57 0.53 0.55 55000 0.55
2014-01-09 0.55 0.55 0.54 0.55 14400 0.55
2014-01-10 0.51 0.53 0.51 0.52 85500 0.52
2014-01-13 0.52 0.54 0.51 0.51 87700 0.51
2014-01-14 0.51 0.57 0.5 0.53 427800 0.53
2014-01-15 0.55 0.59 0.54 0.58 950400 0.58
2014-01-16 0.57 0.58 0.53 0.58 178400 0.58
2014-01-17 0.57 0.59 0.54 0.56 145100 0.56
2014-01-21 0.57 0.65 0.56 0.64 867400 0.64
2014-01-22 0.64 0.66 0.58 0.6 575000 0.6
2014-01-23 0.59 0.59 0.54 0.56 329200 0.56
