"Index" "ME.Open" "ME.High" "ME.Low" "ME.Close" "ME.Volume" "ME.Adjusted"
2013-12-18 42079.898 42079.898 42079.898 42079.898 0 42079.898
2013-12-19 42198.301 42198.301 42198.301 42198.301 0 42198.301
2013-12-20 42183.801 42183.801 42183.801 42183.801 0 42183.801
2013-12-23 42508 42508 42508 42508 0 42508
2013-12-24 42585.699 42585.699 42585.699 42585.699 0 42585.699
2013-12-25 42585.699 42585.699 42585.699 42585.699 0 42585.699
2013-12-26 42540.301 42540.301 42540.301 42540.301 0 42540.301
2013-12-27 42753.199 42753.199 42753.199 42753.199 0 42753.199
2013-12-30 42958.801 42958.801 42958.801 42958.801 0 42958.801
2013-12-31 42727.102 42727.102 42727.102 42727.102 0 42727.102
2014-01-01 42727.102 42727.102 42727.102 42727.102 0 42727.102
2014-01-02 42188.398 42188.398 42188.398 42188.398 0 42188.398
2014-01-03 42065 42065 42065 42065 0 42065
2014-01-06 41525.898 41525.898 41525.898 41525.898 0 41525.898
2014-01-07 41778.602 41778.602 41778.602 41778.602 0 41778.602
2014-01-08 41515.5 41515.5 41515.5 41515.5 0 41515.5
2014-01-09 41585.5 41585.5 41585.5 41585.5 0 41585.5
2014-01-10 42458.5 42458.5 42458.5 42458.5 0 42458.5
2014-01-13 42158.602 42158.602 42158.602 42158.602 0 42158.602
2014-01-14 42439.801 42439.801 42439.801 42439.801 0 42439.801
2014-01-15 42511.199 42511.199 42511.199 42511.199 0 42511.199
2014-01-16 42172.699 42172.699 42172.699 42172.699 0 42172.699
2014-01-17 41911.301 41911.301 41911.301 41911.301 0 41911.301
2014-01-20 41976.398 41976.398 41976.398 41976.398 0 41976.398
2014-01-21 41838.602 41838.602 41838.602 41838.602 0 41838.602
2014-01-22 42062.801 42062.801 42062.801 42062.801 0 42062.801
2014-01-23 41531.801 41531.801 41531.801 41531.801 0 41531.801
2014-01-24 40979.801 40979.801 40979.801 40979.801 0 40979.801
2014-01-27 40863.398 40863.398 40863.398 40863.398 0 40863.398
2014-01-28 40660.898 40660.898 40660.898 40660.898 0 40660.898
2014-01-29 40689.898 40689.898 40689.898 40689.898 0 40689.898
2014-01-30 41008.301 41008.301 41008.301 41008.301 0 41008.301
2014-01-31 40879.801 40879.801 40879.801 40879.801 0 40879.801
2014-02-03 40879.801 40879.801 40879.801 40879.801 0 40879.801
2014-02-04 40085.5 40085.5 40085.5 40085.5 0 40085.5
2014-02-05 39880.898 39880.898 39880.898 39880.898 0 39880.898
2014-02-06 40288.801 40288.801 40288.801 40288.801 0 40288.801
2014-02-07 40525.699 40525.699 40525.699 40525.699 0 40525.699
2014-02-10 40116.398 40116.398 40116.398 40116.398 0 40116.398
2014-02-11 40759.602 40759.602 40759.602 40759.602 0 40759.602
2014-02-12 40690.102 40690.102 40690.102 40690.102 0 40690.102
2014-02-13 40309 40309 40309 40309 0 40309
2014-02-14 40710.898 40710.898 40710.898 40710.898 0 40710.898
2014-02-17 40735.5 40735.5 40735.5 40735.5 0 40735.5
2014-02-18 40421.898 40421.898 40421.898 40421.898 0 40421.898
2014-02-19 40006.398 40006.398 40006.398 40006.398 0 40006.398
2014-02-20 39654.199 39654.199 39654.199 39654.199 0 39654.199
2014-02-21 39724.602 39724.602 39724.602 39724.602 0 39724.602
2014-02-24 39792.699 39792.699 39792.699 39792.699 0 39792.699
2014-02-25 39023.602 39023.602 39023.602 39023.602 0 39023.602
2014-02-26 38605.602 38605.602 38605.602 38605.602 0 38605.602
2014-02-27 38912.898 38912.898 38912.898 38912.898 0 38912.898
2014-02-28 38782.898 38782.898 38782.898 38782.898 0 38782.898
2014-03-03 38534.801 38534.801 38534.801 38534.801 0 38534.801
2014-03-04 39084.398 39084.398 39084.398 39084.398 0 39084.398
2014-03-05 39021.102 39021.102 39021.102 39021.102 0 39021.102
2014-03-06 39176.301 39176.301 39176.301 39176.301 0 39176.301
2014-03-07 38913 38913 38913 38913 0 38913
2014-03-10 38671 38671 38671 38671 0 38671
2014-03-11 38689.602 38689.602 38689.602 38689.602 0 38689.602
2014-03-12 38634.801 38634.801 38634.801 38634.801 0 38634.801
2014-03-13 38037.5 38037.5 38037.5 38037.5 0 38037.5
2014-03-14 37951 37951 37951 37951 0 37951
2014-03-17 37951 37951 37951 37951 0 37951
2014-03-18 38814.699 38814.699 38814.699 38814.699 0 38814.699
2014-03-19 38811.898 38811.898 38811.898 38811.898 0 38811.898
2014-03-20 39616.199 39616.199 39616.199 39616.199 0 39616.199
2014-03-21 40021.699 40021.699 40021.699 40021.699 0 40021.699
2014-03-24 39821.699 39821.699 39821.699 39821.699 0 39821.699
2014-03-25 39793 39793 39793 39793 0 39793
2014-03-26 39761.301 39761.301 39761.301 39761.301 0 39761.301
