"Index" "USD.SEK"
2014-01-02 6.4724
2014-01-03 6.5149
2014-01-04 6.5238
2014-01-05 6.5235
2014-01-06 6.52
2014-01-07 6.5108
2014-01-08 6.5421
2014-01-09 6.5675
2014-01-10 6.5264
2014-01-11 6.4845
2014-01-12 6.4839
2014-01-13 6.4947
2014-01-14 6.4718
2014-01-15 6.4576
2014-01-16 6.4666
2014-01-17 6.4663
2014-01-18 6.4686
2014-01-19 6.4682
2014-01-20 6.4783
2014-01-21 6.4925
2014-01-22 6.4824
2014-01-23 6.4503
2014-01-24 6.4333
2014-01-25 6.4406
2014-01-26 6.4417
2014-01-27 6.4359
2014-01-28 6.4299
2014-01-29 6.4407
2014-01-30 6.4935
2014-01-31 6.5318
2014-02-01 6.5482
2014-02-02 6.549
2014-02-03 6.5446
2014-02-04 6.5363
2014-02-05 6.5272
2014-02-06 6.5146
2014-02-07 6.5031
2014-02-08 6.4851
2014-02-09 6.4991
2014-02-10 6.4869
2014-02-11 6.4576
2014-02-12 6.4445
2014-02-13 6.4494
2014-02-14 6.4522
2014-02-15 6.4392
2014-02-16 6.437
2014-02-17 6.445
2014-02-18 6.4739
2014-02-19 6.4944
2014-02-20 6.5281
2014-02-21 6.5412
2014-02-22 6.5287
2014-02-23 6.5302
2014-02-24 6.5174
2014-02-25 6.4996
2014-02-26 6.506
2014-02-27 6.5205
2014-02-28 6.4617
2014-03-01 6.4086
2014-03-02 6.4125
2014-03-03 6.4403
2014-03-04 6.4581
2014-03-05 6.443
2014-03-06 6.4193
2014-03-07 6.3883
2014-03-08 6.3828
2014-03-09 6.3836
2014-03-10 6.3839
2014-03-11 6.3755
2014-03-12 6.3756
2014-03-13 6.3583
2014-03-14 6.3865
2014-03-15 6.3858
2014-03-16 6.3855
2014-03-17 6.377
2014-03-18 6.3517
2014-03-19 6.351
2014-03-20 6.4159
2014-03-21 6.417
2014-03-22 6.425
2014-03-23 6.4211
2014-03-24 6.4214
2014-03-25 6.4063
2014-03-26 6.4322
2014-03-27 6.4694
2014-03-28 6.4867
2014-03-29 6.5017
2014-03-30 6.5009
2014-03-31 6.4918
2014-04-01 6.4578
2014-04-02 6.4606
2014-04-03 6.5057
2014-04-04 6.5448
2014-04-05 6.5543
2014-04-06 6.5553
2014-04-07 6.5435
2014-04-08 6.5119
2014-04-09 6.5028
2014-04-10 6.5103
2014-04-11 6.5322
2014-04-12 6.5328
2014-04-13 6.5481
2014-04-14 6.5541
2014-04-15 6.5716
2014-04-16 6.5778
2014-04-17 6.5888
2014-04-18 6.6019
2014-04-19 6.601
2014-04-20 6.6016
2014-04-21 6.6022
2014-04-22 6.5965
2014-04-23 6.5774
2014-04-24 6.5695
2014-04-25 6.5759
2014-04-26 6.589
2014-04-27 6.5889
2014-04-28 6.5593
2014-04-29 6.5482
2014-04-30 6.5444
2014-05-01 6.4973
2014-05-02 6.5166
2014-05-03 6.5079
2014-05-04 6.5064
2014-05-05 6.5308
2014-05-06 6.5245
2014-05-07 6.4986
2014-05-08 6.5014
2014-05-09 6.5404
2014-05-10 6.5721
2014-05-11 6.5726
2014-05-12 6.5633
2014-05-13 6.559
2014-05-14 6.5543
2014-05-15 6.5642
2014-05-16 6.5689
2014-05-17 6.5642
2014-05-18 6.5642
2014-05-19 6.577
2014-05-20 6.591
2014-05-21 6.5693
2014-05-22 6.58
2014-05-23 6.6238
2014-05-24 6.6419
2014-05-25 6.6418
2014-05-26 6.6341
2014-05-27 6.6226
2014-05-28 6.6318
2014-05-29 6.6386
2014-05-30 6.6629
2014-05-31 6.6883
2014-06-01 6.6867
2014-06-02 6.6888
2014-06-03 6.6861
2014-06-04 6.6703
2014-06-05 6.6555
2014-06-06 6.6478
2014-06-07 6.6293
2014-06-08 6.6298
2014-06-09 6.6556
2014-06-10 6.6893
2014-06-11 6.6921
2014-06-12 6.6946
2014-06-13 6.6681
2014-06-14 6.6461
2014-06-15 6.6462
2014-06-16 6.6425
2014-06-17 6.6345
2014-06-18 6.6434
2014-06-19 6.66
2014-06-20 6.7135
2014-06-21 6.7134
2014-06-22 6.7262
2014-06-23 6.7124
2014-06-24 6.7101
2014-06-25 6.7301
2014-06-26 6.7391
2014-06-27 6.7407
2014-06-28 6.7323
2014-06-29 6.7384
2014-06-30 6.7181
2014-07-01 6.6892
2014-07-02 6.6992
2014-07-03 6.7772
2014-07-04 6.8412
2014-07-05 6.8452
2014-07-06 6.8452
2014-07-07 6.8452
2014-07-08 6.8329
2014-07-09 6.8148
2014-07-10 6.7834
2014-07-11 6.7825
2014-07-12 6.7906
2014-07-13 6.7905
2014-07-14 6.792
2014-07-15 6.8016
2014-07-16 6.827
2014-07-17 6.8257
2014-07-18 6.8345
2014-07-19 6.8391
2014-07-20 6.8402
2014-07-21 6.8437
2014-07-22 6.85
2014-07-23 6.8419
2014-07-24 6.8398
2014-07-25 6.8213
2014-07-26 6.8192
2014-07-27 6.8217
2014-07-28 6.8216
2014-07-29 6.8407
2014-07-30 6.8745
2014-07-31 6.8895
2014-08-01 6.8818
2014-08-02 6.8587
2014-08-03 6.8586
2014-08-04 6.8746
2014-08-05 6.8826
2014-08-06 6.9025
2014-08-07 6.9003
2014-08-08 6.9058
2014-08-09 6.8973
2014-08-10 6.9026
2014-08-11 6.8803
2014-08-12 6.8783
2014-08-13 6.8723
2014-08-14 6.8575
2014-08-15 6.8378
2014-08-16 6.8378
2014-08-17 6.8384
2014-08-18 6.8487
2014-08-19 6.8627
2014-08-20 6.8908
2014-08-21 6.9065
2014-08-22 6.8986
2014-08-23 6.9126
2014-08-24 6.9345
2014-08-25 6.9341
2014-08-26 6.9388
2014-08-27 6.9506
2014-08-28 6.9587
2014-08-29 6.9698
2014-08-30 6.9902
2014-08-31 6.9909
2014-09-01 6.9971
2014-09-02 7.0086
2014-09-03 7.0095
2014-09-04 7.0233
2014-09-05 7.0799
2014-09-06 7.0968
2014-09-07 7.0969
2014-09-08 7.0954
2014-09-09 7.1146
2014-09-10 7.1058
2014-09-11 7.1093
2014-09-12 7.1348
2014-09-13 7.1259
2014-09-14 7.1276
2014-09-15 7.1383
2014-09-16 7.1213
2014-09-17 7.1314
2014-09-18 7.1404
2014-09-19 7.1173
2014-09-20 7.1532
2014-09-21 7.1534
2014-09-22 7.1453
2014-09-23 7.1406
