"Index" "HP.Open" "HP.High" "HP.Low" "HP.Close" "HP.Volume" "HP.Adjusted"
2014-02-11 86.110001 88.220001 85.779999 88.089996 1133900 82.107777
2014-02-12 87.889999 88.57 87.029999 87.610001 1085500 82.243901
2014-02-13 87.279999 89.739998 87.059998 89.660004 1141000 84.168342
2014-02-14 89.970001 90.779999 89.440002 90.589996 1129700 85.041372
2014-02-18 90.879997 93.510002 90.879997 93.029999 1604200 87.331925
2014-02-19 93.110001 94.790001 93.029999 93.93 1435100 88.176802
2014-02-20 93.690002 94.959999 93.690002 94.660004 1472500 88.862092
2014-02-21 95 95.129997 93.129997 94.339996 1051400 88.561686
2014-02-24 94.959999 97.519997 94.959999 96.400002 1115700 90.495516
2014-02-25 97.120003 97.459999 95.150002 97.190002 1236800 91.237129
2014-02-26 96.970001 97.949997 95.940002 96.269997 1341300 90.373474
2014-02-27 96.300003 97 95.360001 96.910004 1106700 90.97428
2014-02-28 97.32 99.349998 96.860001 98.75 1310300 92.701577
2014-03-03 95.919998 99.089996 95.110001 98.419998 1284100 92.391788
2014-03-04 99.419998 100 97.900002 99.040001 1269600 92.973815
2014-03-05 99.25 100.440002 98.080002 99.190002 1307200 93.114629
2014-03-06 99.940002 100.910004 99.25 100.82 1083900 94.64479
2014-03-07 100.889999 101.019997 99.43 100.5 1036800 94.34439
2014-03-10 100.5 100.949997 99.279999 100.339996 1000700 94.194186
2014-03-11 100.5 100.910004 98.080002 98.449997 1089200 92.419949
2014-03-12 97.730003 99.160004 97.290001 98.400002 1101100 92.373016
2014-03-13 98.470001 98.610001 95.730003 96.510002 1551900 90.598779
2014-03-14 96.449997 98.25 96.099998 97.949997 1149300 91.950574
2014-03-17 98.150002 101.239998 98.150002 101.099998 1428200 94.907639
2014-03-18 100.910004 102.870003 100.339996 102.5 1229500 96.22189
2014-03-19 102.970001 104.93 102.290001 102.839996 1633700 96.541062
2014-03-20 102.339996 104.419998 102.269997 104.190002 972700 97.80838
2014-03-21 105.089996 106.760002 104.300003 106.639999 3289600 100.108315
2014-03-24 106.599998 107.099998 104.830002 105.610001 1488800 99.141404
2014-03-25 106.370003 107.610001 105.860001 107 1194500 100.446266
2014-03-26 107.489998 107.949997 106.150002 106.18 1455500 99.676491
2014-03-27 106.360001 107.919998 105.629997 105.879997 1055400 99.394863
2014-03-28 106.279999 108.43 105.93 107.699997 871500 101.103388
2014-03-31 108.110001 108.410004 106.860001 107.559998 1202500 100.971964
2014-04-01 107.970001 108.43 107.220001 108.169998 766300 101.544602
2014-04-02 108 108.75 107.339996 107.779999 863500 101.17849
2014-04-03 107.989998 108.440002 106.809998 107.879997 1022100 101.272363
2014-04-04 108.529999 109.440002 106.599998 107.290001 964900 100.718504
2014-04-07 107.07 107.230003 104.260002 104.400002 1093300 98.005517
2014-04-08 104.400002 107.349998 104.099998 107.040001 1585300 100.483817
2014-04-09 107.440002 107.699997 105.809998 107.419998 801000 100.840539
2014-04-10 107.419998 108 105.239998 105.260002 830000 98.812843
2014-04-11 105.150002 107.040001 105.099998 105.910004 1006700 99.423032
2014-04-14 106.5 107.75 105.379997 107.360001 704200 100.784216
2014-04-15 107.129997 109.279999 106.980003 108.879997 838900 102.211114
2014-04-16 109.879997 110.370003 108.57 109.550003 842500 102.840082
2014-04-17 110.690002 111.739998 108.790001 110.839996 977500 104.051063
2014-04-21 111.330002 113.459999 111.059998 113.129997 968900 106.200802
2014-04-22 113.129997 113.580002 112.139999 113.260002 983200 106.322844
2014-04-23 113.639999 115.190002 113.550003 113.809998 1271800 106.839152
2014-04-24 114 117 106.220001 107.019997 3114400 100.465038
2014-04-25 106.580002 107.720001 104.779999 107 1615200 100.446266
2014-04-28 107.57 107.82 105.779999 107.029999 1349700 100.474427
2014-04-29 107.620003 109.150002 107.529999 107.800003 1395000 101.197269
2014-04-30 107.5 108.68 105.800003 108.650002 1367400 101.995205
2014-05-01 107.510002 108.25 105.230003 105.529999 1511600 99.066302
2014-05-02 105.610001 108.449997 105.529999 107.669998 945800 101.075227
2014-05-05 106.290001 106.760002 104.519997 106.540001 1589400 100.014442
2014-05-06 106.720001 108.709999 106.010002 107.709999 1206400 101.112778
2014-05-07 108.529999 109.760002 107.059998 109.68 1537700 102.962116
2014-05-08 109.620003 110.459999 107.550003 107.970001 1051900 101.356855
2014-05-09 108.059998 108.25 105.529999 106.370003 1182400 99.854856
2014-05-12 107.160004 108.830002 106.419998 107.940002 974500 101.328693
2014-05-13 107.830002 108.400002 106.910004 107.93 978700 101.909383
2014-05-14 108.129997 109.540001 107.82 108.599998 691800 102.542006
2014-05-15 108.129997 108.339996 104.279999 105.57 1325100 99.681029
2014-05-16 105.419998 105.419998 103.540001 104.57 1143800 98.736812
2014-05-19 104.779999 106.540001 104.239998 105.489998 772600 99.60549
2014-05-20 105.480003 105.779999 104.300003 104.849998 987200 99.001191
2014-05-21 105.360001 106.25 104.68 105.599998 665000 99.709354
2014-05-22 105.699997 107.150002 105.660004 106.379997 675300 100.445843
