"Index" "USD.KRW"
2014-03-20 1075.385
2014-03-21 1079.8
2014-03-22 1079.975
2014-03-23 1080.03
2014-03-24 1077.75
2014-03-25 1078.695
2014-03-26 1075.675
2014-03-27 1072.445
2014-03-28 1069.405
2014-03-29 1070.035
2014-03-30 1069.92
2014-03-31 1066.25
2014-04-01 1059.94
2014-04-02 1057.31
2014-04-03 1057.98
2014-04-04 1055.185
2014-04-05 1054.015
2014-04-06 1054.74
2014-04-07 1055.12
2014-04-08 1053.08
2014-04-09 1043.19
2014-04-10 1039.29
2014-04-11 1036.595
2014-04-12 1032.02
2014-04-13 1036.595
2014-04-14 1039.07
2014-04-15 1041.015
2014-04-16 1039.5
2014-04-17 1038.37
2014-04-18 1038.53
2014-04-19 1038.53
2014-04-20 1038.585
2014-04-21 1039.275
2014-04-22 1038.75
2014-04-23 1039.29
2014-04-24 1039.29
2014-04-25 1040.475
2014-04-26 1041.235
2014-04-27 1041.125
2014-04-28 1037.51
2014-04-29 1031.245
2014-04-30 1032.47
2014-05-01 1033.22
2014-05-02 1030.985
2014-05-03 1029.87
2014-05-04 1029.655
2014-05-05 1030.08
2014-05-06 1030.135
2014-05-07 1024.435
2014-05-08 1022.86
2014-05-09 1023.7
2014-05-10 1024.12
2014-05-11 1024.225
2014-05-12 1024.49
2014-05-13 1022.76
2014-05-14 1026.015
2014-05-15 1025.8
2014-05-16 1024.645
2014-05-17 1024.12
2014-05-18 1022.285
2014-05-19 1021.895
2014-05-20 1024.435
2014-05-21 1027.065
2014-05-22 1025.065
2014-05-23 1024.645
2014-05-24 1025.12
2014-05-25 1024.96
2014-05-26 1024.75
2014-05-27 1023.595
2014-05-28 1022.34
2014-05-29 1021.195
2014-05-30 1020.565
2014-05-31 1020.875
2014-06-01 1020.775
2014-06-02 1023.07
2014-06-03 1023.7
2014-06-04 1023.49
2014-06-05 1021.195
2014-06-06 1020.15
2014-06-07 1020.095
2014-06-08 1020.095
2014-06-09 1017.655
2014-06-10 1016.935
2014-06-11 1016.155
2014-06-12 1017.345
2014-06-13 1018.02
2014-06-14 1018.07
2014-06-15 1018.07
2014-06-16 1019.32
2014-06-17 1021.765
2014-06-18 1022.55
2014-06-19 1019.21
2014-06-20 1020.355
2014-06-21 1020.985
2014-06-22 1021.605
2014-06-23 1019.63
2014-06-24 1018.49
2014-06-25 1020.205
2014-06-26 1017.035
2014-06-27 1014.25
2014-06-28 1014.25
2014-06-29 1014.25
2014-06-30 1012.71
2014-07-01 1011.485
2014-07-02 1009.59
2014-07-03 1009.29
2014-07-04 1009.34
2014-07-05 1009.24
2014-07-06 1009.24
2014-07-07 1010.865
2014-07-08 1011.735
2014-07-09 1012.25
2014-07-10 1012.815
2014-07-11 1018.175
2014-07-12 1019.06
2014-07-13 1019.11
2014-07-14 1019.11
2014-07-15 1025.275
2014-07-16 1031.62
2014-07-17 1029.815
2014-07-18 1030.985
2014-07-19 1029.605
2014-07-20 1029.34
2014-07-21 1027.8
2014-07-22 1024.96
2014-07-23 1023.755
2014-07-24 1028.23
2014-07-25 1027.275
2014-07-26 1026.015
2014-07-27 1025.905
2014-07-28 1026.225
2014-07-29 1025.065
2014-07-30 1024.645
2014-07-31 1027.12
2014-08-01 1035.145
2014-08-02 1037.56
2014-08-03 1037.67
2014-08-04 1035.145
2014-08-05 1029.605
2014-08-06 1033.325
2014-08-07 1036.005
2014-08-08 1036.86
2014-08-09 1036.54
2014-08-10 1036.86
2014-08-11 1033.01
2014-08-12 1027.91
2014-08-13 1028.965
2014-08-14 1023.39
2014-08-15 1021.195
2014-08-16 1021.14
2014-08-17 1021.14
2014-08-18 1019.06
2014-08-19 1017.92
2014-08-20 1021.815
2014-08-21 1023.595
2014-08-22 1019.16
2014-08-23 1017.5
2014-08-24 1020.615
2014-08-25 1020.405
2014-08-26 1017.45
2014-08-27 1014.715
2014-08-28 1014.56
2014-08-29 1014.355
2014-08-30 1018.1435
2014-08-31 1014.515
2014-09-01 1013.69
2014-09-02 1016.985
2014-09-03 1019.37
2014-09-04 1018.695
2014-09-05 1024.225
2014-09-06 1024.93
2014-09-07 1025.06
2014-09-08 1024.55
2014-09-09 1027.96
2014-09-10 1034.395
2014-09-11 1035.52
2014-09-12 1036.005
2014-09-13 1031.9
2014-09-14 1033.045
2014-09-15 1035.985
2014-09-16 1036.27
2014-09-17 1034.77
2014-09-18 1041.995
2014-09-19 1044.39
2014-09-20 1046.85
2014-09-21 1046.93
2014-09-22 1042.515
2014-09-23 1040.69
2014-09-24 1039.99
2014-09-25 1042.535
2014-09-26 1043.735
2014-09-27 1046.765
2014-09-28 1048.64
2014-09-29 1050.715
2014-09-30 1054.685
2014-10-01 1061.8
2014-10-02 1061.46
2014-10-03 1061.35
2014-10-04 1062.38
2014-10-05 1061.18
2014-10-06 1065.93
2014-10-07 1068.09
2014-10-08 1073.595
2014-10-09 1069.58
2014-10-10 1071.585
2014-10-11 1074.425
2014-10-12 1076.485
2014-10-13 1068.905
2014-10-14 1065.02
2014-10-15 1063.38
2014-10-16 1061.745
2014-10-17 1063.095
2014-10-18 1063.265
2014-10-19 1063.38
2014-10-20 1060.5
2014-10-21 1054.91
2014-10-22 1053.245
2014-10-23 1056.805
2014-10-24 1057.865
2014-10-25 1057.365
2014-10-26 1056.08
2014-10-27 1053.12
2014-10-28 1049.595
2014-10-29 1047.835
2014-10-30 1053.915
2014-10-31 1074
2014-11-01 1073.37
2014-11-02 1074.935
2014-11-03 1076.985
2014-11-04 1078.69
2014-11-05 1085.425
2014-11-06 1087.9
2014-11-07 1091.23
2014-11-08 1088.7
2014-11-09 1088.435
2014-11-10 1086.915
2014-11-11 1093.855
2014-11-12 1095.89
2014-11-13 1095.65
2014-11-14 1100.475
2014-11-15 1096.17
2014-11-16 1100.41
2014-11-17 1098.175
2014-11-18 1098.9
2014-11-19 1108.095
2014-11-20 1113.34
2014-11-21 1111.915
2014-11-22 1111.235
2014-11-23 1113.155
2014-11-24 1113.71
2014-11-25 1111.48
2014-11-26 1106.625
2014-11-27 1100.295
2014-11-28 1108.4
2014-11-29 1111.325
2014-11-30 1110.955
2014-12-01 1110.635
2014-12-02 1111.05
2014-12-03 1114.21
2014-12-04 1114.58
2014-12-05 1115.76
2014-12-06 1121.515
2014-12-07 1121.83
2014-12-08 1117.255
2014-12-09 1108.4
2014-12-10 1104.36
2014-12-11 1100.96
2014-12-12 1103.145
2014-12-13 1104.425
2014-12-14 1103.265
2014-12-15 1101.805
2014-12-16 1086.19
2014-12-17 1091.945
2014-12-18 1100.23
2014-12-19 1100.23
2014-12-20 1099.99
2014-12-21 1100.11
2014-12-22 1098.3
2014-12-23 1103.025
2014-12-24 1103.875
2014-12-25 1102.655
2014-12-26 1104.49
2014-12-27 1104.55
2014-12-28 1105.83
2014-12-29 1101.745
2014-12-30 1097.935
2014-12-31 1092.24
2015-01-01 1093.915
2015-01-02 1102.415
2015-01-03 1107.055
2015-01-04 1107.175
2015-01-05 1110.745
2015-01-06 1101.745
2015-01-07 1100.9
2015-01-08 1097.395
2015-01-09 1090.57
2015-01-10 1085.485
2015-01-11 1085.075
2015-01-12 1084.13
2015-01-13 1082.31
2015-01-14 1082.31
2015-01-15 1076.715
2015-01-16 1077.82
2015-01-17 1079.565
2015-01-18 1079.68
2015-01-19 1079.27
2015-01-20 1086.37
2015-01-21 1084.485
2015-01-22 1084.485
2015-01-23 1081.255
2015-01-24 1077.875
2015-01-25 1082.31
2015-01-26 1081.435
2015-01-27 1079.16
2015-01-28 1084.015
2015-01-29 1094.57
2015-01-30 1099.39
2015-01-31 1102.415
2015-02-01 1101.995
2015-02-02 1100.655
2015-02-03 1097.815
2015-02-04 1087.785
2015-02-05 1088.795
2015-02-06 1091.29
2015-02-07 1098.055
2015-02-08 1098.18
2015-02-09 1096.735
2015-02-10 1094.81
2015-02-11 1102.84
2015-02-12 1106.315
2015-02-13 1098.9
2015-02-14 1098.3
2015-02-15 1097.935
2015-02-16 1099.085
2015-02-17 1104.61
2015-02-18 1111.36
2015-02-19 1110.62
2015-02-20 1111.545
2015-02-21 1110.685
2015-02-22 1108.77
2015-02-23 1109.635
2015-02-24 1111.48
2015-02-25 1105.34
2015-02-26 1099.02
2015-02-27 1100.355
2015-02-28 1101.205
2015-03-01 1101.565
2015-03-02 1102.175
2015-03-03 1098.36
2015-03-04 1098.84
2015-03-05 1100.96
2015-03-06 1103.63
2015-03-07 1111.42
2015-03-08 1111.67
2015-03-09 1112.72
2015-03-10 1122.085
2015-03-11 1128.54
2015-03-12 1126.445
2015-03-13 1130.84
2015-03-14 1138.045
2015-03-15 1139.215
2015-03-16 1133.53
2015-03-17 1129.05
2015-03-18 1126.83
2015-03-19 1117.885
2015-03-20 1120.32
2015-03-21 1113.525
2015-03-22 1111.545
2015-03-23 1111.36
2015-03-24 1105.095
2015-03-25 1102.055
2015-03-26 1104.485
2015-03-27 1104.79
2015-03-28 1104.06
2015-03-29 1104.18
2015-03-30 1106.38
2015-03-31 1108.895
2015-04-01 1102.84
2015-04-02 1094.515
2015-04-03 1087.845
2015-04-04 1082.075
2015-04-05 1081.495
2015-04-06 1080.79
2015-04-07 1089.805
2015-04-08 1092.835
2015-04-09 1093.315
2015-04-10 1094.395
2015-04-11 1093.855
2015-04-12 1093.375
2015-04-13 1098.6
2015-04-14 1095.29
2015-04-15 1095.05
2015-04-16 1088.435
2015-04-17 1083.19
2015-04-18 1081.55
2015-04-19 1083.66
2015-04-20 1082.605
2015-04-21 1083.075
2015-04-22 1080.965
2015-04-23 1082.66
2015-04-24 1078.515
2015-04-25 1076.43
2015-04-26 1077.415
2015-04-27 1074.235
2015-04-28 1068.38
2015-04-29 1068.435
2015-04-30 1073.365
2015-05-01 1077.415
2015-05-02 1079.86
2015-05-03 1079.97
2015-05-04 1081.145
2015-05-05 1082.195
2015-05-06 1080.555
2015-05-07 1089.565
2015-05-08 1090.215
2015-05-09 1089.145
2015-05-10 1088.615
2015-05-11 1093.495
2015-05-12 1095.65
2015-05-13 1094.57
2015-05-14 1091.47
2015-05-15 1087.37
2015-05-16 1083.895
2015-05-17 1084.715
2015-05-18 1086.84
2015-05-19 1091.88
2015-05-20 1095.89
2015-05-21 1094.395
2015-05-22 1092.6
2015-05-23 1097.335
2015-05-24 1098.18
2015-05-25 1097.995
2015-05-26 1102.78
2015-05-27 1107.91
2015-05-28 1108.4
2015-05-29 1110.495
2015-05-30 1113.09
2015-05-31 1113.835
2015-06-01 1114.955
2015-06-02 1112.47
2015-06-03 1106.685
2015-06-04 1111.175
2015-06-05 1116.07
2015-06-06 1124.8
2015-06-07 1125.18
2015-06-08 1123.785
2015-06-09 1119.76
2015-06-10 1113.955
2015-06-11 1112.225
2015-06-12 1113.465
2015-06-13 1113.215
2015-06-14 1117.07
2015-06-15 1117.07
2015-06-16 1118.385
2015-06-17 1119.135
2015-06-18 1106.81
2015-06-19 1104.73
2015-06-20 1102.725
2015-06-21 1100.96
